Serie;id;Nombre;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0014;Acebeda (La);2.654,00;1.928,00;1.328,00;906,00;666,00;599,00;588,00;525,00;441,00;1.023,00;1.106,00;893,00;1.230,00;1.737,00;2.564,00;1.422,00;1.920,00;3.970,00;3.673,00;4.188,00;
Municipios;0029;Ajalvir;1.795,00;2.222,00;2.329,00;2.325,00;1.638,00;1.500,00;1.802,00;1.661,00;1.757,00;2.064,00;2.297,00;2.436,00;2.665,00;2.778,00;2.555,00;1.802,00;2.346,00;2.512,00;2.225,00;1.855,00;
Municipios;0035;Alameda del Valle;286,00;306,00;408,00;198,00;171,00;149,00;1.393,00;1.570,00;377,00;160,00;125,00;131,00;184,00;186,00;274,00;166,00;255,00;339,00;249,00;271,00;
Municipios;0040;Álamo (El);1.348,00;1.422,00;1.357,00;938,00;867,00;879,00;1.801,00;697,00;1.765,00;987,00;3.007,00;3.201,00;2.148,00;2.020,00;2.664,00;1.428,00;2.119,00;1.731,00;1.258,00;1.225,00;
Municipios;0053;Alcalá de Henares;66.599,00;68.150,00;66.716,00;50.808,00;39.561,00;44.040,00;40.536,00;37.258,00;41.607,00;45.905,00;52.929,00;57.478,00;63.286,00;67.321,00;70.514,00;55.366,00;69.689,00;57.072,00;54.091,00;52.653,00;
Municipios;0066;Alcobendas;48.589,00;48.307,00;49.338,00;44.738,00;32.478,00;37.143,00;40.288,00;42.240,00;40.481,00;49.740,00;55.817,00;57.272,00;57.847,00;61.684,00;61.790,00;41.128,00;53.559,00;55.019,00;48.082,00;49.444,00;
Municipios;0072;Alcorcón;41.817,00;45.486,00;45.562,00;39.094,00;30.864,00;28.203,00;27.775,00;26.003,00;25.523,00;30.852,00;37.826,00;40.841,00;46.662,00;54.555,00;54.724,00;40.729,00;42.710,00;40.559,00;34.839,00;33.277,00;
Municipios;0088;Aldea del Fresno;352,00;365,00;390,00;346,00;246,00;205,00;302,00;349,00;253,00;370,00;401,00;436,00;545,00;1.785,00;627,00;461,00;554,00;793,00;734,00;671,00;
Municipios;0091;Algete;5.639,00;7.532,00;7.232,00;5.381,00;3.441,00;3.975,00;4.201,00;4.550,00;3.304,00;3.943,00;4.686,00;4.767,00;7.579,00;8.084,00;5.829,00;4.345,00;6.158,00;5.004,00;4.068,00;4.701,00;
Municipios;0105;Alpedrete;2.820,00;2.509,00;2.088,00;1.688,00;1.553,00;1.294,00;1.116,00;1.298,00;1.095,00;1.232,00;1.391,00;1.709,00;1.890,00;1.728,00;1.896,00;1.470,00;2.094,00;2.224,00;2.083,00;2.265,00;
Municipios;0112;Ambite;367,00;78,00;123,00;85,00;106,00;158,00;128,00;94,00;90,00;68,00;102,00;118,00;155,00;144,00;98,00;79,00;134,00;251,00;136,00;203,00;
Municipios;0127;Anchuelo;132,00;242,00;178,00;162,00;173,00;110,00;107,00;139,00;217,00;170,00;103,00;278,00;243,00;728,00;1.054,00;310,00;525,00;359,00;467,00;421,00;
Municipios;0133;Aranjuez;17.007,00;17.615,00;15.475,00;10.956,00;10.483,00;11.588,00;11.570,00;9.692,00;8.757,00;10.391,00;12.302,00;14.245,00;17.603,00;20.710,00;22.049,00;17.024,00;37.399,00;26.240,00;19.181,00;19.213,00;
