Serie;id;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;0014;Acebeda (La);-;-;-;-;-;954.216,00;1.125.362,00;1.252.230,00;1.358.164,00;
Municipios;0029;Ajalvir;61.884.557,00;61.497.065,00;66.699.381,00;70.639.708,00;75.241.150,00;74.476.836,00;76.518.700,00;83.598.195,00;89.374.695,00;
Municipios;0035;Alameda del Valle;3.514.860,00;3.543.804,00;3.711.480,00;3.757.695,00;3.981.920,00;4.668.708,00;4.905.120,00;5.324.021,00;5.349.120,00;
Municipios;0040;Álamo (El);90.511.425,00;93.189.668,00;99.067.045,00;104.754.442,00;113.184.084,00;118.081.116,00;126.009.273,00;136.083.254,00;149.091.320,00;
Municipios;0053;Alcalá de Henares;2.594.727.472,00;2.558.045.700,00;2.772.771.392,00;2.908.021.284,00;3.060.521.646,00;3.089.282.364,00;3.249.963.812,00;3.479.838.636,00;3.747.942.360,00;
Municipios;0066;Alcobendas;2.540.344.176,00;2.686.720.361,00;2.852.012.600,00;3.148.475.544,00;2.907.298.750,00;2.875.716.768,00;3.008.917.535,00;3.313.007.688,00;3.545.318.224,00;
Municipios;0072;Alcorcón;2.365.575.696,00;2.372.775.072,00;2.497.200.633,00;2.608.064.622,00;2.725.828.686,00;2.749.047.048,00;2.866.908.408,00;3.062.665.464,00;3.287.673.480,00;
Municipios;0088;Aldea del Fresno;25.582.464,00;26.801.160,00;28.459.395,00;30.945.288,00;34.093.788,00;35.697.267,00;40.145.248,00;45.372.150,00;49.222.914,00;
Municipios;0091;Algete;341.716.995,00;355.249.584,00;370.122.144,00;393.269.400,00;413.842.992,00;412.866.330,00;429.442.150,00;462.319.086,00;488.356.789,00;
Municipios;0105;Alpedrete;228.442.939,00;232.579.639,00;244.957.219,00;258.768.279,00;271.656.936,00;275.936.332,00;298.218.312,00;321.132.124,00;346.757.480,00;
Municipios;0112;Ambite;6.334.672,00;5.992.820,00;6.375.204,00;6.873.048,00;7.297.710,00;7.818.984,00;8.625.477,00;9.579.270,00;10.427.375,00;
Municipios;0127;Anchuelo;15.002.820,00;15.186.649,00;16.531.428,00;17.454.643,00;18.181.468,00;19.166.963,00;19.475.936,00;21.145.586,00;22.768.450,00;
Municipios;0133;Aranjuez;724.058.457,00;720.816.540,00;766.457.235,00;807.277.170,00;850.215.891,00;861.031.486,00;902.021.300,00;976.636.936,00;1.056.191.019,00;
Municipios;0148;Arganda del Rey;608.866.307,00;629.947.185,00;671.614.132,00;707.557.520,00;760.245.985,00;770.392.832,00;824.045.684,00;903.098.146,00;982.496.846,00;
Municipios;0151;Arroyomolinos;426.701.887,00;449.483.951,00;480.146.688,00;522.873.096,00;575.984.596,00;597.701.164,00;663.739.198,00;736.015.065,00;819.675.332,00;
Municipios;0164;Atazar (El);-;-;-;-;-;1.736.806,00;1.856.771,00;1.802.320,00;1.771.278,00;
Municipios;0170;Batres;21.380.277,00;22.916.014,00;24.663.596,00;26.444.352,00;30.560.250,00;29.844.724,00;32.410.044,00;35.161.497,00;39.470.192,00;
Municipios;0186;Becerril de la Sierra;83.447.016,00;85.154.355,00;90.636.497,00;96.327.198,00;101.622.950,00;111.474.512,00;114.951.190,00;126.260.320,00;137.902.268,00;
Municipios;0199;Belmonte de Tajo;17.274.224,00;18.242.392,00;18.615.564,00;20.084.032,00;20.741.160,00;21.845.385,00;24.544.875,00;26.362.704,00;29.247.732,00;
Municipios;0210;Berrueco (El);7.743.006,00;7.977.058,00;8.841.976,00;9.080.940,00;10.086.080,00;10.453.496,00;11.134.971,00;13.317.144,00;14.021.460,00;
Municipios;0203;Berzosa del Lozoya;2.320.968,00;2.299.590,00;2.390.544,00;2.709.210,00;2.719.475,00;2.776.900,00;3.134.255,00;3.244.671,00;3.911.166,00;
Municipios;0225;Boadilla del Monte;1.246.069.953,00;1.310.192.660,00;1.384.948.698,00;1.581.750.186,00;1.653.461.750,00;1.741.665.044,00;1.949.057.100,00;2.158.774.755,00;2.391.477.774,00;
Municipios;0231;Boalo (El);112.097.625,00;116.861.744,00;121.984.484,00;131.193.678,00;137.058.888,00;147.031.368,00;161.658.835,00;175.129.691,00;192.125.880,00;
Municipios;0246;Braojos;2.516.520,00;2.784.288,00;2.825.151,00;3.090.000,00;3.284.876,00;3.579.342,00;3.954.302,00;4.102.200,00;4.624.185,00;
Municipios;0259;Brea de Tajo;4.821.235,00;4.920.300,00;5.125.164,00;5.349.208,00;5.465.350,00;6.031.920,00;6.304.099,00;6.799.706,00;7.756.848,00;
Municipios;0262;Brunete;139.715.928,00;143.499.020,00;152.943.350,00;161.179.038,00;169.208.666,00;171.733.254,00;182.109.161,00;191.981.048,00;211.867.695,00;
Municipios;0278;Buitrago del Lozoya;21.360.560,00;21.692.095,00;21.991.662,00;22.972.648,00;24.502.167,00;25.539.462,00;26.670.366,00;29.800.581,00;32.635.904,00;
Municipios;0284;Bustarviejo;32.030.500,00;32.626.800,00;34.613.700,00;36.527.763,00;39.081.240,00;43.543.416,00;46.240.044,00;50.685.626,00;55.252.736,00;
Municipios;0297;Cabanillas de la Sierra;11.577.726,00;12.206.188,00;11.837.640,00;12.653.260,00;13.737.980,00;14.861.230,00;15.727.140,00;17.741.292,00;19.423.960,00;
Municipios;0301;Cabrera (La);31.350.000,00;32.436.730,00;34.473.411,00;35.917.740,00;39.473.060,00;42.720.816,00;44.752.578,00;48.472.960,00;53.947.712,00;
Municipios;0318;Cadalso de los Vidrios;25.782.183,00;26.160.384,00;27.864.508,00;30.309.250,00;32.159.160,00;35.893.800,00;37.998.777,00;42.405.700,00;45.692.904,00;
Municipios;0323;Camarma de Esteruelas;91.093.923,00;92.844.748,00;102.606.894,00;107.938.340,00;112.898.156,00;117.560.264,00;123.201.501,00;134.329.325,00;153.267.620,00;
Municipios;0339;Campo Real;66.412.052,00;71.496.200,00;73.395.470,00;79.577.141,00;85.722.306,00;86.731.462,00;95.106.432,00;104.083.584,00;113.173.488,00;
Municipios;0344;Canencia;5.222.043,00;4.842.364,00;5.076.696,00;5.227.992,00;6.032.764,00;6.679.660,00;7.043.810,00;7.733.488,00;8.453.484,00;
Municipios;0357;Carabaña;20.322.981,00;19.806.947,00;21.344.736,00;23.156.584,00;24.788.872,00;25.109.165,00;27.053.406,00;30.171.050,00;34.159.625,00;
Municipios;0360;Casarrubuelos;41.271.990,00;42.909.224,00;45.900.848,00;49.303.026,00;52.922.580,00;54.153.092,00;58.063.568,00;62.583.192,00;69.403.160,00;
Municipios;0376;Cenicientos;16.846.704,00;17.479.248,00;18.249.453,00;19.546.596,00;20.880.804,00;22.579.240,00;23.203.820,00;25.212.098,00;27.406.031,00;
Municipios;0382;Cercedilla;93.118.350,00;95.539.376,00;100.265.560,00;106.946.184,00;113.370.075,00;120.011.562,00;129.450.580,00;138.577.068,00;147.285.074,00;
Municipios;0395;Cervera de Buitrago;2.136.792,00;2.136.055,00;2.186.520,00;2.191.536,00;2.553.930,00;2.563.076,00;3.043.575,00;3.205.872,00;3.520.265,00;
Municipios;0513;Chapinería;25.034.295,00;25.559.183,00;27.562.680,00;29.465.800,00;32.317.542,00;34.721.708,00;36.875.118,00;40.913.999,00;43.939.413,00;
Municipios;0528;Chinchón;53.565.440,00;53.214.225,00;57.509.315,00;61.234.308,00;64.925.432,00;69.144.466,00;75.046.840,00;80.006.682,00;88.681.957,00;
Municipios;0409;Ciempozuelos;243.538.922,00;252.407.911,00;263.551.428,00;281.369.991,00;296.488.370,00;300.084.864,00;314.588.988,00;336.810.210,00;366.591.190,00;
Municipios;0416;Cobeña;132.713.910,00;137.347.678,00;141.419.652,00;150.110.850,00;157.732.983,00;157.811.692,00;162.631.870,00;181.031.376,00;195.554.377,00;
Municipios;0468;Collado Mediano;107.497.915,00;109.458.321,00;115.001.704,00;124.611.022,00;135.844.025,00;132.028.952,00;140.449.031,00;153.267.170,00;173.484.752,00;
Municipios;0474;Collado Villalba;803.034.682,00;809.632.132,00;858.964.813,00;901.763.874,00;954.360.820,00;951.876.159,00;1.002.876.478,00;1.095.183.544,00;1.182.540.492,00;
Municipios;0455;Colmenar Viejo;750.431.000,00;771.646.653,00;810.356.760,00;870.301.422,00;935.660.208,00;956.814.419,00;1.027.653.520,00;1.117.093.491,00;1.243.137.307,00;
Municipios;0437;Colmenar de Oreja;74.140.404,00;74.597.632,00;81.938.286,00;86.718.660,00;92.835.366,00;95.743.053,00;104.323.680,00;114.564.546,00;126.604.350,00;
Municipios;0421;Colmenar del Arroyo;21.052.680,00;21.082.635,00;22.324.480,00;23.938.467,00;25.667.150,00;27.845.034,00;30.134.104,00;32.288.776,00;36.517.194,00;
Municipios;0442;Colmenarejo;125.267.085,00;126.793.075,00;133.384.176,00;140.024.430,00;150.084.388,00;152.302.444,00;165.853.328,00;180.527.016,00;194.792.604,00;
Municipios;0480;Corpa;8.085.560,00;8.631.252,00;8.269.100,00;9.001.896,00;9.171.978,00;9.263.376,00;10.562.504,00;11.528.468,00;12.518.070,00;
Municipios;0493;Coslada;1.093.401.990,00;1.088.300.300,00;1.161.113.499,00;1.205.485.038,00;1.258.147.768,00;1.247.996.352,00;1.299.902.703,00;1.378.775.871,00;1.469.405.028,00;
Municipios;0506;Cubas de la Sagra;71.802.200,00;74.653.420,00;78.134.112,00;84.232.816,00;92.823.342,00;94.352.580,00;103.817.064,00;113.543.544,00;125.969.388,00;
Municipios;0534;Daganzo de Arriba;155.013.642,00;159.189.930,00;165.224.397,00;173.621.448,00;187.393.040,00;190.525.972,00;204.561.126,00;218.149.559,00;237.762.421,00;
Municipios;0549;Escorial (El);238.303.377,00;242.326.098,00;259.600.344,00;273.462.852,00;286.835.932,00;295.208.500,00;311.568.390,00;336.460.362,00;368.875.548,00;
Municipios;0552;Estremera;10.855.884,00;10.330.659,00;12.064.626,00;12.743.170,00;13.711.214,00;14.776.267,00;15.548.400,00;17.766.051,00;19.141.548,00;
Municipios;0565;Fresnedillas de la Oliva;14.654.104,00;15.864.273,00;16.303.760,00;17.482.622,00;19.483.200,00;21.199.884,00;22.825.966,00;24.318.882,00;27.192.555,00;
Municipios;0571;Fresno de Torote;27.452.370,00;27.461.328,00;29.626.002,00;31.660.460,00;34.245.022,00;36.101.217,00;38.318.238,00;42.345.708,00;46.737.450,00;
Municipios;0587;Fuenlabrada;2.103.931.214,00;2.129.690.110,00;2.258.214.018,00;2.359.914.900,00;2.500.601.860,00;2.500.135.704,00;2.612.392.416,00;2.791.280.250,00;3.004.605.558,00;
Municipios;0590;Fuente el Saz de Jarama;82.832.297,00;87.137.820,00;90.072.260,00;93.119.166,00;96.021.065,00;96.810.123,00;105.316.904,00;117.737.598,00;127.736.196,00;
Municipios;0604;Fuentidueña de Tajo;18.508.875,00;18.974.006,00;20.376.795,00;23.102.740,00;25.084.446,00;25.995.822,00;27.835.609,00;31.023.069,00;33.324.862,00;
Municipios;0611;Galapagar;496.291.334,00;517.703.178,00;533.534.886,00;564.808.441,00;599.849.972,00;611.193.843,00;643.287.744,00;698.554.701,00;761.849.806,00;
Municipios;0626;Garganta de los Montes;5.381.883,00;5.513.798,00;5.692.584,00;5.685.624,00;6.498.576,00;7.739.130,00;7.192.152,00;8.150.807,00;9.122.115,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4.706.345,00;4.423.380,00;5.128.175,00;5.444.373,00;5.365.372,00;6.119.265,00;6.991.792,00;8.173.220,00;8.687.665,00;
Municipios;0647;Gascones;2.430.594,00;2.656.720,00;2.534.240,00;2.636.573,00;2.838.704,00;3.312.384,00;4.011.003,00;4.131.854,00;4.964.968,00;
Municipios;0650;Getafe;2.437.485.600,00;2.492.788.881,00;2.634.885.012,00;2.816.241.500,00;2.950.277.880,00;2.984.029.539,00;3.137.348.030,00;3.413.432.808,00;3.686.684.004,00;
Municipios;0663;Griñón;135.840.976,00;142.329.960,00;150.813.600,00;160.402.252,00;172.727.118,00;174.382.895,00;185.803.875,00;201.473.055,00;221.545.122,00;
Municipios;0679;Guadalix de la Sierra;77.043.770,00;76.844.216,00;83.137.335,00;88.073.916,00;95.938.960,00;101.526.960,00;106.747.738,00;115.987.020,00;128.716.819,00;
Municipios;0685;Guadarrama;219.553.141,00;229.636.992,00;235.011.798,00;248.486.292,00;267.374.679,00;277.149.059,00;294.261.456,00;317.187.296,00;340.922.820,00;
Municipios;0698;Hiruela (La);-;-;-;-;-;1.200.996,00;1.361.325,00;1.383.060,00;1.677.732,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;2.273.843,00;2.269.677,00;2.460.780,00;2.434.083,00;2.829.632,00;3.428.544,00;3.917.713,00;4.447.872,00;4.883.802,00;
Municipios;0719;Horcajuelo de la Sierra;-;-;-;-;-;1.828.500,00;1.802.240,00;1.843.992,00;1.999.332,00;
Municipios;0724;Hoyo de Manzanares;146.645.338,00;150.606.620,00;154.496.451,00;167.173.075,00;170.193.176,00;177.466.688,00;188.562.840,00;209.159.600,00;226.976.064,00;
Municipios;0730;Humanes de Madrid;194.201.295,00;199.274.600,00;207.136.710,00;220.290.383,00;230.827.428,00;234.067.748,00;250.393.988,00;271.223.940,00;293.236.708,00;
Municipios;0745;Leganés;2.383.297.632,00;2.450.679.948,00;2.545.094.400,00;2.665.735.152,00;2.788.179.054,00;2.779.782.950,00;2.897.606.848,00;3.110.173.497,00;3.340.057.082,00;
Municipios;0758;Loeches;101.240.967,00;106.260.064,00;113.757.336,00;122.015.544,00;131.497.014,00;129.890.196,00;138.315.114,00;149.733.994,00;164.474.704,00;
Municipios;0761;Lozoya;9.743.679,00;8.611.930,00;9.108.334,00;9.089.164,00;9.474.177,00;10.917.720,00;12.283.110,00;13.588.722,00;12.915.220,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;12.370.176,00;12.866.637,00;13.614.062,00;14.846.782,00;15.707.984,00;17.407.728,00;19.107.460,00;21.447.155,00;22.849.504,00;
Municipios;0783;Madarcos;-;-;-;-;-;937.764,00;1.143.513,00;1.345.680,00;1.398.110,00;
Municipios;0800;Majadahonda;1.720.786.998,00;1.721.434.275,00;1.802.905.440,00;1.900.400.047,00;1.950.412.958,00;1.949.158.485,00;2.043.923.750,00;2.188.646.586,00;2.341.093.751,00;
Municipios;0822;Manzanares el Real;128.570.130,00;132.271.282,00;135.795.517,00;147.858.396,00;157.238.258,00;166.582.044,00;175.102.326,00;191.524.320,00;208.297.092,00;
Municipios;0838;Meco;178.228.368,00;184.090.095,00;199.035.760,00;215.112.240,00;230.728.652,00;241.603.128,00;258.264.546,00;284.841.636,00;311.271.324,00;
Municipios;0843;Mejorada del Campo;252.717.030,00;263.254.850,00;275.231.002,00;289.031.492,00;306.622.198,00;308.518.236,00;327.029.241,00;351.875.945,00;379.640.808,00;
Municipios;0856;Miraflores de la Sierra;84.491.840,00;81.327.108,00;86.029.776,00;93.400.501,00;101.822.250,00;111.023.885,00;118.599.270,00;131.165.370,00;142.994.298,00;
Municipios;0869;Molar (El);94.434.734,00;95.418.012,00;103.158.220,00;109.131.624,00;116.612.692,00;118.962.420,00;128.532.708,00;139.378.785,00;153.944.296,00;
Municipios;0875;Molinos (Los);65.202.678,00;63.212.280,00;69.029.025,00;71.393.786,00;78.088.320,00;76.440.636,00;80.977.500,00;91.903.460,00;96.853.806,00;
Municipios;0881;Montejo de la Sierra;3.547.285,00;3.594.241,00;3.708.497,00;3.811.104,00;4.277.738,00;4.450.864,00;5.097.330,00;5.355.252,00;5.744.970,00;
Municipios;0894;Moraleja de Enmedio;60.716.211,00;59.895.726,00;64.615.836,00;69.026.920,00;73.968.102,00;77.369.152,00;83.831.927,00;93.291.651,00;101.455.627,00;
Municipios;0908;Moralzarzal;200.060.850,00;205.575.110,00;214.077.900,00;229.006.394,00;248.763.344,00;256.300.605,00;274.619.520,00;296.970.356,00;328.528.200,00;
Municipios;0915;Morata de Tajuña;74.702.290,00;77.695.140,00;81.401.564,00;86.664.240,00;91.974.100,00;94.668.108,00;100.893.344,00;109.479.490,00;119.865.410,00;
Municipios;0920;Móstoles;2.487.894.804,00;2.546.655.552,00;2.641.702.301,00;2.771.787.224,00;2.925.675.780,00;2.938.292.400,00;3.071.836.250,00;3.268.076.954,00;3.505.791.420,00;
Municipios;0936;Navacerrada;47.496.328,00;48.479.376,00;51.990.309,00;53.223.760,00;57.586.750,00;63.992.314,00;68.799.687,00;70.987.619,00;76.011.932,00;
Municipios;0941;Navalafuente;16.326.175,00;17.164.406,00;18.338.838,00;19.473.037,00;21.422.310,00;22.970.115,00;24.973.452,00;26.548.016,00;30.081.792,00;
Municipios;0954;Navalagamella;25.220.860,00;25.779.345,00;28.713.825,00;30.677.718,00;32.039.550,00;32.975.968,00;35.786.940,00;41.676.624,00;45.699.588,00;
Municipios;0967;Navalcarnero;326.685.334,00;335.954.100,00;361.437.780,00;388.197.186,00;415.470.336,00;432.576.000,00;467.554.752,00;508.419.782,00;560.125.491,00;
Municipios;0973;Navarredonda y San Mamés;2.069.210,00;2.333.370,00;2.611.863,00;2.554.500,00;2.902.960,00;2.820.564,00;2.741.594,00;3.222.639,00;3.817.660,00;
Municipios;0992;Navas del Rey;27.273.117,00;28.325.866,00;29.498.168,00;31.950.646,00;35.931.834,00;37.275.860,00;40.572.180,00;45.248.721,00;49.828.878,00;
Municipios;1006;Nuevo Baztán;81.166.473,00;79.727.991,00;86.448.708,00;91.473.296,00;98.774.347,00;100.690.780,00;109.221.858,00;122.157.228,00;133.754.699,00;
Municipios;1013;Olmeda de las Fuentes;5.698.956,00;5.462.985,00;5.993.028,00;6.215.280,00;7.308.409,00;6.573.600,00;7.829.072,00;8.660.120,00;10.472.854,00;
Municipios;1028;Orusco de Tajuña;12.079.745,00;11.850.380,00;12.923.560,00;13.458.794,00;14.486.580,00;14.816.844,00;16.014.060,00;17.893.956,00;20.203.128,00;
Municipios;1049;Paracuellos de Jarama;437.395.428,00;456.784.279,00;483.277.600,00;522.365.494,00;560.441.959,00;562.545.178,00;589.115.868,00;649.010.961,00;706.294.350,00;
Municipios;1065;Parla;1.207.684.080,00;1.229.005.544,00;1.312.813.852,00;1.392.210.434,00;1.469.964.480,00;1.469.978.230,00;1.538.806.685,00;1.661.289.973,00;1.794.892.614,00;
Municipios;1071;Patones;7.764.430,00;7.520.200,00;7.276.494,00;8.079.634,00;7.902.363,00;8.417.710,00;8.854.950,00;9.693.432,00;10.319.925,00;
Municipios;1087;Pedrezuela;79.414.821,00;79.410.289,00;84.892.325,00;90.078.080,00;97.558.263,00;100.226.728,00;107.150.006,00;118.837.010,00;128.542.820,00;
Municipios;1090;Pelayos de la Presa;22.400.328,00;22.668.889,00;24.353.050,00;26.836.656,00;29.371.734,00;32.986.215,00;34.086.143,00;37.578.665,00;42.742.080,00;
Municipios;1104;Perales de Tajuña;29.137.388,00;30.012.710,00;31.719.280,00;34.225.275,00;36.154.836,00;37.438.386,00;39.495.600,00;44.242.896,00;47.882.100,00;
Municipios;1111;Pezuela de las Torres;9.219.615,00;10.085.865,00;10.163.480,00;10.864.670,00;11.870.964,00;13.344.586,00;13.970.680,00;15.284.830,00;16.646.850,00;
Municipios;1126;Pinilla del Valle;2.790.912,00;2.854.735,00;2.799.858,00;2.747.210,00;2.932.996,00;3.343.956,00;3.578.058,00;4.109.172,00;4.349.145,00;
Municipios;1132;Pinto;669.749.192,00;687.710.241,00;737.393.083,00;780.166.464,00;832.885.284,00;842.481.675,00;892.042.735,00;968.584.648,00;1.044.976.725,00;
Municipios;1147;Piñuécar-Gandullas;2.193.545,00;2.265.540,00;2.229.720,00;2.492.648,00;2.537.325,00;2.738.370,00;2.979.696,00;3.016.922,00;3.369.775,00;
Municipios;1150;Pozuelo de Alarcón;2.774.625.525,00;3.008.477.500,00;3.051.688.822,00;3.361.943.987,00;3.114.950.076,00;3.132.678.464,00;3.308.329.362,00;3.579.964.654,00;3.847.306.512,00;
Municipios;1163;Pozuelo del Rey;12.724.573,00;13.076.730,00;14.329.770,00;15.160.090,00;15.354.668,00;16.537.808,00;17.149.260,00;18.870.764,00;20.701.800,00;
Municipios;1179;Prádena del Rincón;1.963.845,00;1.928.808,00;2.126.952,00;2.230.400,00;2.304.421,00;2.702.413,00;3.393.624,00;3.112.950,00;3.178.374,00;
Municipios;1185;Puebla de la Sierra;-;-;-;-;-;1.250.352,00;1.325.023,00;1.881.798,00;1.857.489,00;
Municipios;9020;Puentes Viejas;8.823.232,00;9.038.250,00;8.911.337,00;10.341.534,00;11.237.731,00;11.602.780,00;12.584.335,00;13.885.802,00;14.602.284,00;
Municipios;1198;Quijorna;40.577.407,00;42.513.600,00;43.781.254,00;47.147.892,00;50.526.084,00;51.218.994,00;55.732.608,00;61.796.750,00;70.040.890,00;
Municipios;1202;Rascafría;23.037.120,00;23.521.716,00;24.279.876,00;25.855.368,00;27.157.825,00;29.282.924,00;30.632.658,00;32.552.341,00;33.820.560,00;
Municipios;1219;Redueña;4.074.471,00;3.502.765,00;3.660.234,00;4.352.754,00;4.316.759,00;5.388.088,00;5.145.000,00;5.538.190,00;5.776.636,00;
Municipios;1224;Ribatejada;8.467.200,00;9.387.225,00;9.717.500,00;10.514.885,00;11.535.370,00;12.281.667,00;13.319.112,00;14.638.007,00;16.915.360,00;
Municipios;1230;Rivas-Vaciamadrid;1.322.840.272,00;1.384.149.520,00;1.463.627.799,00;1.569.093.120,00;1.699.023.495,00;1.763.476.872,00;1.932.898.590,00;2.131.952.030,00;2.342.382.072,00;
Municipios;1245;Robledillo de la Jara;-;-;-;-;-;1.595.844,00;1.901.862,00;1.823.794,00;2.206.045,00;
Municipios;1258;Robledo de Chavela;50.000.650,00;49.645.752,00;53.337.024,00;56.977.716,00;61.797.120,00;67.464.207,00;70.853.420,00;77.004.992,00;83.799.902,00;
Municipios;1261;Robregordo;-;-;-;-;-;1.151.640,00;1.270.570,00;1.270.920,00;1.458.029,00;
Municipios;1277;Rozas de Madrid (Las);2.299.242.820,00;2.370.465.980,00;2.377.090.912,00;2.482.397.344,00;2.567.091.324,00;2.546.995.066,00;2.673.552.649,00;2.953.962.745,00;3.180.719.920,00;
Municipios;1283;Rozas de Puerto Real;6.578.819,00;6.954.465,00;7.103.994,00;7.112.886,00;7.652.190,00;8.457.520,00;8.677.368,00;8.861.054,00;9.218.562,00;
Municipios;1296;San Agustín del Guadalix;237.249.792,00;243.103.345,00;250.812.355,00;273.933.117,00;275.316.027,00;283.190.739,00;300.142.688,00;325.225.836,00;348.907.275,00;
Municipios;1300;San Fernando de Henares;509.569.360,00;519.477.816,00;539.355.792,00;564.110.316,00;591.504.300,00;589.424.319,00;612.270.638,00;647.061.416,00;697.123.370,00;
Municipios;1317;San Lorenzo de El Escorial;270.363.928,00;271.167.733,00;281.542.775,00;299.674.962,00;312.512.592,00;317.007.180,00;336.091.247,00;367.755.800,00;395.639.660,00;
Municipios;1338;San Martín de Valdeiglesias;81.619.410,00;83.267.975,00;87.745.490,00;94.223.580,00;100.228.502,00;107.983.582,00;115.102.416,00;120.332.048,00;134.206.653,00;
Municipios;1322;San Martín de la Vega;192.617.368,00;196.527.120,00;208.880.040,00;223.779.834,00;238.752.450,00;242.841.648,00;258.403.480,00;278.467.570,00;305.519.662,00;
Municipios;1343;San Sebastián de los Reyes;1.447.377.600,00;1.487.702.106,00;1.550.853.824,00;1.675.254.310,00;1.769.045.230,00;1.794.033.010,00;1.887.211.276,00;2.070.507.740,00;2.261.020.512,00;
Municipios;1356;Santa María de la Alameda;13.895.973,00;13.806.210,00;14.147.000,00;15.918.864,00;16.973.657,00;18.812.092,00;20.877.678,00;23.162.835,00;24.622.872,00;
Municipios;1369;Santorcaz;9.464.784,00;9.820.560,00;10.634.072,00;11.370.657,00;12.290.400,00;12.873.336,00;13.874.595,00;15.067.780,00;16.265.508,00;
