Serie;id;Nombre;1994;1995;1996;1997;1998;1999;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;174,00;205,00;222,00;229,00;234,00;226,00;278,00;255,00;277,00;297,00;319,00;358,00;409,00;467,00;536,00;634,00;671,00;666,00;702,00;734,00;738,00;731,00;724,00;756,00;817,00;847,00;853,00;797,00;710,00;668,00;
Municipios;0035;Alameda del Valle;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0040;Álamo (El);386,00;402,00;400,00;433,00;438,00;452,00;532,00;554,00;642,00;755,00;859,00;968,00;1.037,00;1.077,00;1.067,00;1.038,00;1.008,00;1.044,00;1.074,00;1.053,00;1.039,00;1.027,00;1.048,00;1.073,00;1.076,00;1.089,00;1.053,00;1.075,00;1.103,00;1.139,00;
Municipios;0053;Alcalá de Henares;31.679,00;31.190,00;30.341,00;30.293,00;29.488,00;27.850,00;27.148,00;25.327,00;25.350,00;24.852,00;24.936,00;24.795,00;24.866,00;24.927,00;25.376,00;25.987,00;26.583,00;26.893,00;27.038,00;27.045,00;26.808,00;26.723,00;26.397,00;26.308,00;25.947,00;26.285,00;26.498,00;26.668,00;27.481,00;27.540,00;
Municipios;0066;Alcobendas;11.452,00;11.253,00;11.437,00;10.915,00;11.301,00;11.107,00;10.761,00;10.501,00;10.644,00;10.695,00;11.049,00;11.271,00;11.072,00;11.678,00;11.993,00;12.134,00;12.686,00;12.627,00;12.905,00;12.944,00;13.140,00;13.214,00;13.487,00;13.505,00;13.502,00;13.763,00;13.826,00;13.903,00;13.948,00;13.775,00;
Municipios;0072;Alcorcón;20.759,00;19.777,00;18.756,00;18.715,00;17.530,00;16.258,00;15.970,00;14.154,00;14.095,00;14.179,00;14.713,00;14.863,00;14.908,00;15.245,00;16.173,00;16.718,00;17.401,00;17.964,00;18.223,00;18.457,00;18.767,00;18.867,00;19.136,00;19.355,00;19.492,00;19.644,00;20.790,00;21.362,00;21.840,00;22.290,00;
Municipios;0088;Aldea del Fresno;176,00;186,00;187,00;154,00;172,00;168,00;157,00;169,00;190,00;185,00;208,00;231,00;209,00;221,00;239,00;270,00;276,00;267,00;292,00;295,00;280,00;268,00;280,00;296,00;294,00;305,00;294,00;305,00;298,00;283,00;
Municipios;0091;Algete;2.698,00;2.719,00;2.818,00;2.842,00;2.790,00;3.102,00;3.237,00;3.293,00;3.357,00;3.399,00;3.364,00;3.335,00;3.337,00;3.241,00;3.183,00;3.129,00;3.046,00;3.138,00;3.330,00;3.437,00;3.581,00;3.680,00;3.698,00;3.624,00;3.658,00;3.710,00;3.698,00;3.616,00;3.574,00;3.579,00;
Municipios;0105;Alpedrete;598,00;619,00;682,00;782,00;859,00;956,00;1.022,00;1.332,00;1.443,00;1.476,00;1.568,00;1.754,00;1.827,00;1.930,00;1.856,00;1.804,00;1.870,00;1.924,00;2.015,00;2.095,00;2.127,00;2.172,00;2.178,00;2.217,00;2.179,00;2.188,00;2.172,00;2.101,00;2.005,00;1.929,00;
Municipios;0112;Ambite;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;6,00;10,00;6,00;7,00;10,00;7,00;6,00;8,00;10,00;9,00;10,00;13,00;
Municipios;0127;Anchuelo;89,00;359,00;347,00;328,00;313,00;314,00;301,00;280,00;268,00;273,00;299,00;212,00;223,00;227,00;236,00;218,00;232,00;268,00;294,00;273,00;272,00;276,00;296,00;314,00;319,00;302,00;316,00;339,00;162,00;165,00;
Municipios;0133;Aranjuez;4.950,00;4.871,00;4.811,00;4.868,00;4.828,00;4.765,00;4.767,00;4.647,00;4.729,00;4.882,00;5.160,00;5.224,00;5.520,00;5.710,00;5.765,00;5.768,00;6.024,00;6.118,00;6.374,00;6.568,00;6.683,00;6.821,00;7.128,00;7.280,00;7.366,00;7.599,00;7.531,00;7.638,00;7.736,00;7.695,00;
Municipios;0148;Arganda del Rey;6.557,00;6.236,00;6.243,00;6.161,00;6.041,00;5.865,00;5.979,00;5.785,00;6.092,00;6.275,00;6.373,00;6.567,00;6.092,00;6.424,00;6.693,00;6.932,00;7.242,00;7.632,00;7.797,00;8.034,00;8.196,00;8.416,00;8.479,00;8.531,00;8.699,00;8.828,00;8.844,00;8.882,00;8.936,00;9.039,00;
Municipios;0151;Arroyomolinos;386,00;435,00;477,00;470,00;476,00;502,00;536,00;681,00;825,00;959,00;1.126,00;1.304,00;1.475,00;1.697,00;2.159,00;2.593,00;2.912,00;3.319,00;3.559,00;3.575,00;3.693,00;3.920,00;4.509,00;4.761,00;5.077,00;5.358,00;5.542,00;5.743,00;5.813,00;5.874,00;
