centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;dat_codigo;dat_nombre;direccion_coor_x;direccion_coor_y;bilingue_idioma;british;seccion_ling_ingles;seccion_ling_frances;seccion_ling_aleman
28000029;SAN BLAS;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;3;Madrid-Este;458832;4487797;IN;;;;
28000042;EL ALAMO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;415961;4453703;IN;;;;
28000081;DAOIZ Y VELARDE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;468826;4481956;IN;;;;
28000157;SAGRADO CORAZON DE JESUS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;468895;4481221;IN;;;;
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;IN;;;;S
28000376;NUESTRA SEÑORA DEL VAL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;470873;4481791;IN;;;;
28000492;LOPE DE VEGA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;469744;4482228;IN;;;;
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;;;;S;
28000558;INFANTA CATALINA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;468204;4480481;IN;;;;
28000595;FEDERICO GARCIA LORCA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;445032;4488554;IN;;;;
28000601;ANTONIO MACHADO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;445886;4488631;IN;;;;
28000753;FRANCISCO GINER DE LOS RIOS;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;447429;4487172;;;;;S
28000765;DAOIZ Y VELARDE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;443977;4488551;IN;;;;
28000856;CARMEN CONDE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;429272;4466006;IN;;;;
28001010;AMOR DE DIOS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;430735;4467059;IN;;;;
28001022;LA INMACULADA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;431067;4466962;IN;;;;
28001034;VIRGEN DEL REMEDIO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;430148;4467116;IN;;;;
28001137;DANIEL MARTIN;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;430417;4466548;IN;;;;
28001241;NUESTRA SEÑORA DE FATIMA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;398068;4464438;IN;;;;
28001277;OBISPO MOSCOSO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;457953;4494426;IN;;;;
28001289;SANTA QUITERIA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;413796;4500973;IN;;;;
28001371;SAN JOSE DE CALASANZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;449000;4430989;IN;;;;
28001551;VICENTE ALEIXANDRE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;448855;4431855;IN;;;;
28001563;APOSTOL SANTIAGO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;449686;4431847;IN;;;;
28001617;SAN ISIDRO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;449488;4431557;IN;;;;
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;IN;;;;
28001678;JORGE MANRIQUE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;440399;4493685;IN;;;;S
28001681;NUESTRA SEÑORA DE LA MILAGROSA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;462127;4461186;IN;;;;
28001769;EL CARRASCAL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;462479;4460073;IN;;;;
28001812;JUAN RAMON JIMENEZ;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;416281;4507436;IN;;;;
28001848;PRINCIPE DON FELIPE;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;425438;4473342;IN;;;;
28001873;SAN SEBASTIAN;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;422324;4507150;IN;;;;
28001940;BATALLA DE BRUNETE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;415045;4473287;IN;;;;
28001952;PEÑALTA;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;1;Madrid-Norte;446417;4538003;IN;;;;
28001976;GSD INTERNATIONAL SCHOOL BUITRAGO;073;CPR PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;1;Madrid-Norte;446290;4537673;IN;;;;
28002038;FEDERICO GARCIA LORCA;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;3;Madrid-Este;468269;4488523;IN;;;;
28002129;VIA ROMANA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;411461;4510509;IN;;;;
28002142;REGINA ASSUMPTA;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;4;Madrid-Oeste;410644;4510267;IN;;;;
28002191;VIRGEN DEL CONSUELO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;447147;4445312;IN;;;;
28002211;VILLA DE COBEÑA;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;1;Madrid-Norte;457159;4491094;IN;;;;
28002269;SEIS DE DICIEMBRE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;414069;4490088;IN;;;;
28002270;SOLEDAD SAINZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;435429;4501233;IN;;;;
28002282;VIRGEN DE LOS REMEDIOS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;435134;4501531;IN;;;;
28002312;MARQUES DE SANTILLANA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;434845;4502351;IN;;;;
28002415;JAIME FERRAN;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;415198;4499081;IN;;;;
28002464;SAN PABLO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;451771;4475359;IN;;;;
28002580;MIGUEL CATALÁN;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;454090;4475869;IN;;;;
