Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;0014;Acebeda (La);1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0029;Ajalvir;14,00;14,00;14,00;14,00;14,00;20,00;22,00;22,00;22,00;22,00;25,00;18,00;19,00;19,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;27,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;0035;Alameda del Valle;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0040;Álamo (El);9,00;9,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;22,00;18,00;18,00;24,00;24,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;35,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;
Municipios;0053;Alcalá de Henares;212,00;212,00;188,00;190,00;221,00;239,00;284,00;299,00;313,00;325,00;326,00;303,00;316,00;314,00;326,00;324,00;325,00;323,00;338,00;322,00;326,00;321,00;319,00;395,00;327,00;369,00;334,00;335,00;336,00;340,00;333,00;
Municipios;0066;Alcobendas;143,00;143,00;142,00;138,00;154,00;169,00;181,00;154,00;179,00;186,00;203,00;177,00;199,00;200,00;231,00;233,00;244,00;245,00;251,00;245,00;242,00;241,00;241,00;305,00;241,00;241,00;240,00;240,00;240,00;246,00;240,00;
Municipios;0072;Alcorcón;115,00;115,00;127,00;120,00;118,00;152,00;162,00;166,00;173,00;189,00;189,00;177,00;178,00;180,00;180,00;181,00;191,00;196,00;209,00;210,00;212,00;212,00;208,00;270,00;220,00;222,00;223,00;223,00;226,00;228,00;226,00;
Municipios;0088;Aldea del Fresno;6,00;6,00;6,00;6,00;6,00;6,00;9,00;9,00;11,00;11,00;11,00;11,00;14,00;14,00;14,00;15,00;15,00;14,00;14,00;14,00;12,00;14,00;14,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;13,00;
Municipios;0091;Algete;19,00;19,00;18,00;20,00;31,00;35,00;34,00;37,00;37,00;70,00;71,00;61,00;63,00;63,00;68,00;68,00;68,00;67,00;72,00;45,00;44,00;43,00;43,00;78,00;43,00;43,00;43,00;43,00;42,00;41,00;41,00;
Municipios;0105;Alpedrete;10,00;10,00;9,00;9,00;9,00;10,00;10,00;12,00;14,00;14,00;16,00;16,00;20,00;20,00;40,00;22,00;24,00;24,00;24,00;24,00;25,00;25,00;25,00;52,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;
Municipios;0112;Ambite;2,00;2,00;4,00;4,00;4,00;7,00;7,00;7,00;7,00;7,00;7,00;6,00;6,00;6,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;10,00;7,00;7,00;7,00;7,00;7,00;8,00;8,00;
Municipios;0127;Anchuelo;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;
Municipios;0133;Aranjuez;85,00;85,00;89,00;89,00;89,00;90,00;94,00;93,00;93,00;94,00;94,00;94,00;98,00;108,00;120,00;119,00;125,00;132,00;150,00;132,00;129,00;126,00;130,00;166,00;131,00;134,00;147,00;147,00;152,00;153,00;148,00;
Municipios;0148;Arganda del Rey;102,00;102,00;108,00;108,00;123,00;141,00;132,00;125,00;123,00;130,00;132,00;113,00;152,00;152,00;152,00;160,00;166,00;166,00;177,00;161,00;163,00;163,00;161,00;217,00;161,00;161,00;161,00;164,00;164,00;167,00;163,00;
