precio,banos,habitaciones,propertyCode,url
375000.0,3,3,103033984,https://www.idealista.com/inmueble/103033984/
275000.0,3,3,102403768,https://www.idealista.com/inmueble/102403768/
320000.0,3,4,103787421,https://www.idealista.com/inmueble/103787421/
230000.0,1,2,103505905,https://www.idealista.com/inmueble/103505905/
275000.0,3,3,98271847,https://www.idealista.com/inmueble/98271847/
196000.0,2,2,102976750,https://www.idealista.com/inmueble/102976750/
188700.0,1,1,103135840,https://www.idealista.com/inmueble/103135840/
216000.0,1,2,103885199,https://www.idealista.com/inmueble/103885199/
169000.0,1,1,101439141,https://www.idealista.com/inmueble/101439141/
375000.0,3,4,102982602,https://www.idealista.com/obra-nueva/102982602/
380000.0,3,4,102982646,https://www.idealista.com/obra-nueva/102982646/
390000.0,3,4,102982622,https://www.idealista.com/obra-nueva/102982622/
158000.0,1,1,102827665,https://www.idealista.com/inmueble/102827665/
390000.0,3,3,101533187,https://www.idealista.com/inmueble/101533187/
219900.0,2,3,103529096,https://www.idealista.com/inmueble/103529096/
199750.0,1,2,103104163,https://www.idealista.com/obra-nueva/103104163/
236215.0,1,2,103104132,https://www.idealista.com/obra-nueva/103104132/
355000.0,4,4,102987575,https://www.idealista.com/inmueble/102987575/
199750.0,2,2,102854053,https://www.idealista.com/inmueble/102854053/
230000.0,2,3,103340918,https://www.idealista.com/inmueble/103340918/
385000.0,3,4,100953388,https://www.idealista.com/obra-nueva/100953388/
375000.0,3,4,100953373,https://www.idealista.com/obra-nueva/100953373/
415000.0,3,4,100953365,https://www.idealista.com/obra-nueva/100953365/
405000.0,3,4,100953343,https://www.idealista.com/obra-nueva/100953343/
365000.0,3,4,100953377,https://www.idealista.com/obra-nueva/100953377/
395000.0,3,4,100953407,https://www.idealista.com/obra-nueva/100953407/
230000.0,2,3,103268317,https://www.idealista.com/inmueble/103268317/
500000.0,3,5,100908464,https://www.idealista.com/inmueble/100908464/
385000.0,3,4,102053472,https://www.idealista.com/inmueble/102053472/
298000.0,2,3,103054379,https://www.idealista.com/inmueble/103054379/
230000.0,2,3,103044938,https://www.idealista.com/inmueble/103044938/
319900.0,3,3,103315860,https://www.idealista.com/inmueble/103315860/
146900.0,1,1,103748468,https://www.idealista.com/inmueble/103748468/
225000.0,1,2,102159751,https://www.idealista.com/inmueble/102159751/
275000.0,3,3,102682972,https://www.idealista.com/inmueble/102682972/
163000.0,1,2,103779960,https://www.idealista.com/inmueble/103779960/
190000.0,3,4,101252878,https://www.idealista.com/inmueble/101252878/
163000.0,1,2,103208067,https://www.idealista.com/inmueble/103208067/
158000.0,1,1,103698478,https://www.idealista.com/inmueble/103698478/
