precio,banos,habitaciones,propertyCode,url
457600.0,3,5,103730221,https://www.idealista.com/inmueble/103730221/
409000.0,2,3,103744209,https://www.idealista.com/inmueble/103744209/
196193.0,2,2,102491056,https://www.idealista.com/inmueble/102491056/
130890.0,1,3,102645536,https://www.idealista.com/inmueble/102645536/
425000.0,3,3,101616398,https://www.idealista.com/inmueble/101616398/
269990.0,2,3,102664212,https://www.idealista.com/inmueble/102664212/
142890.0,1,3,102052095,https://www.idealista.com/inmueble/102052095/
140000.0,1,3,101237927,https://www.idealista.com/inmueble/101237927/
425759.0,3,3,102856384,https://www.idealista.com/inmueble/102856384/
485900.0,3,3,101164232,https://www.idealista.com/inmueble/101164232/
249900.0,1,3,100696142,https://www.idealista.com/inmueble/100696142/
395000.0,3,4,103237208,https://www.idealista.com/inmueble/103237208/
379900.0,2,3,102466020,https://www.idealista.com/inmueble/102466020/
272000.0,2,3,102965996,https://www.idealista.com/inmueble/102965996/
164900.0,1,2,102547653,https://www.idealista.com/inmueble/102547653/
299000.0,1,2,103067497,https://www.idealista.com/inmueble/103067497/
339900.0,3,4,101222679,https://www.idealista.com/inmueble/101222679/
198000.0,1,4,103142916,https://www.idealista.com/inmueble/103142916/
405000.0,2,3,99022821,https://www.idealista.com/obra-nueva/99022821/
375000.0,2,3,99022694,https://www.idealista.com/obra-nueva/99022694/
430000.0,2,3,99022822,https://www.idealista.com/obra-nueva/99022822/
299000.0,2,2,99022838,https://www.idealista.com/obra-nueva/99022838/
435000.0,2,3,99022840,https://www.idealista.com/obra-nueva/99022840/
699000.0,4,7,102890079,https://www.idealista.com/inmueble/102890079/
815350.0,5,8,103792510,https://www.idealista.com/inmueble/103792510/
440000.0,3,4,102515088,https://www.idealista.com/obra-nueva/102515088/
435000.0,2,4,102514947,https://www.idealista.com/obra-nueva/102514947/
445000.0,2,3,102514958,https://www.idealista.com/obra-nueva/102514958/
450000.0,2,3,102514944,https://www.idealista.com/obra-nueva/102514944/
435000.0,2,3,102514956,https://www.idealista.com/obra-nueva/102514956/
287000.0,2,2,102881295,https://www.idealista.com/inmueble/102881295/
485000.0,2,2,102524622,https://www.idealista.com/obra-nueva/102524622/
465000.0,2,2,98424705,https://www.idealista.com/obra-nueva/98424705/
340000.0,2,4,103490733,https://www.idealista.com/inmueble/103490733/
267919.0,2,2,85803865,https://www.idealista.com/obra-nueva/85803865/
315000.0,2,3,101541798,https://www.idealista.com/obra-nueva/101541798/
270000.0,2,2,101541797,https://www.idealista.com/obra-nueva/101541797/
304000.0,2,2,103377956,https://www.idealista.com/obra-nueva/103377956/
345000.0,2,3,102210562,https://www.idealista.com/obra-nueva/102210562/
495000.0,3,3,99732905,https://www.idealista.com/obra-nueva/99732905/
525000.0,3,3,99733023,https://www.idealista.com/obra-nueva/99733023/
313925.0,2,3,85803868,https://www.idealista.com/obra-nueva/85803868/
505000.0,3,3,99733056,https://www.idealista.com/obra-nueva/99733056/
385000.0,2,3,103531408,https://www.idealista.com/obra-nueva/103531408/
439766.0,2,3,85803935,https://www.idealista.com/obra-nueva/85803935/
399000.0,2,3,103531404,https://www.idealista.com/obra-nueva/103531404/
305806.0,2,2,85803933,https://www.idealista.com/obra-nueva/85803933/
309866.0,2,2,85803931,https://www.idealista.com/obra-nueva/85803931/
308513.0,2,2,85803932,https://www.idealista.com/obra-nueva/85803932/
307159.0,2,2,85803934,https://www.idealista.com/obra-nueva/85803934/
