precio,banos,habitaciones,propertyCode,url
520000.0,3,4,101693875,https://www.idealista.com/inmueble/101693875/
580000.0,3,3,102510067,https://www.idealista.com/inmueble/102510067/
424348.0,3,4,100013092,https://www.idealista.com/inmueble/100013092/
420000.0,2,5,103499951,https://www.idealista.com/inmueble/103499951/
210000.0,1,3,103390836,https://www.idealista.com/inmueble/103390836/
595000.0,3,4,101974745,https://www.idealista.com/inmueble/101974745/
189000.0,1,2,102153724,https://www.idealista.com/inmueble/102153724/
299000.0,2,4,103309853,https://www.idealista.com/inmueble/103309853/
520000.0,4,5,103111236,https://www.idealista.com/inmueble/103111236/
314000.0,2,5,98496205,https://www.idealista.com/inmueble/98496205/
859000.0,4,6,102619970,https://www.idealista.com/inmueble/102619970/
420000.0,6,6,99273379,https://www.idealista.com/inmueble/99273379/
499495.0,3,4,103054850,https://www.idealista.com/inmueble/103054850/
520000.0,5,5,103031350,https://www.idealista.com/inmueble/103031350/
155000.0,1,2,102227710,https://www.idealista.com/inmueble/102227710/
333000.0,2,3,103030132,https://www.idealista.com/obra-nueva/103030132/
137000.0,1,0,103030115,https://www.idealista.com/obra-nueva/103030115/
249000.0,2,2,103030178,https://www.idealista.com/obra-nueva/103030178/
223000.0,1,2,103030167,https://www.idealista.com/obra-nueva/103030167/
170000.0,1,1,103030160,https://www.idealista.com/obra-nueva/103030160/
349000.0,5,4,103456809,https://www.idealista.com/inmueble/103456809/
525000.0,3,4,102491759,https://www.idealista.com/inmueble/102491759/
330000.0,3,5,103782160,https://www.idealista.com/inmueble/103782160/
193000.0,2,2,98985659,https://www.idealista.com/obra-nueva/98985659/
394000.0,3,5,103324115,https://www.idealista.com/inmueble/103324115/
181000.0,2,2,98985645,https://www.idealista.com/obra-nueva/98985645/
207000.0,2,2,98985623,https://www.idealista.com/obra-nueva/98985623/
176000.0,2,1,98985644,https://www.idealista.com/obra-nueva/98985644/
162000.0,1,1,98985584,https://www.idealista.com/obra-nueva/98985584/
232000.0,2,2,98985676,https://www.idealista.com/obra-nueva/98985676/
136010.0,2,2,98122819,https://www.idealista.com/inmueble/98122819/
1225700.0,9,12,95850967,https://www.idealista.com/inmueble/95850967/
220000.0,2,4,102948951,https://www.idealista.com/inmueble/102948951/
590000.0,5,5,103208739,https://www.idealista.com/inmueble/103208739/
420000.0,4,4,103042996,https://www.idealista.com/inmueble/103042996/
495000.0,3,3,103167321,https://www.idealista.com/inmueble/103167321/
300000.0,3,3,103362867,https://www.idealista.com/inmueble/103362867/
210000.0,2,3,103337350,https://www.idealista.com/inmueble/103337350/
420000.0,2,4,103157727,https://www.idealista.com/inmueble/103157727/
344999.0,2,4,103099066,https://www.idealista.com/inmueble/103099066/
279000.0,3,4,101812666,https://www.idealista.com/inmueble/101812666/
1089000.0,4,4,100569712,https://www.idealista.com/inmueble/100569712/
135000.0,1,2,103299842,https://www.idealista.com/inmueble/103299842/
739000.0,3,3,98380308,https://www.idealista.com/inmueble/98380308/
420000.0,3,3,84472185,https://www.idealista.com/inmueble/84472185/
460000.0,2,4,99603130,https://www.idealista.com/inmueble/99603130/
420000.0,3,4,103071520,https://www.idealista.com/inmueble/103071520/
339900.0,3,4,102705700,https://www.idealista.com/inmueble/102705700/
530999.0,4,5,97534841,https://www.idealista.com/inmueble/97534841/
125000.0,2,3,103622817,https://www.idealista.com/inmueble/103622817/
