precio,banos,habitaciones,propertyCode,url
849000.0,4,4,103432152,https://www.idealista.com/inmueble/103432152/
745000.0,3,3,102245756,https://www.idealista.com/inmueble/102245756/
1200000.0,6,6,100312865,https://www.idealista.com/inmueble/100312865/
460000.0,3,5,102750955,https://www.idealista.com/inmueble/102750955/
260000.0,2,3,100300684,https://www.idealista.com/inmueble/100300684/
370000.0,4,4,102495016,https://www.idealista.com/inmueble/102495016/
564900.0,5,5,103776632,https://www.idealista.com/inmueble/103776632/
439500.0,3,4,100773934,https://www.idealista.com/inmueble/100773934/
380000.0,3,5,103748850,https://www.idealista.com/inmueble/103748850/
535000.0,4,5,101519362,https://www.idealista.com/inmueble/101519362/
675000.0,6,5,99045673,https://www.idealista.com/inmueble/99045673/
408000.0,3,4,103790437,https://www.idealista.com/inmueble/103790437/
499000.0,2,3,102951095,https://www.idealista.com/inmueble/102951095/
379900.0,3,5,102973556,https://www.idealista.com/inmueble/102973556/
219900.0,2,4,100505400,https://www.idealista.com/inmueble/100505400/
499900.0,2,4,99075178,https://www.idealista.com/inmueble/99075178/
365000.0,3,4,102700126,https://www.idealista.com/inmueble/102700126/
550000.0,3,4,103545799,https://www.idealista.com/obra-nueva/103545799/
175000.0,1,2,103470923,https://www.idealista.com/inmueble/103470923/
576000.0,4,4,103410526,https://www.idealista.com/obra-nueva/103410526/
553000.0,4,4,103410523,https://www.idealista.com/obra-nueva/103410523/
573000.0,4,4,103410470,https://www.idealista.com/obra-nueva/103410470/
568000.0,4,4,103410539,https://www.idealista.com/obra-nueva/103410539/
259000.0,2,2,103215807,https://www.idealista.com/inmueble/103215807/
583000.0,4,4,103410442,https://www.idealista.com/obra-nueva/103410442/
563000.0,4,4,103410522,https://www.idealista.com/obra-nueva/103410522/
623000.0,4,4,103410472,https://www.idealista.com/obra-nueva/103410472/
550000.0,4,4,103410524,https://www.idealista.com/obra-nueva/103410524/
578000.0,4,4,103410517,https://www.idealista.com/obra-nueva/103410517/
699000.0,3,4,103366565,https://www.idealista.com/inmueble/103366565/
345000.0,5,5,98828718,https://www.idealista.com/inmueble/98828718/
450000.0,3,4,103675561,https://www.idealista.com/inmueble/103675561/
390000.0,2,3,100894293,https://www.idealista.com/inmueble/100894293/
540000.0,4,5,102842338,https://www.idealista.com/inmueble/102842338/
160000.0,1,1,101257088,https://www.idealista.com/inmueble/101257088/
408000.0,4,5,102867644,https://www.idealista.com/inmueble/102867644/
178000.0,1,3,103756680,https://www.idealista.com/inmueble/103756680/
490000.0,3,4,103433784,https://www.idealista.com/inmueble/103433784/
165000.0,1,3,103442974,https://www.idealista.com/inmueble/103442974/
188000.0,1,3,103078188,https://www.idealista.com/inmueble/103078188/
175000.0,1,2,98318969,https://www.idealista.com/inmueble/98318969/
165000.0,2,3,95254972,https://www.idealista.com/inmueble/95254972/
143000.0,1,1,103222271,https://www.idealista.com/inmueble/103222271/
629000.0,4,5,94968173,https://www.idealista.com/inmueble/94968173/
479000.0,3,4,103593815,https://www.idealista.com/obra-nueva/103593815/
570000.0,4,6,102793472,https://www.idealista.com/inmueble/102793472/
580000.0,3,5,102719382,https://www.idealista.com/inmueble/102719382/
210000.0,1,3,103543720,https://www.idealista.com/inmueble/103543720/
1200000.0,4,5,103331595,https://www.idealista.com/inmueble/103331595/
469000.0,3,4,103467077,https://www.idealista.com/inmueble/103467077/
