precio,banos,habitaciones,propertyCode,url
375000.0,3,4,102499537,https://www.idealista.com/inmueble/102499537/
164900.0,1,3,102566104,https://www.idealista.com/inmueble/102566104/
244000.0,2,3,101536839,https://www.idealista.com/inmueble/101536839/
515000.0,2,3,98686020,https://www.idealista.com/inmueble/98686020/
549500.0,4,4,100980833,https://www.idealista.com/inmueble/100980833/
449000.0,4,5,103757515,https://www.idealista.com/inmueble/103757515/
595000.0,3,3,90716637,https://www.idealista.com/inmueble/90716637/
124990.0,1,1,103789939,https://www.idealista.com/inmueble/103789939/
124000.0,1,3,103263575,https://www.idealista.com/inmueble/103263575/
590000.0,5,5,100345706,https://www.idealista.com/inmueble/100345706/
155000.0,1,2,103660396,https://www.idealista.com/inmueble/103660396/
208000.0,2,3,103451306,https://www.idealista.com/inmueble/103451306/
212000.0,2,3,103050244,https://www.idealista.com/inmueble/103050244/
215000.0,2,3,103712760,https://www.idealista.com/inmueble/103712760/
355000.0,2,4,103722945,https://www.idealista.com/inmueble/103722945/
323535.0,2,3,103774547,https://www.idealista.com/obra-nueva/103774547/
218000.0,2,2,103707512,https://www.idealista.com/obra-nueva/103707512/
255000.0,2,3,102621101,https://www.idealista.com/obra-nueva/102621101/
265000.0,2,3,102621131,https://www.idealista.com/obra-nueva/102621131/
228000.0,2,2,103531311,https://www.idealista.com/obra-nueva/103531311/
212000.0,2,2,103531320,https://www.idealista.com/obra-nueva/103531320/
285000.0,3,3,103541535,https://www.idealista.com/inmueble/103541535/
214999.0,2,3,103787916,https://www.idealista.com/inmueble/103787916/
77000.0,1,1,96793258,https://www.idealista.com/inmueble/96793258/
320000.0,2,4,103715145,https://www.idealista.com/inmueble/103715145/
220000.0,2,3,100257456,https://www.idealista.com/obra-nueva/100257456/
250000.0,2,3,100218113,https://www.idealista.com/obra-nueva/100218113/
540000.0,4,4,103017916,https://www.idealista.com/inmueble/103017916/
240000.0,2,3,100218120,https://www.idealista.com/obra-nueva/100218120/
230000.0,2,3,100218140,https://www.idealista.com/obra-nueva/100218140/
230000.0,2,3,100257461,https://www.idealista.com/obra-nueva/100257461/
225000.0,2,3,100218131,https://www.idealista.com/obra-nueva/100218131/
235000.0,2,3,100218141,https://www.idealista.com/obra-nueva/100218141/
250000.0,2,3,100217988,https://www.idealista.com/obra-nueva/100217988/
230000.0,2,3,100218129,https://www.idealista.com/obra-nueva/100218129/
225000.0,2,3,100257435,https://www.idealista.com/obra-nueva/100257435/
150000.0,1,3,102857908,https://www.idealista.com/inmueble/102857908/
240000.0,2,3,102489969,https://www.idealista.com/inmueble/102489969/
125000.0,1,3,102825504,https://www.idealista.com/inmueble/102825504/
152000.0,1,1,99856274,https://www.idealista.com/obra-nueva/99856274/
250500.0,2,2,97612372,https://www.idealista.com/obra-nueva/97612372/
242000.0,2,3,99076501,https://www.idealista.com/obra-nueva/99076501/
220000.0,2,3,98603704,https://www.idealista.com/obra-nueva/98603704/
236000.0,2,3,97612323,https://www.idealista.com/obra-nueva/97612323/
237000.0,2,3,97612364,https://www.idealista.com/obra-nueva/97612364/
239000.0,2,3,97612369,https://www.idealista.com/obra-nueva/97612369/
245000.0,2,5,103740952,https://www.idealista.com/inmueble/103740952/
231000.0,2,3,98059041,https://www.idealista.com/obra-nueva/98059041/
245000.0,2,3,97612324,https://www.idealista.com/obra-nueva/97612324/
228000.0,2,3,97612325,https://www.idealista.com/obra-nueva/97612325/
