precio,banos,habitaciones,propertyCode,url
133600,2,3,102420314,https://www.idealista.com/data/app/cid/RmlIUjJTVlpWMEdnNVE3MVRTRklhZz09
133600,2,3,102418154,https://www.idealista.com/data/app/cid/VkNseGlHeUx5czdad2t5YzJiaDJyQT09
160000,2,5,1786175,https://www.idealista.com/data/app/cid/S3RDQ2YxdTVPeCtjU1g2RVdXTGg0QT09
99000,1,4,102495486,https://www.idealista.com/data/app/cid/d05XcExjQnZySHBiMno1dkw3MUFSQT09
99000,2,4,99964827,https://www.idealista.com/data/app/cid/bWFjTHI4VmtBczAvUENDQTZIVEN3UT09
102500,2,2,101960732,https://www.idealista.com/data/app/cid/ME5FeGhkVGpSeHMvU3J3WXRoSFNmQT09
150000,2,2,329473,https://www.idealista.com/data/app/cid/YTEyU2VRSTJ0SVgzdTJlb09NWFA5QT09
161160,3,3,100207094,https://www.idealista.com/data/app/cid/VDJkTGxWWm1MNHNpaEgwWFpERkhrUT09
161160,3,3,100113307,https://www.idealista.com/data/app/cid/RDNoZ09pT2gyenczZ0VyQzFmT1hMZz09
138500,2,3,98004149,https://www.idealista.com/data/app/cid/ckNpczF2alJSV0hsM2VnV0xFMXhaQT09
161160,3,3,99977312,https://www.idealista.com/data/app/cid/NzRoNEdJNHI5RlgwRlJrc1RBVlVpUT09
169000,2,3,25322948,https://www.idealista.com/data/app/cid/WjRGOFlnaWFOUERvUG9OZXJjaGlVdz09
90000,2,5,102178710,https://www.idealista.com/data/app/cid/d0FqRWZnU2syL0orTDkvRVF1M2xkZz09
110000,1,3,102890145,https://www.idealista.com/data/app/cid/Q1N2amZTRXpuK3h0anNMWnhWbE5mQT09
