precio,banos,habitaciones,propertyCode,url
75000,1,3,82965870,https://www.idealista.com/data/app/cid/RERPZDU3T3I5VGQrRElSZlpkRU92UT09
57000,1,3,101515413,https://www.idealista.com/data/app/cid/NlRSNHpkbitteXRuVEVUL2htV1Jrdz09
57000,1,3,99398796,https://www.idealista.com/data/app/cid/ZWx5Y3BoUS9nb1FCZkNLcC9neGszZz09
56000,2,4,95405366,https://www.idealista.com/data/app/cid/Tjlnd2c0U1pnaDJnd201Z2ZYa09tQT09
90000,1,2,95733909,https://www.idealista.com/data/app/cid/RjE1b1Jlc0xyRmN4NEl0ZnBNcm5BQT09
54000,2,4,102116677,https://www.idealista.com/data/app/cid/bWd1VUxUdFJKT01nUFFhU3lZdW5tdz09
138000,2,3,101481008,https://www.idealista.com/data/app/cid/UmRxWC9VNkx6NDVHWnA5RHlPVDFvZz09
85000,2,7,102301560,https://www.idealista.com/data/app/cid/U1c4OEs4V1hKYTYzeVJGMVB3TVlFZz09
250000,4,8,102771317,https://www.idealista.com/data/app/cid/Smd5RFQwKzJncHYwTTVTSE9xMXRDdz09
250000,4,8,102930878,https://www.idealista.com/data/app/cid/b2gxYlViQ1h2YnVhWTBDNHBIQ08yUT09
250000,4,8,103084486,https://www.idealista.com/data/app/cid/V2lMZUpkTXFoVFNhcUViOHBhdEZFUT09
250000,4,8,103370533,https://www.idealista.com/data/app/cid/ZkFrVlFEa0FxQ3BXVHlQRTFxQm51UT09
250000,4,8,102633827,https://www.idealista.com/data/app/cid/ckJ4QzhmQWRtcEJqMDVXYlI3ZTJmUT09
250000,4,8,103177622,https://www.idealista.com/data/app/cid/dFI2d1dqemdNcFBaN2grUFpoMC8vdz09
250000,4,8,102414651,https://www.idealista.com/data/app/cid/NzlFTVhTZEVKNGZLN0l0UGtveE1iUT09
250000,4,8,102333403,https://www.idealista.com/data/app/cid/c29UU1dWSlRXWVI2eGZJSEQyMmpPUT09
280000,4,8,101275734,https://www.idealista.com/data/app/cid/U3RnRmo5a3puNU9jNytYNGk2bDJxdz09
250000,4,8,102719963,https://www.idealista.com/data/app/cid/SHVYejZ5WlY4OTk1dzByeUNiV1hkZz09
130000,2,5,103799827,https://www.idealista.com/data/app/cid/MDdaazI4aCtwMEVZMFFGWVZNZ0NFZz09
130000,2,4,95218170,https://www.idealista.com/data/app/cid/b25vK3NhN29lRXdnbmRrd05zd01RQT09
150000,1,3,90544944,https://www.idealista.com/data/app/cid/QVNtb3RrWmRRSytPdWhiUDVBNVJSdz09
132000,3,6,99252742,https://www.idealista.com/data/app/cid/K3dMSSsyYTlEcjNzRE56NTc2eDkxUT09
135000,2,4,102430766,https://www.idealista.com/data/app/cid/Uk1ZLzJJakZucTkwZGh4ZmowTEk0dz09
140000,1,4,103799800,https://www.idealista.com/data/app/cid/R2E0R2V3MGxlZUNuK1EyVWdhV3h0dz09
140000,1,4,103002050,https://www.idealista.com/data/app/cid/TW5aU3dWNG01N09xSFA1eElUVkxaQT09
108000,2,4,85242896,https://www.idealista.com/data/app/cid/OWtTWXhQdGlvR1EvVENVdy8yT3dMUT09
108000,2,4,101377817,https://www.idealista.com/data/app/cid/NDIzaGUrVUx6aTN4enZUWDQrWG9uQT09
108000,2,4,99919525,https://www.idealista.com/data/app/cid/UTBZWUZ1YnBjRmNvMFRkSzhTaFlwQT09
127000,2,4,98818891,https://www.idealista.com/data/app/cid/RVp4RVhoQm1vTlNJMWJnNG1HdGJUZz09
125000,3,3,98315149,https://www.idealista.com/data/app/cid/Wkc5cGxPdy9MMEpmd2VRVG1aQkVkQT09
108000,2,4,101378067,https://www.idealista.com/data/app/cid/UFlqbHpLckNZQW90K0Npa2FnQnVEQT09
125000,3,3,103799946,https://www.idealista.com/data/app/cid/SEdGT0hXWU41NmkzMVIwSTB4QzR1QT09
108000,2,4,89076843,https://www.idealista.com/data/app/cid/U0FKRmNrU1pib3pSWFFxL3BmT3FBZz09
