precio,banos,habitaciones,propertyCode,url
310000.0,3,5,99894900,https://www.idealista.com/inmueble/99894900/
199000.0,1,2,102220209,https://www.idealista.com/inmueble/102220209/
182000.0,1,2,98944609,https://www.idealista.com/inmueble/98944609/
475000.0,4,5,102670099,https://www.idealista.com/inmueble/102670099/
690000.0,5,5,101245563,https://www.idealista.com/inmueble/101245563/
595000.0,3,5,100232668,https://www.idealista.com/inmueble/100232668/
127000.0,1,1,103477372,https://www.idealista.com/inmueble/103477372/
430000.0,1,3,102772906,https://www.idealista.com/inmueble/102772906/
295000.0,1,3,103140460,https://www.idealista.com/inmueble/103140460/
205681.0,1,1,101925061,https://www.idealista.com/obra-nueva/101925061/
190840.0,2,2,102698214,https://www.idealista.com/obra-nueva/102698214/
229887.0,2,2,102698211,https://www.idealista.com/obra-nueva/102698211/
315922.0,2,3,101902954,https://www.idealista.com/obra-nueva/101902954/
221821.0,2,2,102698212,https://www.idealista.com/obra-nueva/102698212/
192189.0,1,2,102698215,https://www.idealista.com/obra-nueva/102698215/
310598.0,2,3,102698221,https://www.idealista.com/obra-nueva/102698221/
340000.0,3,5,101720258,https://www.idealista.com/inmueble/101720258/
395000.0,2,4,103549193,https://www.idealista.com/inmueble/103549193/
299000.0,3,6,103418968,https://www.idealista.com/inmueble/103418968/
595000.0,3,4,103657257,https://www.idealista.com/inmueble/103657257/
550000.0,2,5,102140431,https://www.idealista.com/inmueble/102140431/
570000.0,4,6,101701996,https://www.idealista.com/inmueble/101701996/
165000.0,1,2,103263529,https://www.idealista.com/inmueble/103263529/
27500.0,1,1,101764193,https://www.idealista.com/inmueble/101764193/
449000.0,4,10,97570412,https://www.idealista.com/inmueble/97570412/
480000.0,4,5,84637659,https://www.idealista.com/inmueble/84637659/
235000.0,2,3,102711342,https://www.idealista.com/inmueble/102711342/
185000.0,2,3,103565317,https://www.idealista.com/inmueble/103565317/
449000.0,4,4,96345768,https://www.idealista.com/inmueble/96345768/
385000.0,2,4,100789896,https://www.idealista.com/inmueble/100789896/
360000.0,2,4,102754000,https://www.idealista.com/inmueble/102754000/
670000.0,5,6,101167980,https://www.idealista.com/inmueble/101167980/
149000.0,1,2,103423248,https://www.idealista.com/inmueble/103423248/
295000.0,2,4,96244340,https://www.idealista.com/inmueble/96244340/
300000.0,3,3,103516881,https://www.idealista.com/inmueble/103516881/
209000.0,2,3,98265152,https://www.idealista.com/inmueble/98265152/
300000.0,3,3,103635384,https://www.idealista.com/inmueble/103635384/
487000.0,2,2,99412827,https://www.idealista.com/inmueble/99412827/
435000.0,3,6,101644412,https://www.idealista.com/inmueble/101644412/
199000.0,1,2,103518348,https://www.idealista.com/inmueble/103518348/
480000.0,4,5,103518102,https://www.idealista.com/inmueble/103518102/
260000.0,5,10,102596834,https://www.idealista.com/inmueble/102596834/
209000.0,3,5,103253951,https://www.idealista.com/inmueble/103253951/
550000.0,8,8,102502202,https://www.idealista.com/inmueble/102502202/
350000.0,3,10,102468743,https://www.idealista.com/inmueble/102468743/
264900.0,2,4,102602689,https://www.idealista.com/inmueble/102602689/
150000.0,1,2,102921056,https://www.idealista.com/inmueble/102921056/
182000.0,1,2,103014774,https://www.idealista.com/inmueble/103014774/
150000.0,1,2,83967648,https://www.idealista.com/inmueble/83967648/
185000.0,2,3,103661020,https://www.idealista.com/inmueble/103661020/
