precio,banos,habitaciones,propertyCode,url
198000,2,2,102786387,https://www.idealista.com/data/app/cid/MWZKS0p5dVhqZS9UYnE1RGtFRVVzdz09
189000,2,4,101957951,https://www.idealista.com/data/app/cid/K1JXRmVaVkQrN3JGc2JFTVJXMFZlZz09
260000,3,4,102949904,https://www.idealista.com/data/app/cid/U3VUUUw3bkljSHFmTTBBdVJUTm9JUT09
200000,1,2,101806043,https://www.idealista.com/data/app/cid/b0gzUTA2YUFaaGlRRVRObnQ2SSs5UT09
290000,3,5,100857659,https://www.idealista.com/data/app/cid/eGJPOUlFbm9WQVg5ZkMxMnBNTmdwUT09
360000,2,3,101009038,https://www.idealista.com/data/app/cid/UXAzNU0vNWdueC8xOFQ5Qmw4cW52Zz09
258000,3,5,102719380,https://www.idealista.com/data/app/cid/L3NONWJuQUlmTTR5aEZFWGFkZmZtQT09
270000,3,4,102849029,https://www.idealista.com/data/app/cid/WUNWWUsyU3JZRjh0eG1LeE92dVUrQT09
230000,2,4,102428131,https://www.idealista.com/data/app/cid/MUU1QUhNUFhyVGtMTTNkTDc3OFQ2QT09
330000,3,4,101632753,https://www.idealista.com/data/app/cid/bFVsemVPQ1JlQlR6VVU5cFVSTzZwdz09
225000,1,3,103145034,https://www.idealista.com/data/app/cid/Q1RqVUVjdDdGT0dWSjB3YzZnQS9PZz09
415000,3,4,102802139,https://www.idealista.com/data/app/cid/cGQyZzJGdzBUVkFFUXlWMEtyL3V0dz09
239000,2,4,100445804,https://www.idealista.com/data/app/cid/Y29yeXRkemprNm90OVdtUDRpMy9MZz09
365000,2,4,100039865,https://www.idealista.com/data/app/cid/cEZIdmNMRWdMcE1yWXEvZkZnblR3UT09
310000,2,4,97963289,https://www.idealista.com/data/app/cid/a0V2V2tkVVYyb2dTQkZ0WGlNK054Zz09
214000,2,3,101195113,https://www.idealista.com/data/app/cid/R1VQUW5aeU1CQ2hUb2F0Z3RWZGhxZz09
257000,1,2,100967451,https://www.idealista.com/data/app/cid/eEdmSjM5SGJUcDFtZ0hsYXhtaGMrZz09
395000,2,4,101391416,https://www.idealista.com/data/app/cid/a1B3RVhyWWVqaEpycW0zMWtCaWlwdz09
