precio,banos,habitaciones,propertyCode,url
122500,2,3,98211067,https://www.idealista.com/data/app/cid/bXdxQ2todjl2YUluSmdzdlU1Tm5hUT09
115000,1,2,102758888,https://www.idealista.com/data/app/cid/SitlRldoZUwzV3B0S0ZTRTg2b1k5dz09
172000,3,4,99252531,https://www.idealista.com/data/app/cid/ejBscXloSG1zMmczSEhqK1Q5RlJjUT09
115000,1,2,102039593,https://www.idealista.com/data/app/cid/VUltYkhnUmlNM01kdGJBbHZmQzRPUT09
226000,3,4,102343104,https://www.idealista.com/data/app/cid/aUtjUFIvamcxek5KOVhKT0FoUnZkUT09
265000,3,4,101545964,https://www.idealista.com/data/app/cid/RXdNZ0xDdVk0RlROZEEzNnNlTXcwdz09
280000,2,3,100940814,https://www.idealista.com/data/app/cid/OEpXNTE5cGRlRHVvaXgwVnZvTm9Zdz09
185000,3,4,95036083,https://www.idealista.com/data/app/cid/VXJiMTRydzdUVy9lU0luajZOdktVdz09
250000,1,3,103235612,https://www.idealista.com/data/app/cid/WkRUUlhISThEQURCRG9ZRVF3ZmJrZz09
270000,3,5,102305090,https://www.idealista.com/data/app/cid/TGlCdStYVlFVY2NDUVc4Mm9Ka1ptUT09
250000,3,4,33117677,https://www.idealista.com/data/app/cid/Ni9lT2tDdjdKWUc0djVnbW1tb2M4QT09
265000,2,4,103071435,https://www.idealista.com/data/app/cid/bzIzRmdVcDZZWFdxZ0RVVkFmbkVWdz09
265000,2,4,102466084,https://www.idealista.com/data/app/cid/Y3NFVFBrdThCcHBRaUpUaXdFWGZHZz09
330000,3,3,100913033,https://www.idealista.com/data/app/cid/czFZcjVPS1dBYytUQnFJazZUbFkxZz09
185000,1,3,101122057,https://www.idealista.com/data/app/cid/aUdaZXlBRmw0VHVrd3JMVmNBazYzdz09
219300,2,4,97548055,https://www.idealista.com/data/app/cid/aU5UYW1SUW5iazdLOW5HclkvakhvUT09
259000,2,4,100404206,https://www.idealista.com/data/app/cid/VFFVTU43bEFEeEhWRzljelRkY1haUT09
320000,3,4,101056611,https://www.idealista.com/data/app/cid/VjhGNHRWbkpXbWdqZ25oblp3YkdoZz09
395000,3,6,97663866,https://www.idealista.com/data/app/cid/bmx2VVRxNVdJM1lmanl5b1VQUzl5QT09
340000,3,4,103371057,https://www.idealista.com/data/app/cid/Lzc4Q3ZweWNhR3ZIakkvRVRKaWkydz09
