precio,banos,habitaciones,propertyCode,url
219000.0,6,4,103871181,https://www.idealista.com/inmueble/103871181/
195000.0,1,3,102946380,https://www.idealista.com/inmueble/102946380/
176000.0,2,5,102530483,https://www.idealista.com/inmueble/102530483/
267000.0,3,4,103214960,https://www.idealista.com/inmueble/103214960/
175000.0,3,6,103870330,https://www.idealista.com/inmueble/103870330/
266000.0,3,3,103850782,https://www.idealista.com/inmueble/103850782/
200000.0,3,3,103223802,https://www.idealista.com/inmueble/103223802/
790000.0,5,3,99070192,https://www.idealista.com/inmueble/99070192/
199000.0,3,5,103442561,https://www.idealista.com/inmueble/103442561/
230000.0,2,3,103858115,https://www.idealista.com/inmueble/103858115/
161500.0,3,7,101142840,https://www.idealista.com/inmueble/101142840/
351000.0,4,4,103320900,https://www.idealista.com/inmueble/103320900/
260000.0,3,4,99070980,https://www.idealista.com/inmueble/99070980/
223000.0,2,9,92541489,https://www.idealista.com/inmueble/92541489/
279000.0,3,5,102537074,https://www.idealista.com/inmueble/102537074/
223000.0,6,6,102428104,https://www.idealista.com/inmueble/102428104/
1500000.0,0,0,91488660,https://www.idealista.com/inmueble/91488660/
250000.0,4,6,100899028,https://www.idealista.com/inmueble/100899028/
280000.0,2,4,102607518,https://www.idealista.com/inmueble/102607518/
207500.0,1,3,100938154,https://www.idealista.com/inmueble/100938154/
330000.0,2,3,103546880,https://www.idealista.com/inmueble/103546880/
990000.0,0,0,99453380,https://www.idealista.com/inmueble/99453380/
219000.0,2,6,103180281,https://www.idealista.com/inmueble/103180281/
175000.0,3,6,99053046,https://www.idealista.com/inmueble/99053046/
236000.0,4,4,103626228,https://www.idealista.com/inmueble/103626228/
219000.0,3,4,103493755,https://www.idealista.com/inmueble/103493755/
145000.0,2,3,103837625,https://www.idealista.com/inmueble/103837625/
199500.0,3,3,94965168,https://www.idealista.com/inmueble/94965168/
199500.0,3,3,97164885,https://www.idealista.com/inmueble/97164885/
279000.0,3,9,91583679,https://www.idealista.com/inmueble/91583679/
99000.0,1,2,102424630,https://www.idealista.com/inmueble/102424630/
399900.0,3,3,103128333,https://www.idealista.com/inmueble/103128333/
236000.0,4,6,101239827,https://www.idealista.com/inmueble/101239827/
315000.0,4,3,103770950,https://www.idealista.com/inmueble/103770950/
247900.0,2,15,102968469,https://www.idealista.com/inmueble/102968469/
205000.0,2,6,102897114,https://www.idealista.com/inmueble/102897114/
199500.0,2,3,98182022,https://www.idealista.com/inmueble/98182022/
183000.0,2,3,103311150,https://www.idealista.com/inmueble/103311150/
180000.0,2,3,102549427,https://www.idealista.com/inmueble/102549427/
183800.0,2,3,103142510,https://www.idealista.com/inmueble/103142510/
210000.0,3,3,99415287,https://www.idealista.com/inmueble/99415287/
175000.0,3,6,99037571,https://www.idealista.com/inmueble/99037571/
77400.0,2,3,98703344,https://www.idealista.com/inmueble/98703344/
155000.0,2,4,102891954,https://www.idealista.com/inmueble/102891954/
77400.0,2,3,98703343,https://www.idealista.com/inmueble/98703343/
395000.0,4,4,97878813,https://www.idealista.com/inmueble/97878813/
169999.0,2,4,103533128,https://www.idealista.com/inmueble/103533128/
267000.0,1,3,103238693,https://www.idealista.com/inmueble/103238693/
493000.0,2,3,103439368,https://www.idealista.com/inmueble/103439368/
350000.0,2,4,103020141,https://www.idealista.com/inmueble/103020141/
