precio,banos,habitaciones,propertyCode,url
185000,2,3,101191504,https://www.idealista.com/data/app/cid/TXA0ZEQ2ZEFkTys5TUVyMHpRT1NSZz09
199000,2,3,99018354,https://www.idealista.com/data/app/cid/TnpBVTVKemIxbDVtZUltcnpzRVVNdz09
425000,2,4,103277357,https://www.idealista.com/data/app/cid/N1luQTZrM0tnSlB2ZUFwbGdaR01DQT09
375000,2,3,95376517,https://www.idealista.com/data/app/cid/TEgvOCtTMmRWSFMwcDVLUWVXZXFoQT09
379000,3,4,100918218,https://www.idealista.com/data/app/cid/bTJvTGJUYktCWDJ0ZWxiNHJxTW1VUT09
379000,3,4,100918082,https://www.idealista.com/data/app/cid/a2EwVmUvWHB2OGRWUys4RXBQT3J4Zz09
379000,3,4,100918158,https://www.idealista.com/data/app/cid/SmlWZ3NwN0lRVjVpY2t1YSsxd1VYZz09
359000,3,4,100917780,https://www.idealista.com/data/app/cid/WnM0S080bjJhYXFHSXpCVXZRRFNkQT09
359000,4,4,100917849,https://www.idealista.com/data/app/cid/aHNRUkdQU2d5MGxuSmd1NHRDNm1PQT09
359000,4,4,100917934,https://www.idealista.com/data/app/cid/M0R6RS9xRkVCS3JBRDdUcm1MSmhadz09
359000,3,4,100917831,https://www.idealista.com/data/app/cid/SWtoMmE5Zkh3VTR0UlJBbGpKL3NJQT09
389000,4,4,100918050,https://www.idealista.com/data/app/cid/dXd3eU1JeU55R2N2WU8zdDJLcG1Sdz09
335000,3,4,103429530,https://www.idealista.com/data/app/cid/dFNGNW1hMC9QeXBRQ0JQR0M3RUdEZz09
335000,3,5,103846907,https://www.idealista.com/data/app/cid/MnpVSVBJNnZrLy9DK0RkTW4vdWJOUT09
350000,3,3,101746914,https://www.idealista.com/data/app/cid/UHJRYUdldDhvNWZXRXVIbGdSeWlhdz09
350000,3,3,96920358,https://www.idealista.com/data/app/cid/TlhIVWtqVVZOU0dhNDkwK3RwTUZoUT09
310000,3,4,102901314,https://www.idealista.com/data/app/cid/b0lIR3paOWJCOWVaTUhhaXhjelFGUT09
325000,3,4,103302464,https://www.idealista.com/data/app/cid/QVZBdVdkNGtWNjkwdkVSZDVqSzFOQT09
380000,3,3,99164436,https://www.idealista.com/data/app/cid/SG9Hc1Jyd3dpd1NtQktKalpNUVB1dz09
399000,3,5,100480207,https://www.idealista.com/data/app/cid/Z3lMaE9DV3dXSWoreCtPc1RZMVorZz09
380000,2,3,102684497,https://www.idealista.com/data/app/cid/ZnFKbWpVTGM5Mk9pc2hoUlI1bEdPUT09
359000,2,4,101670390,https://www.idealista.com/data/app/cid/WmVuUjk0ZXJHLzVaM2g3YVkzOS9PQT09
355000,3,4,100906733,https://www.idealista.com/data/app/cid/ZjF5QnJSYUEyV282YnBXdE9idCs2Zz09
335000,2,3,99395713,https://www.idealista.com/data/app/cid/VzdRVTk0WUdaZGRwdUpHQ1l3WXlGQT09
408000,3,4,88775172,https://www.idealista.com/data/app/cid/bkVDZC9xNmliRnNxOE9VZXd6ZlU3UT09
495000,4,5,101810452,https://www.idealista.com/data/app/cid/TEo1bGljbTNLSmFzd1FCNm83M0NaUT09
600000,4,5,102663589,https://www.idealista.com/data/app/cid/RGpDTldlamc4blQ1dFdtaStKQ3lCUT09
399000,2,4,103639285,https://www.idealista.com/data/app/cid/dGZ3ZmJzbDdZcVlXT1BiUVZaM0FRdz09
350000,3,3,101775950,https://www.idealista.com/data/app/cid/OHQ2bDZGS3VvaHo5dy8zeGpTcDRqdz09
339000,3,4,101637161,https://www.idealista.com/data/app/cid/Nm95c1NMeTZpNDBLQVQ0czVCYmdYdz09
364000,3,4,101874520,https://www.idealista.com/data/app/cid/NUZuZEFwUktjeEVXWVJQOE5DcCtzQT09
355000,3,4,101256795,https://www.idealista.com/data/app/cid/Zmd2WWtLdUNHSU1Ia2tpV0pQQzZFZz09
