precio,banos,habitaciones,propertyCode,url
1099000.0,6,6,103302281,https://www.idealista.com/inmueble/103302281/
389900.0,3,4,103160827,https://www.idealista.com/inmueble/103160827/
3500000.0,7,9,101294313,https://www.idealista.com/inmueble/101294313/
660000.0,4,9,99285946,https://www.idealista.com/inmueble/99285946/
319900.0,3,4,103510327,https://www.idealista.com/inmueble/103510327/
2100000.0,5,10,98524433,https://www.idealista.com/inmueble/98524433/
210000.0,2,3,102897587,https://www.idealista.com/inmueble/102897587/
589900.0,4,4,102714451,https://www.idealista.com/inmueble/102714451/
400000.0,3,4,102772469,https://www.idealista.com/inmueble/102772469/
575000.0,3,5,102242720,https://www.idealista.com/inmueble/102242720/
634900.0,2,5,102267773,https://www.idealista.com/inmueble/102267773/
386999.0,4,5,103309277,https://www.idealista.com/inmueble/103309277/
680000.0,4,5,103044016,https://www.idealista.com/inmueble/103044016/
289900.0,2,3,102866939,https://www.idealista.com/inmueble/102866939/
409900.0,3,3,103139906,https://www.idealista.com/inmueble/103139906/
265000.0,2,2,103178941,https://www.idealista.com/inmueble/103178941/
440000.0,3,6,98190060,https://www.idealista.com/inmueble/98190060/
345000.0,3,3,103033407,https://www.idealista.com/inmueble/103033407/
164900.0,1,3,103510949,https://www.idealista.com/inmueble/103510949/
261900.0,1,2,103870039,https://www.idealista.com/inmueble/103870039/
196000.0,2,3,27739248,https://www.idealista.com/inmueble/27739248/
420000.0,3,4,103862051,https://www.idealista.com/inmueble/103862051/
247000.0,2,4,102578796,https://www.idealista.com/inmueble/102578796/
375000.0,4,4,103859566,https://www.idealista.com/inmueble/103859566/
245000.0,2,3,102485423,https://www.idealista.com/inmueble/102485423/
1195000.0,5,4,103813936,https://www.idealista.com/inmueble/103813936/
426000.0,2,2,103683061,https://www.idealista.com/inmueble/103683061/
730000.0,4,4,103478163,https://www.idealista.com/inmueble/103478163/
169900.0,1,3,103614123,https://www.idealista.com/inmueble/103614123/
685000.0,4,7,101335498,https://www.idealista.com/inmueble/101335498/
476511.0,2,5,102884054,https://www.idealista.com/inmueble/102884054/
399900.0,3,4,100010676,https://www.idealista.com/inmueble/100010676/
690000.0,3,4,96883649,https://www.idealista.com/inmueble/96883649/
375000.0,4,4,103843218,https://www.idealista.com/inmueble/103843218/
490000.0,2,4,103019218,https://www.idealista.com/inmueble/103019218/
415000.0,3,4,101340635,https://www.idealista.com/obra-nueva/101340635/
389900.0,3,4,102843043,https://www.idealista.com/inmueble/102843043/
171000.0,1,3,103596081,https://www.idealista.com/inmueble/103596081/
420000.0,1,1,93294195,https://www.idealista.com/inmueble/93294195/
265000.0,2,3,103844769,https://www.idealista.com/inmueble/103844769/
239900.0,2,3,103738953,https://www.idealista.com/inmueble/103738953/
399000.0,3,4,103636402,https://www.idealista.com/inmueble/103636402/
349900.0,2,3,102057980,https://www.idealista.com/inmueble/102057980/
585000.0,3,5,103735313,https://www.idealista.com/inmueble/103735313/
490000.0,2,2,103723563,https://www.idealista.com/obra-nueva/103723563/
244900.0,2,3,103644417,https://www.idealista.com/inmueble/103644417/
194900.0,1,1,103510614,https://www.idealista.com/inmueble/103510614/
219000.0,2,4,102822749,https://www.idealista.com/inmueble/102822749/
144900.0,1,2,103847312,https://www.idealista.com/inmueble/103847312/
364900.0,3,4,103614927,https://www.idealista.com/inmueble/103614927/
