precio,banos,habitaciones,propertyCode,url
152000.0,1,1,97781168,https://www.idealista.com/inmueble/97781168/
478000.0,3,4,103558644,https://www.idealista.com/inmueble/103558644/
159500.0,1,4,102457652,https://www.idealista.com/inmueble/102457652/
160000.0,1,3,101582847,https://www.idealista.com/inmueble/101582847/
175000.0,1,3,102157692,https://www.idealista.com/inmueble/102157692/
139000.0,1,3,103804097,https://www.idealista.com/inmueble/103804097/
173900.0,1,3,103005594,https://www.idealista.com/inmueble/103005594/
109000.0,1,3,103866019,https://www.idealista.com/inmueble/103866019/
195000.0,2,4,103754491,https://www.idealista.com/inmueble/103754491/
146000.0,1,2,102680533,https://www.idealista.com/inmueble/102680533/
215000.0,1,1,103686270,https://www.idealista.com/inmueble/103686270/
169000.0,1,3,103340308,https://www.idealista.com/inmueble/103340308/
187260.0,1,3,103548757,https://www.idealista.com/inmueble/103548757/
169500.0,2,2,102289096,https://www.idealista.com/inmueble/102289096/
179900.0,1,1,103877363,https://www.idealista.com/inmueble/103877363/
182300.0,1,3,102908234,https://www.idealista.com/inmueble/102908234/
215000.0,2,3,103244745,https://www.idealista.com/inmueble/103244745/
348000.0,3,3,95996076,https://www.idealista.com/inmueble/95996076/
304260.0,2,3,101726211,https://www.idealista.com/inmueble/101726211/
309000.0,2,3,103658087,https://www.idealista.com/inmueble/103658087/
335000.0,2,3,103854607,https://www.idealista.com/obra-nueva/103854607/
275000.0,2,3,103867518,https://www.idealista.com/inmueble/103867518/
118000.0,1,3,103326178,https://www.idealista.com/inmueble/103326178/
129900.0,1,2,103869205,https://www.idealista.com/inmueble/103869205/
173000.0,1,3,102152128,https://www.idealista.com/inmueble/102152128/
163630.0,2,2,102927036,https://www.idealista.com/inmueble/102927036/
137260.0,1,3,103286322,https://www.idealista.com/inmueble/103286322/
163050.0,1,3,102200383,https://www.idealista.com/inmueble/102200383/
169900.0,1,3,103877344,https://www.idealista.com/inmueble/103877344/
384000.0,3,5,103867436,https://www.idealista.com/inmueble/103867436/
175000.0,1,3,102466453,https://www.idealista.com/inmueble/102466453/
289900.0,3,4,103853509,https://www.idealista.com/inmueble/103853509/
260000.0,2,3,103870604,https://www.idealista.com/inmueble/103870604/
179900.0,1,2,103870348,https://www.idealista.com/inmueble/103870348/
137260.0,1,3,101611351,https://www.idealista.com/inmueble/101611351/
109000.0,1,3,103862653,https://www.idealista.com/inmueble/103862653/
120000.0,1,3,103827280,https://www.idealista.com/inmueble/103827280/
149000.0,1,2,103732301,https://www.idealista.com/inmueble/103732301/
229900.0,1,4,103869193,https://www.idealista.com/inmueble/103869193/
129260.0,1,3,103868638,https://www.idealista.com/inmueble/103868638/
139000.0,1,2,103868342,https://www.idealista.com/inmueble/103868342/
169000.0,2,3,103868944,https://www.idealista.com/inmueble/103868944/
282000.0,2,3,103860067,https://www.idealista.com/inmueble/103860067/
175000.0,1,3,103837731,https://www.idealista.com/inmueble/103837731/
120000.0,1,3,103855015,https://www.idealista.com/inmueble/103855015/
450000.0,3,3,103864083,https://www.idealista.com/inmueble/103864083/
174999.0,1,3,103868698,https://www.idealista.com/inmueble/103868698/
173000.0,1,3,103864391,https://www.idealista.com/inmueble/103864391/
220000.0,2,3,103727615,https://www.idealista.com/inmueble/103727615/
168000.0,1,3,100152945,https://www.idealista.com/inmueble/100152945/
