precio,banos,habitaciones,propertyCode,url
570000.0,3,3,103159329,https://www.idealista.com/inmueble/103159329/
1150000.0,2,5,99797884,https://www.idealista.com/inmueble/99797884/
330000.0,1,2,103869047,https://www.idealista.com/inmueble/103869047/
477000.0,3,5,100664674,https://www.idealista.com/inmueble/100664674/
890000.0,6,12,103369811,https://www.idealista.com/inmueble/103369811/
725000.0,3,9,100460728,https://www.idealista.com/inmueble/100460728/
795000.0,3,5,102346667,https://www.idealista.com/inmueble/102346667/
588000.0,5,7,103815536,https://www.idealista.com/inmueble/103815536/
595000.0,3,5,99539855,https://www.idealista.com/inmueble/99539855/
1150000.0,2,5,99203454,https://www.idealista.com/inmueble/99203454/
995000.0,4,6,101787816,https://www.idealista.com/inmueble/101787816/
450000.0,2,2,102555781,https://www.idealista.com/inmueble/102555781/
625000.0,3,5,98020820,https://www.idealista.com/inmueble/98020820/
650000.0,3,5,103504348,https://www.idealista.com/inmueble/103504348/
395000.0,2,4,103101294,https://www.idealista.com/inmueble/103101294/
320000.0,3,3,102791094,https://www.idealista.com/obra-nueva/102791094/
320000.0,3,4,102791101,https://www.idealista.com/obra-nueva/102791101/
149900.0,1,2,103830875,https://www.idealista.com/inmueble/103830875/
800000.0,4,8,99823935,https://www.idealista.com/inmueble/99823935/
850000.0,7,6,98510244,https://www.idealista.com/inmueble/98510244/
309000.0,3,4,102407537,https://www.idealista.com/inmueble/102407537/
800000.0,2,4,103300445,https://www.idealista.com/inmueble/103300445/
525000.0,4,5,102563412,https://www.idealista.com/inmueble/102563412/
258000.0,1,3,98229575,https://www.idealista.com/inmueble/98229575/
699000.0,4,6,102074252,https://www.idealista.com/inmueble/102074252/
429000.0,3,3,103833130,https://www.idealista.com/inmueble/103833130/
410000.0,3,3,102610485,https://www.idealista.com/inmueble/102610485/
1150000.0,2,5,103135146,https://www.idealista.com/inmueble/103135146/
368245.0,2,3,103328669,https://www.idealista.com/inmueble/103328669/
368245.0,2,3,101977586,https://www.idealista.com/inmueble/101977586/
537195.0,2,3,103328877,https://www.idealista.com/inmueble/103328877/
368245.0,2,3,103328568,https://www.idealista.com/inmueble/103328568/
375000.0,3,4,101303985,https://www.idealista.com/inmueble/101303985/
319000.0,1,3,96316723,https://www.idealista.com/inmueble/96316723/
850000.0,3,5,102389412,https://www.idealista.com/inmueble/102389412/
125900.0,1,1,103721769,https://www.idealista.com/inmueble/103721769/
139900.0,1,3,103832170,https://www.idealista.com/inmueble/103832170/
810000.0,6,5,93386959,https://www.idealista.com/inmueble/93386959/
395000.0,3,4,103836750,https://www.idealista.com/inmueble/103836750/
670000.0,4,8,92893910,https://www.idealista.com/inmueble/92893910/
590000.0,3,4,103452945,https://www.idealista.com/inmueble/103452945/
549500.0,2,3,102346169,https://www.idealista.com/inmueble/102346169/
395000.0,2,7,101515273,https://www.idealista.com/inmueble/101515273/
550000.0,3,4,100192470,https://www.idealista.com/inmueble/100192470/
165000.0,2,2,97494246,https://www.idealista.com/inmueble/97494246/
405000.0,3,3,103803258,https://www.idealista.com/inmueble/103803258/
364000.0,2,2,101682975,https://www.idealista.com/inmueble/101682975/
330000.0,2,4,100326493,https://www.idealista.com/inmueble/100326493/
385000.0,3,7,103489106,https://www.idealista.com/inmueble/103489106/
810000.0,6,5,92845184,https://www.idealista.com/inmueble/92845184/
