precio,banos,habitaciones,propertyCode,url
123850,2,2,96668088,https://www.idealista.com/data/app/cid/Z0dEM3VaU1I4d3k5T3pqKy9RZDVxUT09
185000,1,4,40415374,https://www.idealista.com/data/app/cid/d0NCeTczYzNocUhhYnVFeE1QOU9sQT09
310000,2,3,100957742,https://www.idealista.com/data/app/cid/TEdNNTl2ZTNmMDlaUjhxcVJuZzh4UT09
129000,1,4,102068484,https://www.idealista.com/data/app/cid/eHROVHFTa2REVlRtMEJpTFROVEVkZz09
199999,2,3,102374463,https://www.idealista.com/data/app/cid/RlZEZThCZmxWSVdZcUlJSXlLTE8rdz09
240000,2,6,102756506,https://www.idealista.com/data/app/cid/WnhNWGxab0FTb0VCWFVIT2RiQUFvQT09
240000,2,6,102756507,https://www.idealista.com/data/app/cid/WU9FMWNRWm5JODNEdTVwNEhMV0U5QT09
245000,2,6,101854487,https://www.idealista.com/data/app/cid/OEY3QytkNXZqV1hrU2lEaDhoZ3FvUT09
220000,2,4,100306942,https://www.idealista.com/data/app/cid/aHFlTm83MEhrZjlSRDBONFRVTTNFQT09
245000,1,3,103481938,https://www.idealista.com/data/app/cid/YzhkRmV5SE0zZVd4VkpyNFFVY0VIdz09
258000,2,3,103311604,https://www.idealista.com/data/app/cid/QXY3RnQ3WEo0ZHJIZzJaLzJKd2dsdz09
260000,2,3,98684291,https://www.idealista.com/data/app/cid/dm5MeWVLTjhjYkgwUW16bG1xWnFCUT09
160000,2,3,101080744,https://www.idealista.com/data/app/cid/YkNTL3ZRY0cySlA5UkMwUmsrU2JtUT09
165000,2,3,103359270,https://www.idealista.com/data/app/cid/bFJFdXl2WUdHWktQNVNSTGZQdWF5Zz09
