precio,banos,habitaciones,propertyCode,url
314000.0,2,3,103408880,https://www.idealista.com/inmueble/103408880/
178000.0,1,3,102737974,https://www.idealista.com/inmueble/102737974/
259000.0,3,3,102625269,https://www.idealista.com/inmueble/102625269/
327000.0,1,2,102731264,https://www.idealista.com/inmueble/102731264/
399900.0,2,2,102707300,https://www.idealista.com/obra-nueva/102707300/
497000.0,4,5,103015199,https://www.idealista.com/inmueble/103015199/
327000.0,1,2,103745926,https://www.idealista.com/inmueble/103745926/
236000.0,2,4,100405817,https://www.idealista.com/inmueble/100405817/
145000.0,1,3,102391023,https://www.idealista.com/inmueble/102391023/
126000.0,1,2,101401781,https://www.idealista.com/inmueble/101401781/
515000.0,4,4,103381757,https://www.idealista.com/inmueble/103381757/
629000.0,4,4,103347914,https://www.idealista.com/inmueble/103347914/
185999.0,1,4,103500084,https://www.idealista.com/inmueble/103500084/
278900.0,2,4,102720971,https://www.idealista.com/inmueble/102720971/
155000.0,1,3,103730078,https://www.idealista.com/inmueble/103730078/
144900.0,1,3,103877455,https://www.idealista.com/inmueble/103877455/
289000.0,2,3,102928266,https://www.idealista.com/inmueble/102928266/
164990.0,1,3,100765952,https://www.idealista.com/inmueble/100765952/
150000.0,1,3,102905053,https://www.idealista.com/inmueble/102905053/
496000.0,3,4,103112551,https://www.idealista.com/inmueble/103112551/
120000.0,1,2,102768929,https://www.idealista.com/inmueble/102768929/
277000.0,2,3,103877089,https://www.idealista.com/inmueble/103877089/
159000.0,1,2,103877465,https://www.idealista.com/inmueble/103877465/
148000.0,1,3,102892888,https://www.idealista.com/inmueble/102892888/
139000.0,1,3,102082884,https://www.idealista.com/inmueble/102082884/
284050.0,1,4,103852154,https://www.idealista.com/inmueble/103852154/
399900.0,2,3,103086201,https://www.idealista.com/inmueble/103086201/
150000.0,1,2,100531184,https://www.idealista.com/inmueble/100531184/
460000.0,3,4,103874995,https://www.idealista.com/inmueble/103874995/
273000.0,1,3,103872376,https://www.idealista.com/inmueble/103872376/
188000.0,1,1,103871731,https://www.idealista.com/inmueble/103871731/
236505.0,1,2,103872356,https://www.idealista.com/inmueble/103872356/
585000.0,4,5,101442373,https://www.idealista.com/inmueble/101442373/
220000.0,2,3,102510438,https://www.idealista.com/inmueble/102510438/
327260.0,2,3,103852228,https://www.idealista.com/inmueble/103852228/
125000.0,1,2,103870860,https://www.idealista.com/inmueble/103870860/
85000.0,1,3,103871397,https://www.idealista.com/inmueble/103871397/
349900.0,2,4,103875029,https://www.idealista.com/inmueble/103875029/
393900.0,2,3,103876394,https://www.idealista.com/inmueble/103876394/
279900.0,2,3,103827673,https://www.idealista.com/inmueble/103827673/
435000.0,2,3,103871888,https://www.idealista.com/inmueble/103871888/
165000.0,1,3,102891189,https://www.idealista.com/inmueble/102891189/
98000.0,2,3,103867812,https://www.idealista.com/inmueble/103867812/
599000.0,3,4,103850675,https://www.idealista.com/inmueble/103850675/
196000.0,1,2,103862020,https://www.idealista.com/inmueble/103862020/
159900.0,1,2,103869870,https://www.idealista.com/inmueble/103869870/
142260.0,1,3,103869181,https://www.idealista.com/inmueble/103869181/
137260.0,1,3,103870200,https://www.idealista.com/inmueble/103870200/
147260.0,1,2,103869350,https://www.idealista.com/inmueble/103869350/
515000.0,4,6,103862604,https://www.idealista.com/inmueble/103862604/
