precio,banos,habitaciones,propertyCode,url
949000.0,3,4,103479706,https://www.idealista.com/inmueble/103479706/
799000.0,6,9,100565633,https://www.idealista.com/inmueble/100565633/
775000.0,6,8,94298560,https://www.idealista.com/inmueble/94298560/
850000.0,4,5,102229785,https://www.idealista.com/inmueble/102229785/
1150000.0,5,5,88885261,https://www.idealista.com/inmueble/88885261/
720000.0,3,4,103827841,https://www.idealista.com/inmueble/103827841/
650000.0,3,5,99593958,https://www.idealista.com/inmueble/99593958/
688500.0,6,7,92051426,https://www.idealista.com/inmueble/92051426/
795000.0,5,7,102640522,https://www.idealista.com/inmueble/102640522/
1090000.0,5,6,102710331,https://www.idealista.com/inmueble/102710331/
575000.0,3,5,103836432,https://www.idealista.com/inmueble/103836432/
560000.0,2,6,99279176,https://www.idealista.com/inmueble/99279176/
645000.0,4,7,100629015,https://www.idealista.com/inmueble/100629015/
560000.0,2,6,100932878,https://www.idealista.com/inmueble/100932878/
775000.0,5,6,98270735,https://www.idealista.com/inmueble/98270735/
690000.0,4,4,101476360,https://www.idealista.com/inmueble/101476360/
850000.0,5,7,102139585,https://www.idealista.com/inmueble/102139585/
330000.0,0,0,87836041,https://www.idealista.com/inmueble/87836041/
315000.0,2,2,103315046,https://www.idealista.com/inmueble/103315046/
729000.0,5,4,101681855,https://www.idealista.com/inmueble/101681855/
625000.0,3,5,101980315,https://www.idealista.com/inmueble/101980315/
269000.0,2,3,95000465,https://www.idealista.com/inmueble/95000465/
269000.0,2,3,103370216,https://www.idealista.com/inmueble/103370216/
1000000.0,5,6,103799598,https://www.idealista.com/inmueble/103799598/
800000.0,4,6,102825928,https://www.idealista.com/inmueble/102825928/
1285000.0,4,5,103519084,https://www.idealista.com/inmueble/103519084/
650000.0,3,5,100989587,https://www.idealista.com/inmueble/100989587/
329000.0,2,3,103364064,https://www.idealista.com/inmueble/103364064/
795000.0,5,7,103138734,https://www.idealista.com/inmueble/103138734/
674000.0,4,5,103623984,https://www.idealista.com/inmueble/103623984/
650000.0,5,5,102058976,https://www.idealista.com/inmueble/102058976/
414000.0,3,5,100415017,https://www.idealista.com/inmueble/100415017/
295000.0,2,3,103610827,https://www.idealista.com/inmueble/103610827/
765000.0,5,6,103731190,https://www.idealista.com/inmueble/103731190/
549000.0,4,7,103328316,https://www.idealista.com/inmueble/103328316/
825000.0,5,5,102084545,https://www.idealista.com/inmueble/102084545/
284000.0,2,3,97243873,https://www.idealista.com/inmueble/97243873/
825000.0,4,5,34870138,https://www.idealista.com/inmueble/34870138/
895000.0,6,5,99299558,https://www.idealista.com/inmueble/99299558/
1100000.0,5,6,103419706,https://www.idealista.com/inmueble/103419706/
729000.0,5,4,101607567,https://www.idealista.com/inmueble/101607567/
200000.0,1,1,103049390,https://www.idealista.com/inmueble/103049390/
275000.0,2,3,102372418,https://www.idealista.com/inmueble/102372418/
160000.0,1,2,103241753,https://www.idealista.com/inmueble/103241753/
1700000.0,1,1,103085306,https://www.idealista.com/inmueble/103085306/
315000.0,0,0,87803515,https://www.idealista.com/inmueble/87803515/
419000.0,2,3,102972596,https://www.idealista.com/inmueble/102972596/
729000.0,6,4,101538986,https://www.idealista.com/inmueble/101538986/
170000.0,1,1,102170777,https://www.idealista.com/inmueble/102170777/
250000.0,2,4,103599009,https://www.idealista.com/inmueble/103599009/
