precio,banos,habitaciones,propertyCode,url
636000.0,2,4,103784403,https://www.idealista.com/inmueble/103784403/
465000.0,2,3,103830541,https://www.idealista.com/inmueble/103830541/
2100000.0,6,5,102162772,https://www.idealista.com/inmueble/102162772/
1460000.0,5,5,101247274,https://www.idealista.com/inmueble/101247274/
895000.0,5,5,103811324,https://www.idealista.com/inmueble/103811324/
962000.0,4,5,102890366,https://www.idealista.com/inmueble/102890366/
740000.0,4,6,103485400,https://www.idealista.com/inmueble/103485400/
869900.0,4,6,103731837,https://www.idealista.com/inmueble/103731837/
1550000.0,4,8,97602214,https://www.idealista.com/inmueble/97602214/
3200000.0,7,6,101502234,https://www.idealista.com/inmueble/101502234/
770000.0,2,4,103412651,https://www.idealista.com/inmueble/103412651/
980000.0,4,4,100198171,https://www.idealista.com/inmueble/100198171/
510000.0,2,3,103323190,https://www.idealista.com/inmueble/103323190/
640000.0,3,4,100706522,https://www.idealista.com/inmueble/100706522/
550000.0,2,4,102590043,https://www.idealista.com/inmueble/102590043/
1500000.0,5,6,99155122,https://www.idealista.com/inmueble/99155122/
1150000.0,5,5,99857045,https://www.idealista.com/inmueble/99857045/
965000.0,4,5,103795955,https://www.idealista.com/inmueble/103795955/
680000.0,2,3,103592139,https://www.idealista.com/inmueble/103592139/
378000.0,2,2,103184625,https://www.idealista.com/inmueble/103184625/
1250000.0,4,6,101904111,https://www.idealista.com/inmueble/101904111/
739900.0,4,5,100967240,https://www.idealista.com/inmueble/100967240/
790000.0,1,3,102728618,https://www.idealista.com/inmueble/102728618/
1390000.0,6,6,102657174,https://www.idealista.com/inmueble/102657174/
639000.0,3,4,102872357,https://www.idealista.com/inmueble/102872357/
597000.0,3,4,103613371,https://www.idealista.com/inmueble/103613371/
595000.0,4,4,102549979,https://www.idealista.com/inmueble/102549979/
1249000.0,6,4,97800005,https://www.idealista.com/inmueble/97800005/
1880000.0,11,8,103505210,https://www.idealista.com/inmueble/103505210/
1800000.0,6,6,102817919,https://www.idealista.com/inmueble/102817919/
630000.0,4,4,101316306,https://www.idealista.com/inmueble/101316306/
1700000.0,5,5,103078943,https://www.idealista.com/inmueble/103078943/
558000.0,2,2,103409417,https://www.idealista.com/inmueble/103409417/
1160000.0,5,6,101812612,https://www.idealista.com/inmueble/101812612/
315000.0,2,3,101320373,https://www.idealista.com/inmueble/101320373/
545000.0,2,3,103155669,https://www.idealista.com/inmueble/103155669/
995000.0,5,6,99417219,https://www.idealista.com/inmueble/99417219/
435000.0,2,3,103776682,https://www.idealista.com/inmueble/103776682/
373000.0,2,2,103472959,https://www.idealista.com/inmueble/103472959/
427000.0,2,2,103592698,https://www.idealista.com/inmueble/103592698/
575000.0,3,4,99278185,https://www.idealista.com/inmueble/99278185/
2700000.0,9,8,35365008,https://www.idealista.com/inmueble/35365008/
399900.0,2,2,102374749,https://www.idealista.com/inmueble/102374749/
595000.0,2,4,101992100,https://www.idealista.com/inmueble/101992100/
598000.0,2,3,102184110,https://www.idealista.com/inmueble/102184110/
480000.0,2,3,102696415,https://www.idealista.com/inmueble/102696415/
621000.0,2,3,87825989,https://www.idealista.com/inmueble/87825989/
450000.0,2,2,103660606,https://www.idealista.com/inmueble/103660606/
619000.0,2,4,103693013,https://www.idealista.com/inmueble/103693013/
995000.0,4,5,103471323,https://www.idealista.com/inmueble/103471323/
