precio,banos,habitaciones,propertyCode,url
254000,3,3,97221640,https://www.idealista.com/data/app/cid/UFhDNGJOOWZnenBrdnYxQVdFdFRKUT09
200000,1,3,102506983,https://www.idealista.com/data/app/cid/OEdtbWlDaEhDQlk1SUYwWVR4Mkt0Zz09
200000,1,3,102865170,https://www.idealista.com/data/app/cid/b1lpVk1Hc3Y1eUdtRTJFekdVM3dvQT09
245000,2,4,102248684,https://www.idealista.com/data/app/cid/elZlRHBobU9WYlVrZnBuaSsxN2ZRQT09
225000,3,3,101851379,https://www.idealista.com/data/app/cid/SFVmb1FRR3EzMFR3ckh5V3d4L0kzQT09
130000,1,3,100807552,https://www.idealista.com/data/app/cid/bGN1TENvbTNIelc1SHBtelBVemtZQT09
275000,2,4,102681628,https://www.idealista.com/data/app/cid/YkhtVmh1V1k0a2JPSUFwaWIrZ2RPQT09
179000,2,3,102724858,https://www.idealista.com/data/app/cid/emJmd2ZtSXp6bVlVcVBuS29lSjV2dz09
170000,2,3,103671742,https://www.idealista.com/data/app/cid/YlExZXd5cHk1MXBqYUJjM3JiYjUzZz09
195000,2,3,103038808,https://www.idealista.com/data/app/cid/YmR1NEw4UlhqcXdhTWE4Sjl4RUFEUT09
235000,3,4,102034096,https://www.idealista.com/data/app/cid/aUMremYwRWtsN2NVWmdiVnJDblJKUT09
128000,2,4,98410956,https://www.idealista.com/data/app/cid/M3FxTDIxRldQb0MwVjBMbXV0d25Udz09
279900,2,4,100627962,https://www.idealista.com/data/app/cid/ckRvNTFhNjZtS0FlQTk5THY2UE9zUT09
320000,4,3,95738956,https://www.idealista.com/data/app/cid/Uy9waUgwZVVmRDlONGp2a3JtZU1pUT09
275000,2,4,102680995,https://www.idealista.com/data/app/cid/NTM3a2owT08zSG00QjlqZzUwc3FCZz09
695000,4,5,100873913,https://www.idealista.com/data/app/cid/eGVKcFNFZ1N2VUJpRXV3eDgwcEtxdz09
565000,4,6,101883322,https://www.idealista.com/data/app/cid/S1JKWUI3M3JkMnh5RFVrK0pDNWUxUT09
330000,2,5,102853782,https://www.idealista.com/data/app/cid/QVVYMkx3WlcrUzdFdW1hbmRDL3ZMdz09
600000,3,6,98809059,https://www.idealista.com/data/app/cid/QkFGS2N3aExKUDFLeTFQeUhqMHpVZz09
555000,3,5,100302391,https://www.idealista.com/data/app/cid/UXZWMVptRDhpS2dLTCtVU0p4TkJSdz09
450000,2,3,101472885,https://www.idealista.com/data/app/cid/V2IwMjBMSk5VQmZUZ1drUVhjQ1M2UT09
330000,2,4,95644720,https://www.idealista.com/data/app/cid/T2o5dSs0TUwwUlJ6S1phZkRVY1JGZz09
360000,4,7,102781292,https://www.idealista.com/data/app/cid/QkRCUHlIcmJIaUJlcGE3a1cxVUU5dz09
375000,3,3,102404648,https://www.idealista.com/data/app/cid/S20wMHhvN1BCRXVuTWJlY1hjeFd1dz09
555000,3,5,102133382,https://www.idealista.com/data/app/cid/SHE4WHZ2K1BJTzFHN3ZVeWpuampqZz09
520000,3,3,100131980,https://www.idealista.com/data/app/cid/Wko1QitxRVMraEpOay9YbTdyeDR0QT09
390000,3,7,102518214,https://www.idealista.com/data/app/cid/WFluczFJRGhzcUJmU2gxQ203Smd2UT09
325000,3,7,102536926,https://www.idealista.com/data/app/cid/eElET3Nicnk0TVZqQzVkZklHU1RqZz09
410000,3,3,102207344,https://www.idealista.com/data/app/cid/SXgrcmpxd0NkS3hUQ1ZUYkE5Z0lhUT09
475000,2,3,103603642,https://www.idealista.com/data/app/cid/L2NWdjBsU25hdWpHY2kxZkZwdm1hUT09
450000,4,3,102970313,https://www.idealista.com/data/app/cid/b1Z5L01XQjFGY2FuT3hNTEsvOWVrdz09
430000,4,3,103272380,https://www.idealista.com/data/app/cid/cnI4djE4R0hrUjJzK2FJOGViVWVZUT09
475000,3,6,102055454,https://www.idealista.com/data/app/cid/dEZBS25OalNaeDVXZ0JLS0V0LzRsdz09
500000,3,3,102687041,https://www.idealista.com/data/app/cid/ZGtHaHZhQWtGUEN3dVNvZklWaytndz09
375000,2,4,82258258,https://www.idealista.com/data/app/cid/MXlMRFlqQzhmcHN0ZytFRnVOWWQ5dz09
375000,2,3,102332305,https://www.idealista.com/data/app/cid/T2hRd3pBNVhiYXJ3SDJlRkQxT3RwQT09
375000,2,4,98210957,https://www.idealista.com/data/app/cid/dFVoaXVPZCtTaVJTYkkvSDhCcnlldz09
300000,2,3,102296518,https://www.idealista.com/data/app/cid/amhRL3FwNnlVRzlPTEVxaElITTJtQT09
475000,3,4,101550434,https://www.idealista.com/data/app/cid/K20yZzZ2THBHZ0JUTDJPUUFNVFFQUT09
