precio,banos,habitaciones,propertyCode,url
180000,2,3,100086757,https://www.idealista.com/data/app/cid/RmZBKzNqRDJxUU9OMjFRZlRZV2liZz09
180000,2,2,101169008,https://www.idealista.com/data/app/cid/NnVUc2lFS3dySzBjc05tYnRYV3BWQT09
210000,2,3,99946479,https://www.idealista.com/data/app/cid/aW8zek85NCtMbzZjNnAzZm5OUi81UT09
180000,2,2,100597495,https://www.idealista.com/data/app/cid/NXNkNjVMUmROT0MreUJGNWJHcFVMZz09
300000,3,3,100539101,https://www.idealista.com/data/app/cid/cExNRnJHSkI0dTZTTHFsU0JIeW9rQT09
259000,1,3,101647619,https://www.idealista.com/data/app/cid/RzRZbmZQRER5am5IcllHcExrbDlYUT09
355000,3,4,102928449,https://www.idealista.com/data/app/cid/c3pyZzF0RFZmNWVGZ1JXcGFJc0xvUT09
225000,2,4,98933021,https://www.idealista.com/data/app/cid/K0E1Qjh0blF0RklBRUs3WlpiTDcvQT09
246000,3,4,31021657,https://www.idealista.com/data/app/cid/U0pIdElySWpGTnk4VkNnSkIrb3oxdz09
205000,2,3,99879153,https://www.idealista.com/data/app/cid/bkFBMmY1cDN0SS90b2RBR2QxcVFxZz09
118000,1,3,97887796,https://www.idealista.com/data/app/cid/M3JLVktEemNyam83U24xcURwMVZYUT09
237500,3,3,100015788,https://www.idealista.com/data/app/cid/MEJWVi90SFdnaXRMa21UVXMzdHNSZz09
218000,3,3,38920816,https://www.idealista.com/data/app/cid/VXVlUGlMalM3NGZQY004V2ZTcDV1Zz09
220000,3,3,29002432,https://www.idealista.com/data/app/cid/MFplcm0zc2hkSmp1L0hCTHVwbE5udz09
259000,1,3,103303761,https://www.idealista.com/data/app/cid/YkRKMjMxQkhqTU1lTlYvckVPTWlJdz09
280000,4,4,101789882,https://www.idealista.com/data/app/cid/UEJaNVlsS2EyT1pmK21mN3NIczk5UT09
260000,3,3,100852409,https://www.idealista.com/data/app/cid/V2FRWUhRT0dzSHJSTVdCWnlnbjI5Zz09
259000,1,3,101702389,https://www.idealista.com/data/app/cid/Y0VPVzVjME9YTXAraGZkRnhXRXRtUT09
259000,1,3,101630944,https://www.idealista.com/data/app/cid/enR1UnY5OEZ3R3hXYmw1OWJ4Q1ZLdz09
232500,3,3,102558059,https://www.idealista.com/data/app/cid/ajl6Y2pJdEttM0Y0ajU5NTMxeW5CZz09
235000,1,3,95622593,https://www.idealista.com/data/app/cid/MW9BQU9CYmhHNXdnbEd3WE9ybFBOUT09
199000,2,2,100664637,https://www.idealista.com/data/app/cid/dVhFdzljWXVJNS95VVJmVnM1QkhNZz09
279000,1,4,103241407,https://www.idealista.com/data/app/cid/aGpnUTc4STlXNGtXR0FZQTZBL3lvZz09
150000,1,3,99922957,https://www.idealista.com/data/app/cid/MGxRb2VYMU9GU25Ea1hyM2Y2NjRkUT09
150000,1,4,100509206,https://www.idealista.com/data/app/cid/cXl0YjVPSHhSSW9veENCcTlIcmFDUT09
199000,2,2,100803724,https://www.idealista.com/data/app/cid/c3pSeGhub1JvbDhOSmM2MFVSYjc4Zz09
419000,3,7,102285478,https://www.idealista.com/data/app/cid/NytEbDJKOThLMkFkRXhtcU53Z05RQT09
