precio,banos,habitaciones,propertyCode,url
199000,2,4,1866984,https://www.idealista.com/data/app/cid/dE5ETHAxRUR6NndlbXpxR3NuZG4vQT09
178000,1,3,98898979,https://www.idealista.com/data/app/cid/d3RNei9wbC9nS0NtNmhNSk1iUmFaZz09
139000,2,4,103077410,https://www.idealista.com/data/app/cid/M1kwQ0UzTzdiMFNzbVg5YW1UVTM2QT09
123850,2,2,96668088,https://www.idealista.com/data/app/cid/Z0dEM3VaU1I4d3k5T3pqKy9RZDVxUT09
155000,2,3,84696343,https://www.idealista.com/data/app/cid/MDJJM0ZDYVd3emM4Nzd1QWxrNnFpUT09
144000,2,3,100340049,https://www.idealista.com/data/app/cid/c0RCeUsvaHMrWWhPTEVMOUp5YjdUZz09
173000,1,1,103425199,https://www.idealista.com/data/app/cid/elRUWFMwRmhtN2QxWlVaMWtOdE9vZz09
99500,2,3,99939394,https://www.idealista.com/data/app/cid/S0hpb2VMb2x1Z2R2UlI2YnRudDRVQT09
99900,2,3,96337381,https://www.idealista.com/data/app/cid/R3NJZlRBYmVVOGlHWUd1a3hBeVlPQT09
98000,1,3,103641974,https://www.idealista.com/data/app/cid/Y2RybGZMNFB6VnU0aWNCMXUrV09IQT09
220000,3,4,100515781,https://www.idealista.com/data/app/cid/cnlscEs4aGQ0aEJZWHRZYkQyRjJhZz09
350000,4,4,39271752,https://www.idealista.com/data/app/cid/QU1lTHB2OXhuQVBiZWkwcGZTUWFwUT09
213000,1,3,99872712,https://www.idealista.com/data/app/cid/UW5WTHhSSDViRkw1ekNOc0xhWk4vZz09
95500,1,3,83025924,https://www.idealista.com/data/app/cid/SFpQOVprajdpZDdBd1hMeTVSMnVzQT09
145000,2,2,103722064,https://www.idealista.com/data/app/cid/M1FieThqcEh6RjMyOU1ZTVlmR2x2dz09
185000,2,2,101913081,https://www.idealista.com/data/app/cid/NzRpak1JZXVJWXplMDkvRXpndUNiUT09
89800,2,3,101689603,https://www.idealista.com/data/app/cid/MG1zeVRhbkc2Zm9TWUt3U0JvOUpDUT09
90000,1,3,100695388,https://www.idealista.com/data/app/cid/SGdPMlliTkEyVGNkWlVkallHeHdsUT09
90000,1,3,101609800,https://www.idealista.com/data/app/cid/T2JPRmZkTUJMdHBIS2xlMnRTcDYzdz09
123000,2,2,103392995,https://www.idealista.com/data/app/cid/aTFHRTNVdHRLZVAyemtCT2RzcFk4dz09
67500,2,2,100586663,https://www.idealista.com/data/app/cid/bklkV20raTZCeGlpVjhVU3d2SExydz09
69000,2,2,98166587,https://www.idealista.com/data/app/cid/dE9rU0Rld3YvdWN5OGNQK1F3S0FOQT09
175000,2,4,84366232,https://www.idealista.com/data/app/cid/RkZsRUIyc0ZtMEVPOFVOQnFhdUE1QT09
125000,1,2,96800475,https://www.idealista.com/data/app/cid/QURsV21rTW1sZGFRZ2lsYW1IMUk5Zz09
175000,1,3,102543315,https://www.idealista.com/data/app/cid/S3hpc3UyNWZhN2QxZlJmbDNpMFFXZz09
229000,1,2,101985913,https://www.idealista.com/data/app/cid/TkRwL3M5dXhES2xWdjYxMEs4YmtQdz09
229000,1,2,101992605,https://www.idealista.com/data/app/cid/TmlYbzZxU2M1OStzT09SUmJlQ2NJZz09
229000,2,2,102048102,https://www.idealista.com/data/app/cid/T2FTSXBPUUtyUnRQdnM5U002VUFBdz09
229000,1,2,102009426,https://www.idealista.com/data/app/cid/Uk5pS0JTSkZJV0dFV3pMdVlxcnM0QT09
229000,1,2,101983253,https://www.idealista.com/data/app/cid/R1lOdTI5bm5lTjBMUS8rdUJtOUJuUT09
174000,1,4,100820511,https://www.idealista.com/data/app/cid/T1R1MWIzcG9YaGpHWmYyV1JmZ3FMUT09
190000,3,2,100034953,https://www.idealista.com/data/app/cid/VzRxRjEwQ241ZmQ0bGhHaHdhN0VTdz09
300000,4,5,102500174,https://www.idealista.com/data/app/cid/T2daTDEzN005TG9KUWdWaG1CWENkZz09
239000,1,3,103239652,https://www.idealista.com/data/app/cid/bXZRVHFnUURFRDdoWnpxajVNMkZpZz09
105000,2,3,101830561,https://www.idealista.com/data/app/cid/dEZlSVVZdzM1ME5lcVdOQTdDa0xiUT09
179000,1,4,102505932,https://www.idealista.com/data/app/cid/b0dsNGlxWnZNRzJsUTNUc3BlNEZJQT09
154000,3,3,103011144,https://www.idealista.com/data/app/cid/ZVpFejExM0pRZGxUcFNHS0V4dGYrdz09
120000,2,3,102327462,https://www.idealista.com/data/app/cid/YmNNNnRJYXNqa2RNTHh6anpvVndRQT09
120000,2,3,101502830,https://www.idealista.com/data/app/cid/QUhid3V5aXhOamdmWmpVYW40anJwdz09
95000,1,4,103233928,https://www.idealista.com/data/app/cid/Nndvd2x6U0QwNVJkWmM2MmFORkpIdz09
115000,2,4,99852887,https://www.idealista.com/data/app/cid/L0Nxb20xNlplVi9OclBaTjI2eEFUdz09
115000,2,4,99851401,https://www.idealista.com/data/app/cid/SWoxM29MSlE2SFFCZnRGMjdlWi9SZz09
179000,1,4,101745677,https://www.idealista.com/data/app/cid/YmdnM0xXa0k0UG15ODdwdk05LzMxUT09
230000,2,3,99573423,https://www.idealista.com/data/app/cid/VGh0SzltN3FldUhjRHFyVHJJOU50Zz09
156000,1,2,102183768,https://www.idealista.com/data/app/cid/c3pkc3RTNmorQkRHUlRwdEt0SXVrUT09
159000,2,5,101063491,https://www.idealista.com/data/app/cid/WGp6QUViNi9Uc2Y5TlRTY3lLY3h0QT09
298000,2,5,103471176,https://www.idealista.com/data/app/cid/eXFBaDlCOE5YSmdIaDlDTHkzQi9uQT09
150000,2,7,101289008,https://www.idealista.com/data/app/cid/Rmw4Vyt1MFB5S2tyc0Q5U0JxZ2lEZz09
135000,2,2,103199304,https://www.idealista.com/data/app/cid/aHFQUUR1WUpOY2cvVEo3REEzSXI1Zz09
135000,2,2,102982335,https://www.idealista.com/data/app/cid/dTNyWXJmMGQ3c3dEL3NTaFVoVkRrUT09
89500,1,4,99922959,https://www.idealista.com/data/app/cid/M2g1YW9lRFZSb3d1N2Eya3gvM1Erdz09
194000,2,5,99862430,https://www.idealista.com/data/app/cid/L1RiUDNDQW1ZcmpVTUJKa0gxWm1YQT09
140000,2,3,102292229,https://www.idealista.com/data/app/cid/dGFhZmVIVmdDVTY5N1ZoU2p1ZUdTdz09
129000,1,3,103130246,https://www.idealista.com/data/app/cid/bVpEczd0TzM1b201MnBudzEybmYzUT09
149900,2,2,99922945,https://www.idealista.com/data/app/cid/WTVqRkFQcDlvRXVUR2ZHWjRISDlDUT09
200000,2,1,98892783,https://www.idealista.com/data/app/cid/bE1XSHNyc1prZHRwWUtFVmhzU2hjdz09
350000,2,4,100222784,https://www.idealista.com/data/app/cid/NFdadzIwV2JLUE9PdmhMeGZldnlCdz09
245000,2,6,102490712,https://www.idealista.com/data/app/cid/RkY5UWY1VlB6UUlYVElPemlUMFFOUT09
156000,1,2,102490729,https://www.idealista.com/data/app/cid/d1ZscWo4aWlURXU3MEt3MlZTU3JNUT09
250000,1,3,102054281,https://www.idealista.com/data/app/cid/azBoRVhkbTlTOTNpenY1QTdDN29EZz09
