precio,banos,habitaciones,propertyCode,url
598000.0,4,5,103254966,https://www.idealista.com/inmueble/103254966/
649000.0,4,6,95258882,https://www.idealista.com/inmueble/95258882/
499000.0,8,11,96377777,https://www.idealista.com/inmueble/96377777/
990000.0,6,7,102306801,https://www.idealista.com/inmueble/102306801/
379000.0,2,4,97715805,https://www.idealista.com/inmueble/97715805/
398000.0,3,3,103178791,https://www.idealista.com/inmueble/103178791/
319900.0,1,4,99752861,https://www.idealista.com/inmueble/99752861/
395000.0,3,5,90492292,https://www.idealista.com/inmueble/90492292/
398000.0,3,3,102752839,https://www.idealista.com/inmueble/102752839/
430000.0,4,5,99841526,https://www.idealista.com/inmueble/99841526/
460000.0,2,3,102125024,https://www.idealista.com/inmueble/102125024/
380000.0,2,3,103867584,https://www.idealista.com/inmueble/103867584/
395000.0,2,3,103127963,https://www.idealista.com/inmueble/103127963/
598000.0,3,5,102813173,https://www.idealista.com/inmueble/102813173/
495000.0,3,4,100418304,https://www.idealista.com/inmueble/100418304/
750000.0,4,4,103135103,https://www.idealista.com/inmueble/103135103/
409000.0,3,4,99798418,https://www.idealista.com/inmueble/99798418/
165000.0,2,2,102893845,https://www.idealista.com/inmueble/102893845/
400000.0,4,4,99611787,https://www.idealista.com/inmueble/99611787/
434000.0,3,4,103178761,https://www.idealista.com/obra-nueva/103178761/
483000.0,3,4,103178734,https://www.idealista.com/obra-nueva/103178734/
398000.0,3,4,103158549,https://www.idealista.com/obra-nueva/103158549/
410000.0,4,5,100945754,https://www.idealista.com/inmueble/100945754/
215000.0,2,4,103809313,https://www.idealista.com/inmueble/103809313/
495000.0,3,4,100676694,https://www.idealista.com/inmueble/100676694/
288400.0,2,4,103064432,https://www.idealista.com/inmueble/103064432/
175000.0,2,2,102113826,https://www.idealista.com/inmueble/102113826/
1500000.0,1,1,103815407,https://www.idealista.com/inmueble/103815407/
424000.0,2,5,95708290,https://www.idealista.com/inmueble/95708290/
395000.0,3,4,102837199,https://www.idealista.com/inmueble/102837199/
146000.0,1,3,103647294,https://www.idealista.com/inmueble/103647294/
560000.0,2,2,103739044,https://www.idealista.com/obra-nueva/103739044/
146000.0,1,3,103710338,https://www.idealista.com/inmueble/103710338/
155000.0,1,2,103587055,https://www.idealista.com/inmueble/103587055/
259900.0,3,5,94402028,https://www.idealista.com/inmueble/94402028/
420000.0,2,7,102676147,https://www.idealista.com/inmueble/102676147/
399500.0,3,6,98000304,https://www.idealista.com/inmueble/98000304/
199000.0,3,3,103419726,https://www.idealista.com/inmueble/103419726/
450000.0,3,5,102545854,https://www.idealista.com/inmueble/102545854/
265000.0,1,2,101051053,https://www.idealista.com/inmueble/101051053/
399000.0,1,4,100580581,https://www.idealista.com/inmueble/100580581/
165000.0,1,2,103056584,https://www.idealista.com/inmueble/103056584/
385000.0,3,3,99587598,https://www.idealista.com/inmueble/99587598/
375000.0,2,2,103532990,https://www.idealista.com/inmueble/103532990/
625000.0,4,8,98517246,https://www.idealista.com/inmueble/98517246/
347000.0,2,3,102810196,https://www.idealista.com/inmueble/102810196/
524900.0,4,9,92887964,https://www.idealista.com/inmueble/92887964/
310000.0,2,3,103296713,https://www.idealista.com/inmueble/103296713/
149000.0,1,2,102653628,https://www.idealista.com/inmueble/102653628/
265000.0,1,2,102577029,https://www.idealista.com/inmueble/102577029/
