precio,banos,habitaciones,propertyCode,url
170000.0,2,3,103690327,https://www.idealista.com/inmueble/103690327/
141000.0,2,3,103863440,https://www.idealista.com/inmueble/103863440/
349900.0,3,5,102915120,https://www.idealista.com/inmueble/102915120/
390000.0,4,4,103505603,https://www.idealista.com/inmueble/103505603/
595000.0,4,5,103053394,https://www.idealista.com/inmueble/103053394/
311900.0,3,4,101243724,https://www.idealista.com/inmueble/101243724/
120000.0,1,3,101823449,https://www.idealista.com/inmueble/101823449/
270000.0,6,5,102611095,https://www.idealista.com/inmueble/102611095/
840000.0,4,7,101657255,https://www.idealista.com/inmueble/101657255/
136000.0,1,3,103871596,https://www.idealista.com/inmueble/103871596/
141000.0,2,3,103578247,https://www.idealista.com/inmueble/103578247/
191000.0,2,2,103853085,https://www.idealista.com/inmueble/103853085/
499000.0,3,3,102683045,https://www.idealista.com/inmueble/102683045/
1450000.0,8,7,101068871,https://www.idealista.com/inmueble/101068871/
156980.0,1,1,103691112,https://www.idealista.com/obra-nueva/103691112/
127985.0,1,1,103691093,https://www.idealista.com/obra-nueva/103691093/
350000.0,2,5,101874107,https://www.idealista.com/inmueble/101874107/
166145.0,1,1,103691098,https://www.idealista.com/obra-nueva/103691098/
163785.0,2,2,103691127,https://www.idealista.com/obra-nueva/103691127/
319900.0,3,5,103374557,https://www.idealista.com/inmueble/103374557/
114900.0,1,3,103026383,https://www.idealista.com/inmueble/103026383/
104900.0,1,2,103306666,https://www.idealista.com/inmueble/103306666/
150713.0,1,2,103056753,https://www.idealista.com/obra-nueva/103056753/
178493.0,1,1,102791570,https://www.idealista.com/obra-nueva/102791570/
138502.0,1,1,102791561,https://www.idealista.com/obra-nueva/102791561/
365000.0,3,4,103823903,https://www.idealista.com/inmueble/103823903/
155363.0,1,2,103056712,https://www.idealista.com/obra-nueva/103056712/
115651.0,1,1,103056747,https://www.idealista.com/obra-nueva/103056747/
126464.0,1,1,102791470,https://www.idealista.com/obra-nueva/102791470/
361394.0,3,4,101218530,https://www.idealista.com/obra-nueva/101218530/
141000.0,2,3,103579386,https://www.idealista.com/inmueble/103579386/
361394.0,3,4,101218407,https://www.idealista.com/obra-nueva/101218407/
159000.0,1,2,103311289,https://www.idealista.com/inmueble/103311289/
355000.0,3,3,103154256,https://www.idealista.com/inmueble/103154256/
998000.0,4,2,97598399,https://www.idealista.com/inmueble/97598399/
368000.0,3,4,101721907,https://www.idealista.com/obra-nueva/101721907/
389900.0,3,4,99593806,https://www.idealista.com/inmueble/99593806/
249900.0,1,3,103585023,https://www.idealista.com/inmueble/103585023/
229900.0,2,2,103780022,https://www.idealista.com/inmueble/103780022/
198000.0,2,4,103389123,https://www.idealista.com/inmueble/103389123/
425000.0,4,5,103378510,https://www.idealista.com/inmueble/103378510/
134900.0,1,3,102685311,https://www.idealista.com/inmueble/102685311/
122000.0,1,3,103576129,https://www.idealista.com/inmueble/103576129/
278000.0,3,4,103772673,https://www.idealista.com/inmueble/103772673/
141000.0,2,3,103575175,https://www.idealista.com/inmueble/103575175/
126900.0,1,3,103566851,https://www.idealista.com/inmueble/103566851/
279900.0,2,3,103543094,https://www.idealista.com/inmueble/103543094/
347900.0,3,4,102845750,https://www.idealista.com/inmueble/102845750/
310000.0,4,5,102616034,https://www.idealista.com/inmueble/102616034/
122000.0,1,3,103393802,https://www.idealista.com/inmueble/103393802/
