precio,banos,habitaciones,propertyCode,url
215000.0,2,2,103411589,https://www.idealista.com/inmueble/103411589/
480000.0,2,6,101574243,https://www.idealista.com/inmueble/101574243/
125000.0,1,1,103567201,https://www.idealista.com/inmueble/103567201/
150000.0,1,2,103241743,https://www.idealista.com/inmueble/103241743/
250000.0,2,3,103647708,https://www.idealista.com/inmueble/103647708/
355000.0,3,3,103704225,https://www.idealista.com/inmueble/103704225/
395000.0,3,3,101378921,https://www.idealista.com/inmueble/101378921/
159800.0,2,3,101096743,https://www.idealista.com/inmueble/101096743/
89000.0,2,3,99767147,https://www.idealista.com/inmueble/99767147/
165000.0,2,3,103641003,https://www.idealista.com/inmueble/103641003/
150000.0,2,3,101121258,https://www.idealista.com/inmueble/101121258/
105000.0,1,3,101199157,https://www.idealista.com/inmueble/101199157/
190000.0,2,4,102258148,https://www.idealista.com/inmueble/102258148/
245000.0,3,4,102850677,https://www.idealista.com/inmueble/102850677/
285000.0,3,3,102071284,https://www.idealista.com/inmueble/102071284/
160000.0,2,2,102071181,https://www.idealista.com/inmueble/102071181/
376000.0,4,6,102876973,https://www.idealista.com/inmueble/102876973/
79000.0,2,2,99722636,https://www.idealista.com/inmueble/99722636/
