precio,banos,habitaciones,propertyCode,url
450000.0,3,3,101008792,https://www.idealista.com/obra-nueva/101008792/
478000.0,3,3,101780350,https://www.idealista.com/obra-nueva/101780350/
475000.0,3,3,103154212,https://www.idealista.com/obra-nueva/103154212/
539000.0,2,5,102732397,https://www.idealista.com/inmueble/102732397/
247000.0,2,4,101643029,https://www.idealista.com/inmueble/101643029/
159000.0,1,3,102953484,https://www.idealista.com/inmueble/102953484/
204900.0,2,4,102865336,https://www.idealista.com/inmueble/102865336/
339000.0,2,4,103056343,https://www.idealista.com/inmueble/103056343/
244900.0,2,3,103105543,https://www.idealista.com/inmueble/103105543/
264900.0,2,4,103212800,https://www.idealista.com/inmueble/103212800/
194900.0,1,2,102792077,https://www.idealista.com/inmueble/102792077/
179000.0,1,3,103183224,https://www.idealista.com/inmueble/103183224/
260000.0,2,4,103766205,https://www.idealista.com/inmueble/103766205/
399900.0,4,6,102285527,https://www.idealista.com/inmueble/102285527/
179900.0,1,3,102968368,https://www.idealista.com/inmueble/102968368/
135000.0,1,2,100423908,https://www.idealista.com/inmueble/100423908/
257500.0,2,4,102982197,https://www.idealista.com/inmueble/102982197/
435000.0,3,5,103540296,https://www.idealista.com/inmueble/103540296/
315000.0,2,3,101468179,https://www.idealista.com/inmueble/101468179/
145000.0,1,3,103292260,https://www.idealista.com/inmueble/103292260/
129000.0,1,2,103872900,https://www.idealista.com/inmueble/103872900/
369900.0,3,4,102981470,https://www.idealista.com/inmueble/102981470/
364000.0,2,3,102234170,https://www.idealista.com/inmueble/102234170/
219900.0,2,4,102760053,https://www.idealista.com/inmueble/102760053/
154900.0,1,3,103866006,https://www.idealista.com/inmueble/103866006/
129900.0,1,3,102947965,https://www.idealista.com/inmueble/102947965/
399000.0,5,4,103872579,https://www.idealista.com/inmueble/103872579/
159900.0,1,3,103870555,https://www.idealista.com/inmueble/103870555/
335000.0,3,3,102017855,https://www.idealista.com/inmueble/102017855/
341000.0,3,3,101212305,https://www.idealista.com/inmueble/101212305/
354900.0,3,4,103083952,https://www.idealista.com/inmueble/103083952/
350000.0,3,5,103869698,https://www.idealista.com/inmueble/103869698/
290000.0,2,4,102837449,https://www.idealista.com/inmueble/102837449/
278000.0,2,4,103635387,https://www.idealista.com/inmueble/103635387/
365000.0,3,5,102202032,https://www.idealista.com/inmueble/102202032/
219900.0,2,3,103212395,https://www.idealista.com/inmueble/103212395/
358000.0,3,3,103052228,https://www.idealista.com/inmueble/103052228/
344900.0,4,4,103216788,https://www.idealista.com/inmueble/103216788/
399900.0,4,4,103808204,https://www.idealista.com/inmueble/103808204/
209900.0,1,2,102927309,https://www.idealista.com/inmueble/102927309/
690000.0,6,10,95995730,https://www.idealista.com/inmueble/95995730/
95300.0,1,2,31059710,https://www.idealista.com/inmueble/31059710/
233000.0,2,4,103423385,https://www.idealista.com/inmueble/103423385/
137000.0,1,3,103853340,https://www.idealista.com/inmueble/103853340/
182000.0,1,2,103870155,https://www.idealista.com/inmueble/103870155/
170000.0,3,2,103876066,https://www.idealista.com/inmueble/103876066/
190000.0,1,3,103877287,https://www.idealista.com/inmueble/103877287/
146000.0,1,3,102842332,https://www.idealista.com/inmueble/102842332/
185000.0,2,4,96388122,https://www.idealista.com/inmueble/96388122/
195000.0,2,4,103855802,https://www.idealista.com/inmueble/103855802/
