precio,banos,habitaciones,propertyCode,url
178000,2,3,101328582,https://www.idealista.com/data/app/cid/WHM5QitqbTdOUDJpTWsreHlyandtUT09
155000,2,3,30413574,https://www.idealista.com/data/app/cid/QmRiRmVDdkFZM3hPcDdidU82eEl3QT09
280000,2,3,94314705,https://www.idealista.com/data/app/cid/TENnOUFKdUtyWjJadld6eDd3M3FFZz09
230000,3,3,103039088,https://www.idealista.com/data/app/cid/SUw0UkFIV0h1VGNaUDJVWDlwQ0tJZz09
167000,2,4,101401668,https://www.idealista.com/data/app/cid/c1BRdzV4UmdNZW1NZTA1ZFd1RnIwUT09
185000,2,4,100151134,https://www.idealista.com/data/app/cid/ZWtkdURBL0gwYmtOWGhVN2Z2dUtUdz09
168000,2,3,101767790,https://www.idealista.com/data/app/cid/NGR1T0lSVm9QRmI3SzZ0Kys0Z0Y0Zz09
229000,2,3,101924060,https://www.idealista.com/data/app/cid/TTdpVHQvK3hzZGFtRTB4b29kSUo2Zz09
280000,3,3,81795625,https://www.idealista.com/data/app/cid/L0NlN21NR1dNcXJkNzJJSy9mMUUzUT09
324000,3,3,30099400,https://www.idealista.com/data/app/cid/eVFWTWpCMHN2ZzhCelp4dllYS2wzUT09
185000,2,3,98090566,https://www.idealista.com/data/app/cid/L3VnQlArUUp2cEJHSVo1eUtpemVSdz09
195000,2,4,102554062,https://www.idealista.com/data/app/cid/RVl5VDVsTVdDT3kzdENoMmVOT1VmZz09
225000,3,3,99201067,https://www.idealista.com/data/app/cid/M1hibWNuck9yTlV5YXlvV2N5YUFIUT09
342000,3,4,103806667,https://www.idealista.com/data/app/cid/Z0NkQW1OUFpWU1lBMXl1Wjh3c1RZdz09
342000,3,4,103807283,https://www.idealista.com/data/app/cid/Nzg2Mjd4TVpwQkY3QVorYWNvTjYwZz09
330000,3,4,102080753,https://www.idealista.com/data/app/cid/UURyVzdwMUZocWtHdGI5VHhnbm14QT09
342000,3,4,103817066,https://www.idealista.com/data/app/cid/dHpDSFQ4VkZwVmVkUjVDMjBVaVdidz09
342000,3,4,103817044,https://www.idealista.com/data/app/cid/a2Z0a2c1emJKMEJHMXlndVUxc2R2dz09
179999,2,3,103852499,https://www.idealista.com/data/app/cid/ajVxa1U2WGhjOTRWYVUzdE1YcXNNUT09
179999,2,3,101121551,https://www.idealista.com/data/app/cid/bFRBcm80bXAvT2d6WHpzSXB3alJjUT09
175000,2,3,101647226,https://www.idealista.com/data/app/cid/WmxscDkwWnNRdTZ0WkFiZTRNWXNTZz09
180000,2,3,100993145,https://www.idealista.com/data/app/cid/cEZiajFTR2ozeXlOTjFiSUYwY210Zz09
295000,3,4,347342,https://www.idealista.com/data/app/cid/Y1dpZzlycTV3YTBLc2JvMG96SmJsUT09
359000,3,3,103713615,https://www.idealista.com/data/app/cid/eG5rVklURU8vM1RjZkEvcWdBL2I0dz09
