precio,banos,habitaciones,propertyCode,url
208000,3,3,103850346,https://www.idealista.com/data/app/cid/TnBDb3dhaDFxN2NaT1hJRFBFcy9rUT09
126100,3,3,100726970,https://www.idealista.com/data/app/cid/cEo2V1JHRW9DaHg4NW1rTDMwbitaQT09
245000,2,3,102744986,https://www.idealista.com/data/app/cid/dXdKY3dBVGFMQTFKQmtwY1V4K1lJQT09
126100,2,3,102620357,https://www.idealista.com/data/app/cid/MGxiczliNXVIMU92QjhXa2NTR1plZz09
185000,2,5,95117044,https://www.idealista.com/data/app/cid/QlN5dDErNVlMWXpYWjlDM1V6VjJ4UT09
220000,2,2,102834338,https://www.idealista.com/data/app/cid/V1l1SndZYnJGQmkwNWpDcTNzd0JxQT09
255000,2,5,101715706,https://www.idealista.com/data/app/cid/YUN6YXE0cWxsY05YWTR6eDM1TlpKUT09
209000,3,3,102782130,https://www.idealista.com/data/app/cid/d0xjMmV5WFZIOXcybG81NUc3eTBUUT09
126800,3,4,103085426,https://www.idealista.com/data/app/cid/dERzbnVMQVVBeWIydWhQYnJIcTcydz09
126800,3,4,98373558,https://www.idealista.com/data/app/cid/RUxJVXBXbkRlaFlLWGVORUNsdWdudz09
240000,1,3,102745504,https://www.idealista.com/data/app/cid/WVVzUU00NlIwSDJoUUwraWJnRU9LQT09
126800,2,3,102019322,https://www.idealista.com/data/app/cid/S0J6Mk9Nc041TFFZandGUW9VMnIrQT09
205000,3,3,101002437,https://www.idealista.com/data/app/cid/SlhTZ09KcVNTclcvM0FEbzlZMk5sQT09
149100,2,3,100757884,https://www.idealista.com/data/app/cid/bWhFQmQ1MVBRZ0E1YURyVUV6bzVJdz09
126800,3,3,97684223,https://www.idealista.com/data/app/cid/b25Wd1JmMyt5cDBhaERqZG44TTdVdz09
260000,2,3,102745291,https://www.idealista.com/data/app/cid/Zkxsb3Q3eE9kY21SeGZrU2dYSTEwZz09
255000,2,3,102745156,https://www.idealista.com/data/app/cid/dExWUFppb04wK2xwNVR6eTl6ZW5vQT09
189000,3,3,102358672,https://www.idealista.com/data/app/cid/OGp0Tng1R3g3K1hQODI4UTB4cGZHZz09
185000,1,3,100367561,https://www.idealista.com/data/app/cid/OUFRTytkY3BQaEN6WkxXWmlkRzkxQT09
185000,1,3,101719780,https://www.idealista.com/data/app/cid/UkY2QTI3djJidnJUNjYrRVRkSE9zQT09
185000,1,3,101718222,https://www.idealista.com/data/app/cid/cm03RThDdEJQdWw4U1hTYzQ3SXk3dz09
