precio,banos,habitaciones,propertyCode,url
435000.0,2,3,102160720,https://www.idealista.com/inmueble/102160720/
195000.0,1,2,103520906,https://www.idealista.com/inmueble/103520906/
172500.0,2,2,103583611,https://www.idealista.com/inmueble/103583611/
247500.0,2,3,103556865,https://www.idealista.com/inmueble/103556865/
165000.0,2,3,103232719,https://www.idealista.com/inmueble/103232719/
104500.0,1,3,102630031,https://www.idealista.com/inmueble/102630031/
585000.0,4,5,101379962,https://www.idealista.com/inmueble/101379962/
239000.0,2,3,103392724,https://www.idealista.com/inmueble/103392724/
124000.0,1,3,103153802,https://www.idealista.com/inmueble/103153802/
328000.0,4,5,102552407,https://www.idealista.com/inmueble/102552407/
289000.0,3,3,92461509,https://www.idealista.com/inmueble/92461509/
399990.0,3,4,103740448,https://www.idealista.com/inmueble/103740448/
167000.0,2,2,103259578,https://www.idealista.com/inmueble/103259578/
117000.0,1,3,103870775,https://www.idealista.com/inmueble/103870775/
129000.0,1,3,103865962,https://www.idealista.com/inmueble/103865962/
99000.0,1,3,102102373,https://www.idealista.com/inmueble/102102373/
149000.0,1,3,100551745,https://www.idealista.com/inmueble/100551745/
120000.0,1,2,103871344,https://www.idealista.com/inmueble/103871344/
145999.0,2,3,103869610,https://www.idealista.com/inmueble/103869610/
379000.0,3,4,102362897,https://www.idealista.com/inmueble/102362897/
165000.0,2,3,103872129,https://www.idealista.com/inmueble/103872129/
170000.0,2,2,102840013,https://www.idealista.com/inmueble/102840013/
120000.0,1,3,103850762,https://www.idealista.com/inmueble/103850762/
429500.0,2,3,103813091,https://www.idealista.com/inmueble/103813091/
104999.0,1,2,103576447,https://www.idealista.com/inmueble/103576447/
179900.0,2,3,103548415,https://www.idealista.com/inmueble/103548415/
75000.0,1,2,88471123,https://www.idealista.com/inmueble/88471123/
364000.0,2,3,103779445,https://www.idealista.com/inmueble/103779445/
134999.0,1,2,102227856,https://www.idealista.com/inmueble/102227856/
94990.0,1,3,103872264,https://www.idealista.com/inmueble/103872264/
139900.0,1,3,103856461,https://www.idealista.com/inmueble/103856461/
134990.0,1,3,103862641,https://www.idealista.com/inmueble/103862641/
170000.0,2,3,103502549,https://www.idealista.com/inmueble/103502549/
75000.0,1,2,102225633,https://www.idealista.com/inmueble/102225633/
240000.0,2,4,103008188,https://www.idealista.com/inmueble/103008188/
95000.0,1,3,103831125,https://www.idealista.com/inmueble/103831125/
103000.0,1,2,98764643,https://www.idealista.com/inmueble/98764643/
275000.0,2,3,103576393,https://www.idealista.com/inmueble/103576393/
339900.0,2,4,103512108,https://www.idealista.com/inmueble/103512108/
170000.0,2,2,103627898,https://www.idealista.com/inmueble/103627898/
206286.0,2,3,103658460,https://www.idealista.com/obra-nueva/103658460/
215573.0,2,3,103658626,https://www.idealista.com/obra-nueva/103658626/
219251.0,2,3,103658684,https://www.idealista.com/obra-nueva/103658684/
217219.0,2,3,103658669,https://www.idealista.com/obra-nueva/103658669/
194201.0,2,2,103658688,https://www.idealista.com/obra-nueva/103658688/
187131.0,2,2,103658619,https://www.idealista.com/obra-nueva/103658619/
187827.0,2,2,103658671,https://www.idealista.com/obra-nueva/103658671/
222527.0,2,3,103658672,https://www.idealista.com/obra-nueva/103658672/
181261.0,1,0,103658575,https://www.idealista.com/obra-nueva/103658575/
126500.0,1,3,103390079,https://www.idealista.com/inmueble/103390079/
