precio,banos,habitaciones,propertyCode,url
120000,2,2,98063574,https://www.idealista.com/data/app/cid/b0xNaDFSOWNzekp4UWNkbXdWdGZkZz09
204000,3,5,101140137,https://www.idealista.com/data/app/cid/a21LK216QjkrbDhQMzY0V1B4NS9xQT09
119900,2,3,98784951,https://www.idealista.com/data/app/cid/dFptY3lhQmdEU29LZ1YxK0pvS1cydz09
201000,2,3,96147289,https://www.idealista.com/data/app/cid/YzJKaXBXeWkySVVDa0NTV0FyMC9tUT09
150000,2,5,100597459,https://www.idealista.com/data/app/cid/R3pXMmN2Y3VpaUpXR25FOWxLVVZsUT09
150000,2,5,99753587,https://www.idealista.com/data/app/cid/YlNsWlBoT3hWbHp0SDU5YnN3SHFwZz09
150000,2,4,95350656,https://www.idealista.com/data/app/cid/bTN3MloydDFPU1J0aDJKaUpSTXlwUT09
114800,2,3,97040196,https://www.idealista.com/data/app/cid/ZUd1TXB3cDF1WGRWOTNwREJha0pWQT09
135000,1,1,100232699,https://www.idealista.com/data/app/cid/U2taQisvM1N3RWloaUYzVjBZTVlyZz09
114750,1,1,100227592,https://www.idealista.com/data/app/cid/SGxMdmRaaXgxMWF3NGs4bW1SY0Z3Zz09
114750,1,1,102758791,https://www.idealista.com/data/app/cid/MGZxSkJocTRRK2tsWVBEWlBCVy9Qdz09
150000,2,3,99519089,https://www.idealista.com/data/app/cid/VURpV1VNb09sYi9XdkRNOEdNN0Q5Zz09
150000,2,3,99512377,https://www.idealista.com/data/app/cid/MnpwUDI3aTFaWDc1RFA0K1ZzT1lEUT09
130000,1,4,103129593,https://www.idealista.com/data/app/cid/NUI3OEhxWFVBdjB0L015MFVTSjFDdz09
162000,2,5,102531307,https://www.idealista.com/data/app/cid/U3I3d0ZWVC9sTHRkbHJ4OHB1UWcyZz09
249500,2,4,102570426,https://www.idealista.com/data/app/cid/cGgrdVc1VEdaNXlmenJaNVlydFdOQT09
250000,1,4,101855355,https://www.idealista.com/data/app/cid/QmRVNExVSkxWQzFUQ09SWGFHSGRjQT09
185000,1,3,103490668,https://www.idealista.com/data/app/cid/Smx2dkkwMmkvNmFhcXpXVFI5aDR2dz09
