precio,banos,habitaciones,propertyCode,url
254000.0,2,3,103301235,https://www.idealista.com/inmueble/103301235/
194000.0,2,2,101874485,https://www.idealista.com/inmueble/101874485/
123050.0,1,1,103877461,https://www.idealista.com/inmueble/103877461/
110600.0,1,3,103851339,https://www.idealista.com/inmueble/103851339/
246000.0,2,2,103858571,https://www.idealista.com/obra-nueva/103858571/
292000.0,2,3,103858574,https://www.idealista.com/obra-nueva/103858574/
240000.0,2,2,103858529,https://www.idealista.com/obra-nueva/103858529/
300000.0,2,3,103858599,https://www.idealista.com/obra-nueva/103858599/
273000.0,2,2,103858598,https://www.idealista.com/obra-nueva/103858598/
240000.0,2,2,103858597,https://www.idealista.com/obra-nueva/103858597/
264000.0,2,2,103858588,https://www.idealista.com/obra-nueva/103858588/
240000.0,2,2,103858580,https://www.idealista.com/obra-nueva/103858580/
315000.0,2,3,103858581,https://www.idealista.com/obra-nueva/103858581/
245000.0,2,2,103858573,https://www.idealista.com/obra-nueva/103858573/
405000.0,2,3,103864252,https://www.idealista.com/inmueble/103864252/
210000.0,2,4,103854980,https://www.idealista.com/inmueble/103854980/
245000.0,2,3,103861755,https://www.idealista.com/inmueble/103861755/
205000.0,1,1,103178244,https://www.idealista.com/inmueble/103178244/
149000.0,1,1,89264154,https://www.idealista.com/inmueble/89264154/
199000.0,2,2,89263852,https://www.idealista.com/inmueble/89263852/
570000.0,4,4,103810296,https://www.idealista.com/inmueble/103810296/
158000.0,1,3,102094436,https://www.idealista.com/inmueble/102094436/
295000.0,2,3,101581502,https://www.idealista.com/obra-nueva/101581502/
289000.0,2,3,101581479,https://www.idealista.com/obra-nueva/101581479/
310000.0,2,4,101581527,https://www.idealista.com/obra-nueva/101581527/
295000.0,2,3,101581481,https://www.idealista.com/obra-nueva/101581481/
310000.0,2,4,101581482,https://www.idealista.com/obra-nueva/101581482/
289000.0,2,3,101581480,https://www.idealista.com/obra-nueva/101581480/
280000.0,2,3,101581452,https://www.idealista.com/obra-nueva/101581452/
265000.0,2,2,101581418,https://www.idealista.com/obra-nueva/101581418/
259000.0,2,4,103853691,https://www.idealista.com/inmueble/103853691/
179900.0,1,3,103159699,https://www.idealista.com/inmueble/103159699/
199975.0,2,3,103736043,https://www.idealista.com/inmueble/103736043/
128000.0,1,1,89933615,https://www.idealista.com/inmueble/89933615/
128000.0,1,1,89264195,https://www.idealista.com/inmueble/89264195/
133000.0,1,2,89264168,https://www.idealista.com/inmueble/89264168/
255000.0,2,4,103210498,https://www.idealista.com/inmueble/103210498/
542100.0,3,4,102630644,https://www.idealista.com/inmueble/102630644/
160000.0,1,3,103856353,https://www.idealista.com/inmueble/103856353/
435000.0,2,3,103781903,https://www.idealista.com/inmueble/103781903/
275900.0,2,4,103819338,https://www.idealista.com/inmueble/103819338/
123050.0,1,1,103109366,https://www.idealista.com/inmueble/103109366/
240000.0,2,4,103809933,https://www.idealista.com/inmueble/103809933/
139000.0,1,1,103810303,https://www.idealista.com/inmueble/103810303/
355000.0,3,4,102939239,https://www.idealista.com/inmueble/102939239/
369900.0,2,4,103772094,https://www.idealista.com/inmueble/103772094/
199975.0,1,3,101867213,https://www.idealista.com/inmueble/101867213/
179800.0,1,3,102988900,https://www.idealista.com/inmueble/102988900/
460000.0,3,3,102704088,https://www.idealista.com/inmueble/102704088/
220000.0,1,3,102927199,https://www.idealista.com/inmueble/102927199/
