precio,banos,habitaciones,propertyCode,url
139000,2,4,103077410,https://www.idealista.com/data/app/cid/M1kwQ0UzTzdiMFNzbVg5YW1UVTM2QT09
280000,3,4,102212003,https://www.idealista.com/data/app/cid/NTNHWTZOeDBJSk91TXpOMVg4Tks1UT09
330000,3,4,98912853,https://www.idealista.com/data/app/cid/eFFVOVdYNUdaaHFteDNNSy9vNGJpQT09
259000,3,4,103769510,https://www.idealista.com/data/app/cid/Q1c0QlBDL2NOWmpiWFNISkhnMmN1Zz09
195500,2,4,103643572,https://www.idealista.com/data/app/cid/amVwZEV5clk5U2g2dkpsR0YzRnpCQT09
187000,2,3,102606378,https://www.idealista.com/data/app/cid/WmpqN0xHZ0ZEVzJMdkVjTXVjYS9vZz09
176000,3,3,101673065,https://www.idealista.com/data/app/cid/Nzh1c1dNL1I5N1UxWjhjdnVLdUJNZz09
176000,3,2,100834359,https://www.idealista.com/data/app/cid/MHlxYmErdVFRREZJVXcva1duVnBXZz09
195000,1,5,100311536,https://www.idealista.com/data/app/cid/cWpIUDd1QjRwbmo0M0pMNlppMTNvZz09
195000,1,5,102050823,https://www.idealista.com/data/app/cid/c3pvVmhUN2svalRJWHF1OHptSWd0QT09
243000,2,4,102906280,https://www.idealista.com/data/app/cid/TU5ycW9YTkx0dlhjMzBsQ0IwbkU0Zz09
320000,3,8,82349350,https://www.idealista.com/data/app/cid/MDZsSGhyT2ZCMlJPRGJzOEh6OXh5Zz09
190000,3,4,87202847,https://www.idealista.com/data/app/cid/MlpMRGt2NWF1alVINTNTaUg1cE5rUT09
190000,3,4,99466952,https://www.idealista.com/data/app/cid/Yk5NYnpkZUJLV0tYbVdvQjBaYzRRQT09
154000,3,3,103011144,https://www.idealista.com/data/app/cid/ZVpFejExM0pRZGxUcFNHS0V4dGYrdz09
300000,4,5,102500174,https://www.idealista.com/data/app/cid/T2daTDEzN005TG9KUWdWaG1CWENkZz09
190000,3,3,98817180,https://www.idealista.com/data/app/cid/amVCamE2VkpkUDE2eDZYbDduUm9IUT09
159000,3,3,101629689,https://www.idealista.com/data/app/cid/SlZ5Ym13U2p3M0QwTlRLQnpKWWdlZz09
159000,3,3,101702877,https://www.idealista.com/data/app/cid/SnhET3lvZlp6YTBRU3ZMTFgyR01MZz09
165000,2,4,98892768,https://www.idealista.com/data/app/cid/bVJuUVNYU0lDQ0RGYlZ2a0ZCZTV4Zz09
165000,2,4,93574775,https://www.idealista.com/data/app/cid/NW5QWXN4bFM1cU9BQnplK0tjcGNLdz09
354000,3,4,101069813,https://www.idealista.com/data/app/cid/Q3RNcFVHR1Y3NmdrTEZjT0Y0KzFDdz09
149900,2,2,99922945,https://www.idealista.com/data/app/cid/WTVqRkFQcDlvRXVUR2ZHWjRISDlDUT09
350000,2,4,100222784,https://www.idealista.com/data/app/cid/NFdadzIwV2JLUE9PdmhMeGZldnlCdz09
194000,2,5,99862430,https://www.idealista.com/data/app/cid/L1RiUDNDQW1ZcmpVTUJKa0gxWm1YQT09
105000,2,3,101830561,https://www.idealista.com/data/app/cid/dEZlSVVZdzM1ME5lcVdOQTdDa0xiUT09
250000,1,3,103686679,https://www.idealista.com/data/app/cid/S0JYUGF6cnRMeVhRVGk3ckpSWkZsdz09
200000,2,1,98892783,https://www.idealista.com/data/app/cid/bE1XSHNyc1prZHRwWUtFVmhzU2hjdz09
140000,2,3,102292229,https://www.idealista.com/data/app/cid/dGFhZmVIVmdDVTY5N1ZoU2p1ZUdTdz09
120000,2,3,102327462,https://www.idealista.com/data/app/cid/YmNNNnRJYXNqa2RNTHh6anpvVndRQT09
120000,2,3,101502830,https://www.idealista.com/data/app/cid/QUhid3V5aXhOamdmWmpVYW40anJwdz09
