precio,banos,habitaciones,propertyCode,url
289000.0,3,4,100079656,https://www.idealista.com/inmueble/100079656/
345000.0,3,5,103011540,https://www.idealista.com/inmueble/103011540/
585000.0,2,3,102313703,https://www.idealista.com/inmueble/102313703/
399900.0,3,6,101250746,https://www.idealista.com/inmueble/101250746/
370000.0,3,4,103280778,https://www.idealista.com/inmueble/103280778/
470000.0,3,4,85929004,https://www.idealista.com/inmueble/85929004/
300000.0,3,4,99950993,https://www.idealista.com/inmueble/99950993/
265000.0,2,3,100439692,https://www.idealista.com/inmueble/100439692/
270000.0,2,3,103640968,https://www.idealista.com/inmueble/103640968/
275000.0,2,6,103039069,https://www.idealista.com/inmueble/103039069/
238000.0,4,5,100170714,https://www.idealista.com/inmueble/100170714/
100000.0,1,3,101356584,https://www.idealista.com/inmueble/101356584/
125000.0,2,2,97526388,https://www.idealista.com/inmueble/97526388/
85000.0,1,4,97893397,https://www.idealista.com/inmueble/97893397/
189900.0,2,7,100183950,https://www.idealista.com/inmueble/100183950/
349000.0,2,3,101223932,https://www.idealista.com/inmueble/101223932/
184000.0,2,3,97849175,https://www.idealista.com/inmueble/97849175/
230000.0,3,5,103850989,https://www.idealista.com/inmueble/103850989/
292000.0,2,3,101608078,https://www.idealista.com/inmueble/101608078/
240000.0,2,3,103813804,https://www.idealista.com/inmueble/103813804/
899000.0,4,9,99221099,https://www.idealista.com/inmueble/99221099/
119900.0,1,3,102275523,https://www.idealista.com/inmueble/102275523/
195000.0,2,3,97551524,https://www.idealista.com/inmueble/97551524/
325000.0,3,3,96791257,https://www.idealista.com/inmueble/96791257/
249000.0,2,5,103851543,https://www.idealista.com/inmueble/103851543/
735000.0,7,6,100784800,https://www.idealista.com/inmueble/100784800/
155000.0,1,5,101795010,https://www.idealista.com/inmueble/101795010/
209000.0,2,6,100273381,https://www.idealista.com/inmueble/100273381/
999990.0,15,14,98421547,https://www.idealista.com/inmueble/98421547/
275000.0,2,3,103806598,https://www.idealista.com/inmueble/103806598/
310000.0,3,6,103214309,https://www.idealista.com/inmueble/103214309/
399000.0,3,5,101529133,https://www.idealista.com/inmueble/101529133/
189900.0,2,7,100888514,https://www.idealista.com/inmueble/100888514/
220000.0,2,3,103800333,https://www.idealista.com/inmueble/103800333/
58600.0,1,2,98137475,https://www.idealista.com/inmueble/98137475/
299000.0,2,4,103298558,https://www.idealista.com/inmueble/103298558/
275000.0,2,5,40004982,https://www.idealista.com/inmueble/40004982/
190000.0,2,5,102942165,https://www.idealista.com/inmueble/102942165/
99000.0,2,2,98978960,https://www.idealista.com/inmueble/98978960/
285000.0,2,5,101219168,https://www.idealista.com/inmueble/101219168/
289000.0,3,3,99808247,https://www.idealista.com/inmueble/99808247/
219900.0,3,4,102620683,https://www.idealista.com/inmueble/102620683/
366000.0,2,2,103738842,https://www.idealista.com/obra-nueva/103738842/
390000.0,5,7,94492295,https://www.idealista.com/inmueble/94492295/
320000.0,5,6,103269849,https://www.idealista.com/inmueble/103269849/
63000.0,1,3,103039218,https://www.idealista.com/inmueble/103039218/
93000.0,1,3,103054528,https://www.idealista.com/inmueble/103054528/
270000.0,3,4,103053192,https://www.idealista.com/inmueble/103053192/
318500.0,3,4,99588050,https://www.idealista.com/inmueble/99588050/
269000.0,3,3,100347609,https://www.idealista.com/inmueble/100347609/
