precio,banos,habitaciones,propertyCode,url
113500,2,5,103273194,https://www.idealista.com/data/app/cid/M0RVUUVQb1lHeW1WWDd3UFlrZVdHZz09
145000,2,4,101986106,https://www.idealista.com/data/app/cid/WThyZmFkN2JHV2hFYlZ4bUxBYlVTdz09
145000,2,4,101812590,https://www.idealista.com/data/app/cid/KzF0ZVRxMlpUVXJUaVQ5WmJzT0ZmQT09
49900,1,3,102315114,https://www.idealista.com/data/app/cid/WFhBam8vcXNaVENPNTNnelBIb2RhUT09
80000,1,4,103871670,https://www.idealista.com/data/app/cid/TTZGM3NQRE9vZEE5VEdubnhqSlRNUT09
147000,3,3,98997177,https://www.idealista.com/data/app/cid/U2M1d1lvZnZCTURLMm5EaDNma3JaQT09
147000,4,4,100544221,https://www.idealista.com/data/app/cid/NGNvWmN1YU5Pd1lQYzRqeE5tU25zQT09
147000,3,3,100523764,https://www.idealista.com/data/app/cid/Q2MxWjFwQ1NRdjF5YmFITURZR254dz09
147000,2,3,103296139,https://www.idealista.com/data/app/cid/Nk5LK2hiNFdjdndQblE2ZElJMlRUdz09
235000,2,5,32596859,https://www.idealista.com/data/app/cid/QUJXWGI0ZmczQmQxZk9FL01aV09pUT09
