precio,banos,habitaciones,propertyCode,url
390000.0,1,3,103033035,https://www.idealista.com/inmueble/103033035/
475000.0,3,5,103521590,https://www.idealista.com/inmueble/103521590/
252000.0,2,3,100368629,https://www.idealista.com/inmueble/100368629/
162000.0,1,3,101064677,https://www.idealista.com/inmueble/101064677/
592500.0,4,4,96534254,https://www.idealista.com/inmueble/96534254/
630000.0,3,4,103367146,https://www.idealista.com/inmueble/103367146/
235000.0,1,0,103856630,https://www.idealista.com/inmueble/103856630/
585000.0,3,4,102869989,https://www.idealista.com/inmueble/102869989/
665000.0,4,5,103555452,https://www.idealista.com/inmueble/103555452/
1150000.0,7,9,82925370,https://www.idealista.com/inmueble/82925370/
549000.0,2,4,102825215,https://www.idealista.com/inmueble/102825215/
499000.0,3,4,96615196,https://www.idealista.com/inmueble/96615196/
480000.0,3,3,103590712,https://www.idealista.com/inmueble/103590712/
435000.0,3,4,99016358,https://www.idealista.com/inmueble/99016358/
599000.0,4,4,103840397,https://www.idealista.com/inmueble/103840397/
400000.0,3,4,99961489,https://www.idealista.com/inmueble/99961489/
1150000.0,4,5,102327702,https://www.idealista.com/inmueble/102327702/
184000.0,2,4,103832339,https://www.idealista.com/inmueble/103832339/
394750.0,2,3,102770719,https://www.idealista.com/obra-nueva/102770719/
194900.0,1,1,103444938,https://www.idealista.com/obra-nueva/103444938/
389750.0,2,3,101216921,https://www.idealista.com/obra-nueva/101216921/
239900.0,1,1,103444934,https://www.idealista.com/obra-nueva/103444934/
269900.0,2,2,103444946,https://www.idealista.com/obra-nueva/103444946/
219900.0,2,2,103444832,https://www.idealista.com/obra-nueva/103444832/
184900.0,1,1,103444653,https://www.idealista.com/obra-nueva/103444653/
393750.0,2,3,102851942,https://www.idealista.com/obra-nueva/102851942/
259900.0,2,2,103444903,https://www.idealista.com/obra-nueva/103444903/
370000.0,2,3,100492462,https://www.idealista.com/obra-nueva/100492462/
179000.0,1,2,103333827,https://www.idealista.com/inmueble/103333827/
392750.0,2,3,102851921,https://www.idealista.com/obra-nueva/102851921/
199900.0,1,1,103444676,https://www.idealista.com/obra-nueva/103444676/
592550.0,3,4,101217033,https://www.idealista.com/obra-nueva/101217033/
594550.0,3,4,101217059,https://www.idealista.com/obra-nueva/101217059/
596550.0,3,4,101217060,https://www.idealista.com/obra-nueva/101217060/
598550.0,3,4,101217080,https://www.idealista.com/obra-nueva/101217080/
596550.0,3,4,101217079,https://www.idealista.com/obra-nueva/101217079/
360000.0,2,4,103174065,https://www.idealista.com/inmueble/103174065/
470000.0,4,4,100804245,https://www.idealista.com/inmueble/100804245/
220000.0,2,3,101856267,https://www.idealista.com/inmueble/101856267/
220000.0,1,3,101861819,https://www.idealista.com/inmueble/101861819/
427000.0,3,3,101734404,https://www.idealista.com/obra-nueva/101734404/
437000.0,3,3,101738950,https://www.idealista.com/obra-nueva/101738950/
437000.0,3,3,101738915,https://www.idealista.com/obra-nueva/101738915/
149500.0,1,3,102167625,https://www.idealista.com/inmueble/102167625/
145000.0,1,3,103773733,https://www.idealista.com/inmueble/103773733/
515000.0,3,4,103841453,https://www.idealista.com/inmueble/103841453/
1900000.0,7,8,102805062,https://www.idealista.com/inmueble/102805062/
174000.0,1,2,103284200,https://www.idealista.com/inmueble/103284200/
195000.0,1,3,103629127,https://www.idealista.com/inmueble/103629127/
280000.0,1,4,102389004,https://www.idealista.com/inmueble/102389004/
