precio,banos,habitaciones,propertyCode,url
190000,2,3,99122687,https://www.idealista.com/data/app/cid/WGRKdElCcDM0MktxTjJ1UmJ4THRadz09
228000,2,4,88723692,https://www.idealista.com/data/app/cid/ZlgxZzVhcEVxU0V3UWs5Qk01V1JDQT09
190000,2,3,94788812,https://www.idealista.com/data/app/cid/d0FnK21JNVkwM0dOMDMwN0poYStYZz09
180000,2,3,1656969,https://www.idealista.com/data/app/cid/eHVLTDBPNi8wZEJPWjA1VFd2NGpwQT09
349000,3,4,100378115,https://www.idealista.com/data/app/cid/enJmMkJET3hwRDdyTEZ2cHBEWGhRUT09
193000,1,3,103802268,https://www.idealista.com/data/app/cid/YmYraEpKL1hTdjZtdVZlMHVQM25Vdz09
187000,1,3,102161430,https://www.idealista.com/data/app/cid/RW1IQ3hTTFM5Sk5FWmNFS1lKY1hmdz09
193000,1,3,102784284,https://www.idealista.com/data/app/cid/T3IxZThaVmorY2RiWkdBclZRS3JPQT09
174000,1,4,98903448,https://www.idealista.com/data/app/cid/dkc1Z1lmVndTY3A4K1BFMjVFb3lsQT09
193000,1,3,99816651,https://www.idealista.com/data/app/cid/dTNvdFhRYml3b1F5RmwvYjhoNk9aZz09
193000,1,3,103797354,https://www.idealista.com/data/app/cid/VUNYaXhFM0Y3V3paRjkwTWp6VlhQUT09
193000,1,3,102758607,https://www.idealista.com/data/app/cid/ZGdyTnhYeGNpZUcyaUYrKzhuZXY2QT09
243000,3,3,81596921,https://www.idealista.com/data/app/cid/R01xWThKSnRsNnFVeFF0VForKzNqdz09
195000,1,4,103867980,https://www.idealista.com/data/app/cid/RlNoekFyQXJtdlZPMjBiQjZOYW5rdz09
125000,4,3,101299035,https://www.idealista.com/data/app/cid/YzZ4QmVia1NseUowL1ZBdWcyMDFidz09
272000,2,4,102419770,https://www.idealista.com/data/app/cid/Tit1MUhGRzRHajYyVHN0Q1lLM1BjQT09
279900,2,4,87137810,https://www.idealista.com/data/app/cid/QytJS0pTRG1sWDhjL0sxWjAvcFl3QT09
135000,1,3,102715001,https://www.idealista.com/data/app/cid/YkRCeEtIRlJYR0VJM2UrM2tuTW9LQT09
130000,1,2,100491064,https://www.idealista.com/data/app/cid/VldMQ2hmVlJUTzlkbkZ3OUN0UDRwZz09
195000,2,3,30274034,https://www.idealista.com/data/app/cid/b1ZqZEF5SC9GalhPN0tLZit3YVBoZz09
195000,2,3,81886963,https://www.idealista.com/data/app/cid/MGRUanNnUDI0ck9qQzdxcEtwelo4dz09
160000,1,3,101613319,https://www.idealista.com/data/app/cid/RDI1UWxqUUZWWEtObGdreEZOaVRpQT09
190000,2,3,100396359,https://www.idealista.com/data/app/cid/TW1LQkVYSEt5UzJIV0dxQWVJcWRKUT09
269000,2,7,101572764,https://www.idealista.com/data/app/cid/WEpZcXNzbE9PMmdhaUlwTnF2a3VJZz09
192500,2,3,100779282,https://www.idealista.com/data/app/cid/Y01pYWlUUTdmcndrbjRmSFVkNHlhZz09
215000,3,4,93905849,https://www.idealista.com/data/app/cid/NHlYWHhZa2U5ckZTdnVESGRITWhJQT09
249000,2,5,95635177,https://www.idealista.com/data/app/cid/TTRUVmd1R1Y0aFZkRVpRU0FUYk5BQT09
215000,2,3,97479784,https://www.idealista.com/data/app/cid/ZnBkU0pURzJFNU9IdVhQdncvOERRQT09
189900,2,3,103308553,https://www.idealista.com/data/app/cid/a2Z6a1Y2L3dqV1o4d1VUTGIwVXlzUT09
99000,1,4,102244256,https://www.idealista.com/data/app/cid/T1FLRURDSFVJV1hyNTFvMUhwSHdrUT09
