precio,banos,habitaciones,propertyCode,url
1290000.0,12,10,97465670,https://www.idealista.com/inmueble/97465670/
190000.0,2,3,103877713,https://www.idealista.com/inmueble/103877713/
265000.0,3,4,103776356,https://www.idealista.com/inmueble/103776356/
335000.0,3,4,103628333,https://www.idealista.com/inmueble/103628333/
157000.0,2,3,103000123,https://www.idealista.com/inmueble/103000123/
265000.0,3,4,102389027,https://www.idealista.com/inmueble/102389027/
265000.0,8,20,85453967,https://www.idealista.com/inmueble/85453967/
130000.0,2,1,103522166,https://www.idealista.com/inmueble/103522166/
219900.0,2,3,103064917,https://www.idealista.com/inmueble/103064917/
150000.0,1,3,103832133,https://www.idealista.com/inmueble/103832133/
309000.0,3,4,102822770,https://www.idealista.com/inmueble/102822770/
255000.0,2,2,102939257,https://www.idealista.com/inmueble/102939257/
269000.0,3,4,103445440,https://www.idealista.com/inmueble/103445440/
219900.0,2,3,103067631,https://www.idealista.com/inmueble/103067631/
390000.0,2,2,103724020,https://www.idealista.com/obra-nueva/103724020/
279500.0,2,4,103258635,https://www.idealista.com/inmueble/103258635/
159000.0,2,3,103679794,https://www.idealista.com/inmueble/103679794/
222000.0,2,3,103146242,https://www.idealista.com/inmueble/103146242/
165000.0,1,3,100029612,https://www.idealista.com/inmueble/100029612/
135000.0,2,2,103794788,https://www.idealista.com/inmueble/103794788/
160000.0,2,2,103239013,https://www.idealista.com/inmueble/103239013/
255000.0,2,2,103677917,https://www.idealista.com/inmueble/103677917/
265000.0,3,4,102740325,https://www.idealista.com/inmueble/102740325/
129900.0,2,2,100981986,https://www.idealista.com/inmueble/100981986/
150000.0,2,2,103707445,https://www.idealista.com/inmueble/103707445/
177500.0,1,3,97382265,https://www.idealista.com/inmueble/97382265/
155000.0,1,2,102137250,https://www.idealista.com/inmueble/102137250/
350000.0,2,4,100828343,https://www.idealista.com/inmueble/100828343/
185000.0,5,12,100211011,https://www.idealista.com/inmueble/100211011/
