precio,banos,habitaciones,propertyCode,url
135000,1,3,102949565,https://www.idealista.com/data/app/cid/dXJTM1JVY2lMT1hqL2phNWJOU2JqUT09
87000,1,3,100151557,https://www.idealista.com/data/app/cid/cStPdnpUSk9mZVEzNVZQNTIyc0tNQT09
179000,2,3,102544717,https://www.idealista.com/data/app/cid/cFBaa0dUNjNTdG5ZbFpwYXpieE50UT09
148500,3,3,93239226,https://www.idealista.com/data/app/cid/ZjdNUHJZcUlFaG1FbTF2cEZHOW9DUT09
240000,3,4,102462833,https://www.idealista.com/data/app/cid/dTdvN3F1eCtESHpTb2ZGVTNERTNjZz09
195000,2,3,101119435,https://www.idealista.com/data/app/cid/QnRaMG93M1I5RnFqVmR1YVRSbkxtQT09
135000,3,3,99984973,https://www.idealista.com/data/app/cid/LzJzb3BjUmZYYkcwNTdrV3BTdElPQT09
235800,2,2,103075986,https://www.idealista.com/data/app/cid/ME9IcEw5TzZvYURnNmNaVEFmblBFdz09
135000,3,3,103089832,https://www.idealista.com/data/app/cid/cHFxL0xlQTlZa1UzM2o1bmpEWVRSdz09
149000,2,2,102425381,https://www.idealista.com/data/app/cid/ZXAwL3RDTHpOcXhQeFB6UnhLV1NEQT09
190000,1,2,102145601,https://www.idealista.com/data/app/cid/OWllUlllUmpRd1NZa3NNUE9PR3Zhdz09
298811,3,4,102931485,https://www.idealista.com/data/app/cid/cHJ5dmdBVEs0SFUyaXU0a2pTb3JBZz09
299000,3,3,102427607,https://www.idealista.com/data/app/cid/MU5GSzFKb1F4a2VTd3hBc2FuMnB0QT09
