precio,banos,habitaciones,propertyCode,url
178000.0,1,2,102189412,https://www.idealista.com/inmueble/102189412/
311000.0,2,3,103864037,https://www.idealista.com/inmueble/103864037/
399900.0,3,4,101411306,https://www.idealista.com/inmueble/101411306/
179900.0,1,3,98990117,https://www.idealista.com/inmueble/98990117/
480000.0,3,5,97793657,https://www.idealista.com/inmueble/97793657/
340000.0,3,4,103318045,https://www.idealista.com/inmueble/103318045/
325000.0,3,4,102854611,https://www.idealista.com/inmueble/102854611/
309000.0,2,4,103585189,https://www.idealista.com/inmueble/103585189/
203380.0,2,3,102751837,https://www.idealista.com/obra-nueva/102751837/
193260.0,2,3,102751836,https://www.idealista.com/obra-nueva/102751836/
210900.0,2,3,102751838,https://www.idealista.com/obra-nueva/102751838/
162160.0,1,1,101275154,https://www.idealista.com/obra-nueva/101275154/
158510.0,2,2,102751771,https://www.idealista.com/obra-nueva/102751771/
191990.0,2,2,102751788,https://www.idealista.com/obra-nueva/102751788/
146770.0,1,1,101275053,https://www.idealista.com/obra-nueva/101275053/
176180.0,2,2,102751754,https://www.idealista.com/obra-nueva/102751754/
299000.0,3,5,39761297,https://www.idealista.com/inmueble/39761297/
147000.0,2,2,100837531,https://www.idealista.com/inmueble/100837531/
136000.0,1,3,103836416,https://www.idealista.com/inmueble/103836416/
387895.0,3,4,100153712,https://www.idealista.com/inmueble/100153712/
159000.0,1,3,103711486,https://www.idealista.com/inmueble/103711486/
250000.0,1,4,102476216,https://www.idealista.com/inmueble/102476216/
360000.0,4,4,93448675,https://www.idealista.com/inmueble/93448675/
256000.0,3,3,103800557,https://www.idealista.com/inmueble/103800557/
359900.0,3,3,102614686,https://www.idealista.com/inmueble/102614686/
374000.0,3,4,102694529,https://www.idealista.com/inmueble/102694529/
175000.0,1,2,101532331,https://www.idealista.com/inmueble/101532331/
299900.0,3,3,102252520,https://www.idealista.com/inmueble/102252520/
139000.0,2,3,103733643,https://www.idealista.com/inmueble/103733643/
532300.0,2,3,98159425,https://www.idealista.com/inmueble/98159425/
158000.0,2,3,103407562,https://www.idealista.com/inmueble/103407562/
329000.0,3,3,103789537,https://www.idealista.com/inmueble/103789537/
191990.0,2,2,102869944,https://www.idealista.com/obra-nueva/102869944/
203380.0,2,3,102870016,https://www.idealista.com/obra-nueva/102870016/
146770.0,1,1,102869992,https://www.idealista.com/obra-nueva/102869992/
193260.0,2,3,102870007,https://www.idealista.com/obra-nueva/102870007/
158510.0,2,2,102869991,https://www.idealista.com/obra-nueva/102869991/
176180.0,2,2,102870006,https://www.idealista.com/obra-nueva/102870006/
162160.0,1,1,102869988,https://www.idealista.com/obra-nueva/102869988/
129900.0,2,2,103836510,https://www.idealista.com/inmueble/103836510/
224900.0,2,3,102455841,https://www.idealista.com/inmueble/102455841/
390000.0,3,4,103248878,https://www.idealista.com/inmueble/103248878/
138500.0,1,3,102689671,https://www.idealista.com/inmueble/102689671/
127000.0,1,3,103077534,https://www.idealista.com/inmueble/103077534/
259900.0,4,6,102036999,https://www.idealista.com/inmueble/102036999/
270000.0,2,3,102353651,https://www.idealista.com/inmueble/102353651/
189000.0,1,2,99262239,https://www.idealista.com/inmueble/99262239/
125000.0,1,1,103797053,https://www.idealista.com/inmueble/103797053/
130000.0,1,3,103018409,https://www.idealista.com/inmueble/103018409/
359900.0,4,4,103457894,https://www.idealista.com/inmueble/103457894/
