precio,banos,habitaciones,propertyCode,url
839000.0,4,5,103546300,https://www.idealista.com/inmueble/103546300/
839000.0,4,5,103377914,https://www.idealista.com/inmueble/103377914/
1400000.0,7,7,102840567,https://www.idealista.com/inmueble/102840567/
275000.0,1,2,101733582,https://www.idealista.com/inmueble/101733582/
441000.0,2,3,102896271,https://www.idealista.com/obra-nueva/102896271/
449000.0,2,3,103055166,https://www.idealista.com/obra-nueva/103055166/
419000.0,2,2,102896297,https://www.idealista.com/obra-nueva/102896297/
415000.0,2,3,103055226,https://www.idealista.com/obra-nueva/103055226/
424000.0,2,3,102896278,https://www.idealista.com/obra-nueva/102896278/
459000.0,2,3,102746110,https://www.idealista.com/obra-nueva/102746110/
615000.0,3,4,101537872,https://www.idealista.com/inmueble/101537872/
585000.0,2,3,102253030,https://www.idealista.com/inmueble/102253030/
519000.0,2,3,102971400,https://www.idealista.com/inmueble/102971400/
369000.0,2,3,101323304,https://www.idealista.com/inmueble/101323304/
380000.0,2,3,102751146,https://www.idealista.com/inmueble/102751146/
269000.0,2,2,102848976,https://www.idealista.com/inmueble/102848976/
870000.0,4,5,97165176,https://www.idealista.com/inmueble/97165176/
600800.0,3,3,103863394,https://www.idealista.com/inmueble/103863394/
840000.0,4,4,103175243,https://www.idealista.com/inmueble/103175243/
370000.0,2,4,103780277,https://www.idealista.com/inmueble/103780277/
300000.0,1,2,103855490,https://www.idealista.com/inmueble/103855490/
339000.0,2,2,103844270,https://www.idealista.com/inmueble/103844270/
511000.0,2,3,103696384,https://www.idealista.com/obra-nueva/103696384/
454500.0,2,2,103696401,https://www.idealista.com/obra-nueva/103696401/
519000.0,2,3,103696402,https://www.idealista.com/obra-nueva/103696402/
466000.0,2,3,103696403,https://www.idealista.com/obra-nueva/103696403/
619900.0,3,4,103824839,https://www.idealista.com/inmueble/103824839/
319000.0,1,2,103824737,https://www.idealista.com/inmueble/103824737/
720500.0,2,4,103208821,https://www.idealista.com/obra-nueva/103208821/
474500.0,2,2,103208782,https://www.idealista.com/obra-nueva/103208782/
434000.0,2,2,103208846,https://www.idealista.com/obra-nueva/103208846/
521000.0,2,3,103208784,https://www.idealista.com/obra-nueva/103208784/
631500.0,2,4,101705151,https://www.idealista.com/obra-nueva/101705151/
434000.0,2,2,103208848,https://www.idealista.com/obra-nueva/103208848/
390000.0,2,4,103663746,https://www.idealista.com/inmueble/103663746/
519000.0,2,4,103328330,https://www.idealista.com/inmueble/103328330/
335000.0,1,2,103770261,https://www.idealista.com/inmueble/103770261/
565000.0,4,5,103796583,https://www.idealista.com/inmueble/103796583/
490000.0,2,3,103832514,https://www.idealista.com/inmueble/103832514/
489000.0,2,3,100750059,https://www.idealista.com/obra-nueva/100750059/
512000.0,2,3,98783649,https://www.idealista.com/obra-nueva/98783649/
245000.0,1,0,103334318,https://www.idealista.com/inmueble/103334318/
463000.0,2,3,101378983,https://www.idealista.com/obra-nueva/101378983/
510000.0,2,3,100750128,https://www.idealista.com/obra-nueva/100750128/
1750000.0,4,4,103437921,https://www.idealista.com/inmueble/103437921/
485000.0,2,4,103658358,https://www.idealista.com/inmueble/103658358/
437000.0,2,3,103682065,https://www.idealista.com/inmueble/103682065/
643000.0,2,4,99770122,https://www.idealista.com/obra-nueva/99770122/
488000.0,2,3,99770118,https://www.idealista.com/obra-nueva/99770118/
570800.0,3,3,102568564,https://www.idealista.com/inmueble/102568564/
