precio,banos,habitaciones,propertyCode,url
400000,3,6,103647290,https://www.idealista.com/data/app/cid/RmQ1YklnR052OE1KcXJ4ME9EaFh0QT09
260000,3,5,102463730,https://www.idealista.com/data/app/cid/TjFSTEJoQ1RFRGFsdmRUdXkyYkJidz09
140000,2,4,97650028,https://www.idealista.com/data/app/cid/alhFY2szN2lsbjMyZ3hSSlU1WWtXUT09
195000,1,5,98371700,https://www.idealista.com/data/app/cid/Zis3VFp3RmFvclFIdjl1SDE2NkY3dz09
150000,2,3,101967884,https://www.idealista.com/data/app/cid/M2Z5aWozS3BmMTF1OGZ5NTdlMkQ4UT09
150000,2,3,95294292,https://www.idealista.com/data/app/cid/Nmw0eXZqbE1qYysybXp2M3BQYUV5UT09
195000,1,5,102088840,https://www.idealista.com/data/app/cid/Zk40VmNCb2pKSDF2N1l6ZjdtQ0FJUT09
268000,3,5,384247,https://www.idealista.com/data/app/cid/YWhBV3JHd0lHZWlUc0Y5VjJRNE9QQT09
159900,1,3,97960021,https://www.idealista.com/data/app/cid/NnBBNlRGQU5qa29rbjVSQllOeWhLQT09
220000,3,4,95288952,https://www.idealista.com/data/app/cid/RlN6UnN3bjg0dFhCeDlnS1o1b3ZwUT09
240000,3,4,95307710,https://www.idealista.com/data/app/cid/WFZ2VitLVzErZjhoT0MvRHpnNDN2Zz09
220000,3,4,103864786,https://www.idealista.com/data/app/cid/dnpWQjU3eDc1ZjNkbG5iTkd2MWg4QT09
249000,2,5,102857235,https://www.idealista.com/data/app/cid/aU5kUDQ1WTgvdWY2dDJWWTdIdDJHZz09
195000,2,3,101827182,https://www.idealista.com/data/app/cid/OER0TzFBR3l3eUhvaHF1cnF4MThHUT09
150000,2,3,98979288,https://www.idealista.com/data/app/cid/c1l6ZjlLc2hhU29HYnYxRWRGMXB0QT09
220000,3,4,98910921,https://www.idealista.com/data/app/cid/Wld0bGplcENnVFpKY1VvZWVXdXk5Zz09
290000,3,4,103777744,https://www.idealista.com/data/app/cid/MW9xN25TOVRYMGdIQWJjNktKZDhMZz09
238000,3,5,103877257,https://www.idealista.com/data/app/cid/c1hMWHV6UWVGc0x2aXRvN3pNM0E1dz09
129000,2,2,101799795,https://www.idealista.com/data/app/cid/d2ZTWlp2WTJOQUFTS1Z3VVBHT09mQT09
260000,3,5,100563937,https://www.idealista.com/data/app/cid/YlRlZlNLMGxKZjBYOW0zWVdLcTB2dz09
223000,2,4,101334301,https://www.idealista.com/data/app/cid/UElvRGhnVGF4L3dTcVRTYTI0S1J3UT09
225000,1,4,81224369,https://www.idealista.com/data/app/cid/SktmUWlFRzR4RWVSNGtUZktGVzZ2dz09
265000,2,4,102223092,https://www.idealista.com/data/app/cid/MW1lNHExOFBweXpaRGxNVGtFTTh3QT09
187000,2,3,100037239,https://www.idealista.com/data/app/cid/R2dBVW4vemtiM2JKb3poVVNsK0luUT09
285000,2,3,100640790,https://www.idealista.com/data/app/cid/ZE5TZ3Mxc3FBWlVNcWthb0QvMTBQdz09
285000,3,4,99011610,https://www.idealista.com/data/app/cid/d0J5UnRCV1dONnhNVzA5QmZmbERHQT09
