precio,banos,habitaciones,propertyCode,url
339500.0,2,3,102785651,https://www.idealista.com/inmueble/102785651/
232000.0,2,3,103452528,https://www.idealista.com/inmueble/103452528/
399900.0,3,4,102739031,https://www.idealista.com/inmueble/102739031/
349900.0,3,5,103353034,https://www.idealista.com/inmueble/103353034/
215000.0,2,3,101763421,https://www.idealista.com/inmueble/101763421/
324900.0,2,3,100118149,https://www.idealista.com/obra-nueva/100118149/
259900.0,2,2,97270788,https://www.idealista.com/obra-nueva/97270788/
265400.0,2,2,97270789,https://www.idealista.com/obra-nueva/97270789/
349900.0,2,3,97849744,https://www.idealista.com/obra-nueva/97849744/
261900.0,2,2,97270783,https://www.idealista.com/obra-nueva/97270783/
393800.0,2,4,95931428,https://www.idealista.com/obra-nueva/95931428/
430000.0,3,5,103851603,https://www.idealista.com/inmueble/103851603/
245000.0,2,2,103866441,https://www.idealista.com/inmueble/103866441/
339900.0,2,4,103425765,https://www.idealista.com/inmueble/103425765/
286000.0,2,3,103752492,https://www.idealista.com/obra-nueva/103752492/
217000.0,2,3,102857907,https://www.idealista.com/inmueble/102857907/
320000.0,3,3,103165103,https://www.idealista.com/inmueble/103165103/
341420.0,3,4,97857926,https://www.idealista.com/inmueble/97857926/
341420.0,2,3,103869980,https://www.idealista.com/inmueble/103869980/
338000.0,3,5,103788862,https://www.idealista.com/inmueble/103788862/
216000.0,2,2,103556414,https://www.idealista.com/inmueble/103556414/
375000.0,3,4,103461488,https://www.idealista.com/inmueble/103461488/
359000.0,3,3,100296649,https://www.idealista.com/inmueble/100296649/
242000.0,2,2,103855347,https://www.idealista.com/obra-nueva/103855347/
265000.0,2,2,103855343,https://www.idealista.com/obra-nueva/103855343/
215000.0,2,2,103855335,https://www.idealista.com/obra-nueva/103855335/
170000.0,1,2,103867101,https://www.idealista.com/inmueble/103867101/
285000.0,2,2,103855344,https://www.idealista.com/obra-nueva/103855344/
165000.0,1,2,103864686,https://www.idealista.com/inmueble/103864686/
178000.0,1,3,103854709,https://www.idealista.com/inmueble/103854709/
185500.0,2,2,103854848,https://www.idealista.com/inmueble/103854848/
135000.0,1,2,101014203,https://www.idealista.com/inmueble/101014203/
265000.0,2,3,103876813,https://www.idealista.com/inmueble/103876813/
298000.0,3,6,103850783,https://www.idealista.com/inmueble/103850783/
400000.0,2,5,103854637,https://www.idealista.com/inmueble/103854637/
498000.0,3,5,103861457,https://www.idealista.com/inmueble/103861457/
499999.0,4,5,90102000,https://www.idealista.com/inmueble/90102000/
400000.0,3,5,103646007,https://www.idealista.com/inmueble/103646007/
399000.0,3,5,103130945,https://www.idealista.com/inmueble/103130945/
340000.0,2,5,99242047,https://www.idealista.com/inmueble/99242047/
170000.0,2,3,102462578,https://www.idealista.com/inmueble/102462578/
360000.0,3,5,101739294,https://www.idealista.com/inmueble/101739294/
341420.0,3,4,103584328,https://www.idealista.com/inmueble/103584328/
190000.0,3,2,99838387,https://www.idealista.com/inmueble/99838387/
239900.0,2,4,103426588,https://www.idealista.com/inmueble/103426588/
245000.0,2,3,103817838,https://www.idealista.com/inmueble/103817838/
210000.0,2,3,103593418,https://www.idealista.com/inmueble/103593418/
247000.0,2,3,99415006,https://www.idealista.com/obra-nueva/99415006/
440000.0,4,5,92956181,https://www.idealista.com/inmueble/92956181/
212000.0,1,4,89881797,https://www.idealista.com/inmueble/89881797/
