precio,banos,habitaciones,propertyCode,url
540000.0,5,5,102616324,https://www.idealista.com/inmueble/102616324/
469000.0,5,5,98598021,https://www.idealista.com/inmueble/98598021/
210000.0,1,3,103445489,https://www.idealista.com/inmueble/103445489/
365000.0,2,3,102835673,https://www.idealista.com/inmueble/102835673/
171000.0,2,3,101411826,https://www.idealista.com/inmueble/101411826/
292500.0,2,3,102682686,https://www.idealista.com/inmueble/102682686/
535000.0,4,4,103845883,https://www.idealista.com/inmueble/103845883/
269900.0,1,3,99955831,https://www.idealista.com/inmueble/99955831/
6363000.0,7,4,102266282,https://www.idealista.com/inmueble/102266282/
319999.0,2,3,103607368,https://www.idealista.com/inmueble/103607368/
375000.0,4,4,103632750,https://www.idealista.com/inmueble/103632750/
338290.0,2,3,101950119,https://www.idealista.com/inmueble/101950119/
171000.0,2,3,101490693,https://www.idealista.com/inmueble/101490693/
439000.0,3,4,98352842,https://www.idealista.com/inmueble/98352842/
240000.0,2,3,98219329,https://www.idealista.com/obra-nueva/98219329/
245000.0,2,3,98219912,https://www.idealista.com/obra-nueva/98219912/
240000.0,2,3,98219531,https://www.idealista.com/obra-nueva/98219531/
599990.0,5,4,103265980,https://www.idealista.com/inmueble/103265980/
152916.0,2,3,103783451,https://www.idealista.com/inmueble/103783451/
520000.0,3,4,102831706,https://www.idealista.com/inmueble/102831706/
215000.0,2,3,103645177,https://www.idealista.com/inmueble/103645177/
800000.0,4,6,91921278,https://www.idealista.com/inmueble/91921278/
329000.0,3,4,103516934,https://www.idealista.com/inmueble/103516934/
165000.0,2,2,103696257,https://www.idealista.com/inmueble/103696257/
145000.0,2,1,103695515,https://www.idealista.com/inmueble/103695515/
790000.0,11,10,103378308,https://www.idealista.com/inmueble/103378308/
185000.0,2,3,103659134,https://www.idealista.com/inmueble/103659134/
503000.0,5,6,102705223,https://www.idealista.com/inmueble/102705223/
171000.0,2,3,103857145,https://www.idealista.com/inmueble/103857145/
368000.0,4,5,103231107,https://www.idealista.com/inmueble/103231107/
469000.0,4,4,101328525,https://www.idealista.com/inmueble/101328525/
375000.0,4,4,102897970,https://www.idealista.com/inmueble/102897970/
390000.0,2,4,103784716,https://www.idealista.com/inmueble/103784716/
338290.0,2,3,102352965,https://www.idealista.com/inmueble/102352965/
