precio,banos,habitaciones,propertyCode,url
128000,2,3,103458074,https://www.idealista.com/data/app/cid/ekdXZ2JkZVA5dkxLcEFWbUp2b2tTQT09
119000,2,2,101232188,https://www.idealista.com/data/app/cid/R1MydVFDblZEV2gwekRNUFJIT1BWZz09
220000,3,3,36405775,https://www.idealista.com/data/app/cid/UGN3MGI0WTFhZERPeWxXNi9ucTUxQT09
199000,3,3,100435747,https://www.idealista.com/data/app/cid/L3FRcTVFRndtVlJJRDhtZWZxVWY2Zz09
260000,3,3,100161838,https://www.idealista.com/data/app/cid/Z1lkeW5lQ3A0VlhSYWZLamRlUndqUT09
205000,3,3,99370182,https://www.idealista.com/data/app/cid/THVHNDZ4VjNrNTRBeGtDZzcyejVmUT09
200000,3,3,103392689,https://www.idealista.com/data/app/cid/U0tWSndFWEsxZ214cWVhalZ3elMvdz09
315000,3,4,98262140,https://www.idealista.com/data/app/cid/UmcxYXVtZ0lUenNEYjBnZ3lPRFJhZz09
270000,3,4,103185236,https://www.idealista.com/data/app/cid/UzMwRllMRTFZMTlrenAzQmxXNVFxdz09
250000,4,3,101245816,https://www.idealista.com/data/app/cid/OG93bjhydnoxZVlXREh0NW9KcmQyQT09
269000,2,3,102801085,https://www.idealista.com/data/app/cid/MnVUQ0g3eDRDa3cySmZvV205aTlZdz09
349000,3,4,102793833,https://www.idealista.com/data/app/cid/S0lFVDJMb0VTYVpYUEJBd2lqWWJqZz09
