precio,banos,habitaciones,propertyCode,url
139000,2,3,101922416,https://www.idealista.com/data/app/cid/L3hHbXJseGl1dG5PT0hwejljVW1kZz09
139000,2,3,96920516,https://www.idealista.com/data/app/cid/eVBQdFl0NVdNVG1ENXdhSUl2ZVFPdz09
139000,2,3,97779658,https://www.idealista.com/data/app/cid/amoxTURXb3Jtb0QzNWMzRmh6T2hkdz09
139000,2,2,103653300,https://www.idealista.com/data/app/cid/dUtjalk5WUlNRHdWei9LcWV2eVYydz09
209990,3,4,103369310,https://www.idealista.com/data/app/cid/QTd6T0VmeUlBMjJGTVFVK3FwR0ppZz09
115900,1,3,102344430,https://www.idealista.com/data/app/cid/dXdmZXdHMzlubzNtTnlCTlN4M2pndz09
237000,4,4,101922472,https://www.idealista.com/data/app/cid/WG1OU2phN29Qb0Z1TEk3eXJtVFROUT09
255000,1,3,95623133,https://www.idealista.com/data/app/cid/ZkVNUHoyazZhL2FKZldCWjdta1JWQT09
219995,2,5,102365812,https://www.idealista.com/data/app/cid/TmVjazlQNmFyNEVCVWNaOWFKVGRRUT09
219995,5,5,102589300,https://www.idealista.com/data/app/cid/MGZuYmVoclN3NjBhaXhTQXNwSjNrdz09
244990,2,5,102267029,https://www.idealista.com/data/app/cid/TWdJMkpzcUxqTVl4cXZqUkIzNXNOQT09
264000,1,3,101922546,https://www.idealista.com/data/app/cid/cnRPWlk1ZDFzOU5CblNyS1h1RU5Ldz09
219995,2,5,102462189,https://www.idealista.com/data/app/cid/Ryt0K2d3TDFxTFdpNDR5ZlY5MFJiUT09
255000,1,3,95623065,https://www.idealista.com/data/app/cid/eGxLT3hPTFlUZXRpOS8ySmZncGRlUT09
219995,2,5,102302838,https://www.idealista.com/data/app/cid/SkxSUmN1S2haZEc0WXQrZG5zNTh5QT09
244990,2,5,102142767,https://www.idealista.com/data/app/cid/OGhoYTE4TWVqbWpFMW5tbndwNG52UT09
219000,5,5,103001395,https://www.idealista.com/data/app/cid/dG1PbWJLY3l3NnMydW1Dd0pCaW05Zz09
219995,5,5,102785637,https://www.idealista.com/data/app/cid/VUZrRVBQY1luZE5NMGdGUHhlb3JOZz09
