precio,banos,habitaciones,propertyCode,url
199990.0,3,4,103169275,https://www.idealista.com/inmueble/103169275/
240000.0,4,3,101698326,https://www.idealista.com/inmueble/101698326/
230000.0,2,3,103287817,https://www.idealista.com/inmueble/103287817/
364000.0,4,5,100451960,https://www.idealista.com/inmueble/100451960/
289000.0,2,5,103873963,https://www.idealista.com/inmueble/103873963/
240000.0,2,4,103566708,https://www.idealista.com/inmueble/103566708/
205000.0,2,4,103491233,https://www.idealista.com/inmueble/103491233/
112000.0,2,5,100558758,https://www.idealista.com/inmueble/100558758/
180000.0,1,4,103196527,https://www.idealista.com/inmueble/103196527/
364000.0,4,5,100368309,https://www.idealista.com/inmueble/100368309/
388300.0,5,4,103810809,https://www.idealista.com/inmueble/103810809/
238000.0,3,5,101589890,https://www.idealista.com/inmueble/101589890/
124000.0,2,5,103179010,https://www.idealista.com/inmueble/103179010/
175000.0,2,4,103788947,https://www.idealista.com/inmueble/103788947/
257000.0,4,3,103767179,https://www.idealista.com/inmueble/103767179/
299900.0,3,5,102308747,https://www.idealista.com/inmueble/102308747/
388300.0,2,6,103538834,https://www.idealista.com/inmueble/103538834/
99000.0,2,4,102299243,https://www.idealista.com/inmueble/102299243/
112000.0,2,5,98492005,https://www.idealista.com/inmueble/98492005/
99000.0,1,3,102262883,https://www.idealista.com/inmueble/102262883/
149500.0,2,3,102957635,https://www.idealista.com/inmueble/102957635/
200000.0,2,4,102576760,https://www.idealista.com/inmueble/102576760/
388300.0,4,5,102978611,https://www.idealista.com/inmueble/102978611/
108000.0,2,3,103538535,https://www.idealista.com/inmueble/103538535/
208000.0,4,4,103818018,https://www.idealista.com/inmueble/103818018/
355000.0,4,6,102644402,https://www.idealista.com/inmueble/102644402/
356000.0,4,5,103378813,https://www.idealista.com/inmueble/103378813/
220000.0,3,4,95185129,https://www.idealista.com/inmueble/95185129/
124000.0,2,5,98676881,https://www.idealista.com/inmueble/98676881/
388300.0,5,4,100802138,https://www.idealista.com/inmueble/100802138/
135000.0,1,4,102520107,https://www.idealista.com/inmueble/102520107/
99000.0,2,3,102410071,https://www.idealista.com/inmueble/102410071/
195000.0,2,4,102308302,https://www.idealista.com/inmueble/102308302/
159900.0,2,3,101931165,https://www.idealista.com/inmueble/101931165/
165000.0,1,3,103445775,https://www.idealista.com/inmueble/103445775/
114000.0,1,3,101501173,https://www.idealista.com/inmueble/101501173/
99900.0,1,3,103818116,https://www.idealista.com/inmueble/103818116/
388300.0,2,3,100465347,https://www.idealista.com/inmueble/100465347/
200000.0,1,3,101403406,https://www.idealista.com/inmueble/101403406/
108000.0,1,3,99770695,https://www.idealista.com/inmueble/99770695/
179900.0,2,4,102206353,https://www.idealista.com/inmueble/102206353/
226000.0,3,3,101616958,https://www.idealista.com/inmueble/101616958/
305000.0,2,3,98603235,https://www.idealista.com/inmueble/98603235/
143000.0,1,2,102894962,https://www.idealista.com/inmueble/102894962/
84000.0,2,3,102875287,https://www.idealista.com/inmueble/102875287/
170000.0,1,3,103632597,https://www.idealista.com/inmueble/103632597/
119000.0,2,3,101616890,https://www.idealista.com/inmueble/101616890/
195000.0,3,4,103345055,https://www.idealista.com/inmueble/103345055/
214900.0,2,3,102737711,https://www.idealista.com/inmueble/102737711/
139900.0,2,3,103143534,https://www.idealista.com/inmueble/103143534/
