precio,banos,habitaciones,propertyCode,url
220000,3,3,28739622,https://www.idealista.com/data/app/cid/NCtLUG1lQmZxeHNrczAvTTZYUy9pZz09
173200,3,4,101251176,https://www.idealista.com/data/app/cid/aWRnejZIZ2tqS3h0M0Y5M2JJU1NYdz09
320000,3,5,1742785,https://www.idealista.com/data/app/cid/VXdid3AvUkJ5dzgyWHJldlFGNmxuZz09
240000,3,3,100946984,https://www.idealista.com/data/app/cid/bU9jTE1FYWpkMHZjSjRhNGQwMVhkQT09
305000,2,3,103315145,https://www.idealista.com/data/app/cid/Y1hzZk5jMmpBZ3d1QXBmYzBsNlRKUT09
380000,3,5,102353797,https://www.idealista.com/data/app/cid/M29nR2ZuYUhWdUJaRk5hVFdJVGVPQT09
285000,3,4,102111333,https://www.idealista.com/data/app/cid/NVB2RUhzN1ZFcXhHZkk1dVNqdTlJUT09
350000,3,4,96870467,https://www.idealista.com/data/app/cid/TkwxQkU2dTlHSytpcmZZWGVVcEtjUT09
380000,3,5,102356631,https://www.idealista.com/data/app/cid/OHpmaGMrQlVqQ0JuS0FLcXYwZlBYUT09
239900,3,4,102310530,https://www.idealista.com/data/app/cid/MVl2YnZ3NzhMS1dkTllVVzB5MjlVZz09
147200,1,1,103403999,https://www.idealista.com/data/app/cid/ZTdXQThyOFNnV2ZzdVBxVHhQZGJXZz09
147200,1,1,103846817,https://www.idealista.com/data/app/cid/OUZhTlpTSk9pb1Y5S250c3NRdGpmZz09
147200,1,1,103068417,https://www.idealista.com/data/app/cid/RWpjN1pCaU9ncHFGOUVYTnhOYmxtZz09
299900,3,5,102171993,https://www.idealista.com/data/app/cid/d0FEdWJxVUZZODVUL0c5RkJ1aE5qZz09
360000,3,4,98150838,https://www.idealista.com/data/app/cid/bXBXZnFqUmFOazdpN3FkZWh1cnJUdz09
270000,2,4,91012398,https://www.idealista.com/data/app/cid/MTFya2Y1Vng3Ukk5blpaK1R2cW1uUT09
340000,3,4,102769341,https://www.idealista.com/data/app/cid/WlVzYmVHMldxUWVNYTVWQkNselpKUT09
289000,3,4,101706725,https://www.idealista.com/data/app/cid/UDViVkh5Um9qZGh5USt1MmZMaWRvdz09
435000,3,4,102874318,https://www.idealista.com/data/app/cid/VWduY0tYUDF4L2k1dkttd2pzR3VZQT09
259900,4,4,101844938,https://www.idealista.com/data/app/cid/ZW9wWTRHcXZHQ3hzK0NmYUttamF6Zz09
319900,3,3,102338997,https://www.idealista.com/data/app/cid/cDdNOXY5bkM4VTd2U0N6Mk1nN04wdz09
319900,3,3,102039135,https://www.idealista.com/data/app/cid/aE1nQnNWTzcyanNLb3l6RWdCMFlwUT09
236900,3,3,102228631,https://www.idealista.com/data/app/cid/aU1meFBvZkQ0dzFTWkRHRzlvRHF0UT09
236900,3,3,101631260,https://www.idealista.com/data/app/cid/ZWhvTm9XS2dDL2hSR24ySFZCWnp4Zz09
