precio,banos,habitaciones,propertyCode,url
670000.0,4,4,100156822,https://www.idealista.com/inmueble/100156822/
449900.0,3,5,102108314,https://www.idealista.com/inmueble/102108314/
660000.0,3,4,103183899,https://www.idealista.com/inmueble/103183899/
719000.0,4,4,103093001,https://www.idealista.com/inmueble/103093001/
1180000.0,3,4,101822382,https://www.idealista.com/inmueble/101822382/
439000.0,3,5,103681294,https://www.idealista.com/inmueble/103681294/
192000.0,1,1,103698856,https://www.idealista.com/inmueble/103698856/
449900.0,3,3,103413652,https://www.idealista.com/inmueble/103413652/
449000.0,3,4,102753593,https://www.idealista.com/inmueble/102753593/
285000.0,2,3,101787669,https://www.idealista.com/inmueble/101787669/
449000.0,3,4,103788907,https://www.idealista.com/inmueble/103788907/
1200000.0,5,4,103719372,https://www.idealista.com/inmueble/103719372/
719000.0,3,4,100704098,https://www.idealista.com/inmueble/100704098/
347500.0,2,2,103464893,https://www.idealista.com/inmueble/103464893/
379000.0,2,6,99076802,https://www.idealista.com/inmueble/99076802/
734900.0,4,4,103160842,https://www.idealista.com/inmueble/103160842/
540000.0,3,3,102986467,https://www.idealista.com/inmueble/102986467/
169000.0,1,1,101933974,https://www.idealista.com/inmueble/101933974/
780000.0,4,4,103748609,https://www.idealista.com/inmueble/103748609/
264900.0,2,3,101072891,https://www.idealista.com/inmueble/101072891/
695000.0,5,4,98170201,https://www.idealista.com/obra-nueva/98170201/
325000.0,2,2,103501803,https://www.idealista.com/inmueble/103501803/
499000.0,4,4,103736909,https://www.idealista.com/inmueble/103736909/
285000.0,3,3,101940386,https://www.idealista.com/inmueble/101940386/
1180000.0,1,5,101791844,https://www.idealista.com/inmueble/101791844/
860000.0,4,4,103692196,https://www.idealista.com/obra-nueva/103692196/
560000.0,3,3,103376718,https://www.idealista.com/obra-nueva/103376718/
499000.0,4,4,103768642,https://www.idealista.com/inmueble/103768642/
390000.0,3,3,103809911,https://www.idealista.com/inmueble/103809911/
439990.0,2,4,103575487,https://www.idealista.com/inmueble/103575487/
545000.0,3,3,98346544,https://www.idealista.com/obra-nueva/98346544/
560000.0,3,3,100816260,https://www.idealista.com/obra-nueva/100816260/
350000.0,2,3,103322059,https://www.idealista.com/inmueble/103322059/
530000.0,2,3,97230376,https://www.idealista.com/obra-nueva/97230376/
510000.0,2,3,97230351,https://www.idealista.com/obra-nueva/97230351/
432277.0,3,3,103754266,https://www.idealista.com/obra-nueva/103754266/
1180000.0,5,5,101496797,https://www.idealista.com/inmueble/101496797/
268000.0,1,2,103758043,https://www.idealista.com/inmueble/103758043/
538000.0,2,3,101664885,https://www.idealista.com/obra-nueva/101664885/
540000.0,2,3,101590264,https://www.idealista.com/obra-nueva/101590264/
535000.0,2,3,101590316,https://www.idealista.com/obra-nueva/101590316/
399900.0,4,3,102995701,https://www.idealista.com/inmueble/102995701/
535000.0,2,3,101590287,https://www.idealista.com/obra-nueva/101590287/
538000.0,2,3,101590275,https://www.idealista.com/obra-nueva/101590275/
418777.0,3,3,102554645,https://www.idealista.com/obra-nueva/102554645/
401000.0,3,3,103243589,https://www.idealista.com/obra-nueva/103243589/
510000.0,4,5,103093111,https://www.idealista.com/inmueble/103093111/
700000.0,4,4,91475491,https://www.idealista.com/obra-nueva/91475491/
292400.0,2,3,102882506,https://www.idealista.com/obra-nueva/102882506/
351956.0,2,3,102554538,https://www.idealista.com/obra-nueva/102554538/
