precio,banos,habitaciones,propertyCode,url
214000,3,3,95682220,https://www.idealista.com/data/app/cid/OGRyNzBZb0R5N1Focm9Sb1Y0U0t5Zz09
214000,3,4,100225253,https://www.idealista.com/data/app/cid/bjhOQkIyV1ozQ1cvNTJ0WTVzU2dzQT09
214000,3,3,96002911,https://www.idealista.com/data/app/cid/cncwcElwTktLYnYzbzB5cXVZR2c0dz09
225000,3,4,98541336,https://www.idealista.com/data/app/cid/YnVobHpqV3hQR2ZSZW9KNjVyTzBvZz09
240000,3,4,102409938,https://www.idealista.com/data/app/cid/Sk55dXVZY0x4WWp1M0RkbGtURlo3QT09
269900,3,3,101299342,https://www.idealista.com/data/app/cid/azZwMElWSlRvLzBQYWg3UEpKQm0wQT09
140000,2,3,102942488,https://www.idealista.com/data/app/cid/cm8yWDVJYWxLcjVCRnFoZW81NExMQT09
249000,3,3,100836595,https://www.idealista.com/data/app/cid/djRHc0F3Zml3cEkxQXFUU0lpNmF1dz09
140000,2,4,103727028,https://www.idealista.com/data/app/cid/eWRYclM1d1BNSDBqSU0zQk4xa0d3Zz09
270000,3,3,102580586,https://www.idealista.com/data/app/cid/VDd0SCsydzlDY1BkSWlGbm5HZExadz09
255000,3,3,101795383,https://www.idealista.com/data/app/cid/dThXdTUzbnFTNEhvV0g3b2trMWVsZz09
270000,3,3,103457681,https://www.idealista.com/data/app/cid/bHpvNERkK3NwaG5sZnQ0OFdPWUNEUT09
270000,3,3,103376592,https://www.idealista.com/data/app/cid/RFdmVzA1anNSR0VaRS9HYmVVT2k0QT09
249000,3,3,101814427,https://www.idealista.com/data/app/cid/TVBHZUZOa0xVR3NLSnd2d09HNUg5Zz09
320000,3,3,100210760,https://www.idealista.com/data/app/cid/SEVvYTFzdHJlKzJyTWVCWmpsZGVaQT09
360000,3,3,100210758,https://www.idealista.com/data/app/cid/d05zbmtEejlwdVZwQ1VpampRVW5Ndz09
340000,3,3,100210692,https://www.idealista.com/data/app/cid/eVVsYnlneTcxeWNXc0k5dk5pQ0lmQT09
310000,3,3,100210734,https://www.idealista.com/data/app/cid/Qm1XQlphazBmc1JOQ1kzR2RVOVdvUT09
310000,3,3,103697694,https://www.idealista.com/data/app/cid/N2R2YS9PSWhjQUIwNHMyK3ZhcWt6UT09
310000,3,3,103097284,https://www.idealista.com/data/app/cid/RWJ0QmhmVG5Zd2RHSzJ3enBpWnhwQT09
239000,2,4,103129383,https://www.idealista.com/data/app/cid/SzFUTEtOK3RBNHI4U2xwQjBhT1RTZz09
259000,3,3,101736498,https://www.idealista.com/data/app/cid/OFdFNGdXUTB5UElEVlo4T3RUdC9TZz09
214000,3,3,102079023,https://www.idealista.com/data/app/cid/ZWtQaTFNaGFCQzBzd2d4d0JEQ3R3UT09
149000,2,4,102725982,https://www.idealista.com/data/app/cid/bHdDZUFsSlFUYmRuM1ErN2RGSmNoQT09
200000,1,3,102730248,https://www.idealista.com/data/app/cid/cnlGUXZoVjRNdm9PdnBENEFiMmoyQT09
289000,2,3,103280856,https://www.idealista.com/data/app/cid/MUxMM3QrU0hBb2V4aldzTmQ4QVNhZz09
289000,3,4,101795004,https://www.idealista.com/data/app/cid/dCtyK1JXMW5kT3hQeFVUZTFUOXBYZz09
270000,3,4,102248761,https://www.idealista.com/data/app/cid/Zk5HSW1JMnMyWVdIdHlvTVV2amdTUT09
347000,4,4,103751257,https://www.idealista.com/data/app/cid/VjdQZTZkdnpyNTV3YlZITjhHTU80QT09
290000,3,4,101593886,https://www.idealista.com/data/app/cid/cE9qWGRpS3pXU0RRRmdMYnFJa0FIQT09
