precio,banos,habitaciones,propertyCode,url
220000,1,5,103370024,https://www.idealista.com/data/app/cid/d2xteEw0cEw4VFU5UExNbUJZN1EyZz09
220000,1,5,103421838,https://www.idealista.com/data/app/cid/WnVTUC9aZktaWWhMdTIrVmE4Ry82dz09
250000,2,4,102713757,https://www.idealista.com/data/app/cid/NkxLZmtYekZvV2k1VHc5ZnpSYTRiQT09
145000,2,3,97592962,https://www.idealista.com/data/app/cid/VVYxNWNGM0NiYTZFbDBzaE5EUmFhZz09
250000,2,4,100771937,https://www.idealista.com/data/app/cid/QzFKVEFidjZDWExEcHJtSVlZMFlGQT09
250000,2,4,102502403,https://www.idealista.com/data/app/cid/US9iaThPRlZYQVVYM0VmWEtWb0tMQT09
145000,2,3,101094826,https://www.idealista.com/data/app/cid/OStKUFlmZ0pmaVVpOWt3MmVSUzBxQT09
250000,2,4,103056738,https://www.idealista.com/data/app/cid/WWtuY1Q1dkZLbzYwY2Y3LzR0S0xwQT09
260000,2,4,102230868,https://www.idealista.com/data/app/cid/MXR1dzlEcGp0RnBCNWJXeGRqNkI1dz09
254990,2,7,100689580,https://www.idealista.com/data/app/cid/NkwzZW5ENHdFdGVXT1dXeEgxdzRvQT09
260000,2,4,102229183,https://www.idealista.com/data/app/cid/eXhrS3hlN2tJYythei9OMG9nNUpCQT09
332000,2,4,99570012,https://www.idealista.com/data/app/cid/QXNNRW5BNEdWRXVlTnoxL2loVW0zZz09
320000,2,3,99081300,https://www.idealista.com/data/app/cid/Q1ZlcEdpN3ZxS3NvaCtsOUhpNkgvdz09
370000,2,5,101316423,https://www.idealista.com/data/app/cid/Z2c1NGh5dHd5enY5aXJ6c0tYNGhMUT09
360000,1,3,101151224,https://www.idealista.com/data/app/cid/ODFPK3ZXNDFiYTR2UFE2ejQyd0xqQT09
700000,3,3,100679265,https://www.idealista.com/data/app/cid/Y3E2Y3BKMDVSc2plUnppYVgzeGl2dz09
245000,2,5,101348827,https://www.idealista.com/data/app/cid/ME5uWUExVjVOTmJZaDVsSG1hNmQzZz09
300000,2,6,101172692,https://www.idealista.com/data/app/cid/RWx3cU16LzZ3QXFHbjIzcFo0eWNZQT09
234000,2,8,100180695,https://www.idealista.com/data/app/cid/NGEybDVtOVJwSi8wK2NXTlBZOXIwZz09
