municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Ajalvir,375000.0,3,3,184.0,Ajalvir,103033984,https://www.idealista.com/inmueble/103033984/
Ajalvir,275000.0,3,3,142.0,San Sebastián,102403768,https://www.idealista.com/inmueble/102403768/
Ajalvir,320000.0,3,4,219.0,Calle Mariano Hebrero,103787421,https://www.idealista.com/inmueble/103787421/
Ajalvir,230000.0,1,2,79.0,Julia Castro,103505905,https://www.idealista.com/inmueble/103505905/
Ajalvir,275000.0,3,3,150.0,Juan Carlos I,98271847,https://www.idealista.com/inmueble/98271847/
Ajalvir,196000.0,2,2,117.0,Calle Avellano,102976750,https://www.idealista.com/inmueble/102976750/
Ajalvir,188700.0,1,1,65.0,Calle Mariano Hebrero,103135840,https://www.idealista.com/inmueble/103135840/
Ajalvir,216000.0,1,2,83.0,Calle Julia Castro,103885199,https://www.idealista.com/inmueble/103885199/
Ajalvir,169000.0,1,1,66.0,Calle Fuente,101439141,https://www.idealista.com/inmueble/101439141/
Ajalvir,375000.0,3,4,183.0,Calle Francisco de Goya no number,102982602,https://www.idealista.com/obra-nueva/102982602/
Ajalvir,380000.0,3,4,183.0,Calle Francisco de Goya no number,102982646,https://www.idealista.com/obra-nueva/102982646/
Ajalvir,390000.0,3,4,183.0,Calle Francisco de Goya no number,102982622,https://www.idealista.com/obra-nueva/102982622/
Ajalvir,158000.0,1,1,58.0,Av Juan Carlos I,102827665,https://www.idealista.com/inmueble/102827665/
Ajalvir,390000.0,3,3,223.0,Avenida Francisco de Goya,101533187,https://www.idealista.com/inmueble/101533187/
Ajalvir,219900.0,2,3,90.0,Avenida Juan Carlos I,103529096,https://www.idealista.com/inmueble/103529096/
Ajalvir,199750.0,1,2,51.0,Calle Víctor Hugo no number,103104163,https://www.idealista.com/obra-nueva/103104163/
Ajalvir,236215.0,1,2,58.0,Calle Víctor Hugo no number,103104132,https://www.idealista.com/obra-nueva/103104132/
Ajalvir,355000.0,4,4,310.0,"Avenida DE LAS AGUAS, 26",102987575,https://www.idealista.com/inmueble/102987575/
Ajalvir,199750.0,2,2,64.0,Calle Víctor Hurtado,102854053,https://www.idealista.com/inmueble/102854053/
Ajalvir,230000.0,2,3,96.0,PINO,103340918,https://www.idealista.com/inmueble/103340918/
Ajalvir,385000.0,3,4,186.0,"Calle Huelga,, 6",100953388,https://www.idealista.com/obra-nueva/100953388/
Ajalvir,375000.0,3,4,186.0,"Calle Huelga,, 6",100953373,https://www.idealista.com/obra-nueva/100953373/
Ajalvir,415000.0,3,4,211.0,"Calle Huelga,, 6",100953365,https://www.idealista.com/obra-nueva/100953365/
Ajalvir,405000.0,3,4,186.0,"Calle Huelga,, 6",100953343,https://www.idealista.com/obra-nueva/100953343/
Ajalvir,365000.0,3,4,186.0,"Calle Huelga,, 6",100953377,https://www.idealista.com/obra-nueva/100953377/
Ajalvir,395000.0,3,4,211.0,"Calle Huelga,, 6",100953407,https://www.idealista.com/obra-nueva/100953407/
Ajalvir,230000.0,2,3,125.0,Calle pino,103268317,https://www.idealista.com/inmueble/103268317/
Ajalvir,500000.0,3,5,300.0,Calle Huelga,100908464,https://www.idealista.com/inmueble/100908464/
Ajalvir,385000.0,3,4,200.0,Calle Cipriano Hebrero,102053472,https://www.idealista.com/inmueble/102053472/
Ajalvir,298000.0,2,3,185.0,Calle Mariano Hebrero,103054379,https://www.idealista.com/inmueble/103054379/
Ajalvir,230000.0,2,3,115.2,Calle Pino,103044938,https://www.idealista.com/inmueble/103044938/
Ajalvir,319900.0,3,3,143.0,Avenida de Juan Carlos I,103315860,https://www.idealista.com/inmueble/103315860/
Ajalvir,146900.0,1,1,59.0,Calle Escalerillas,103748468,https://www.idealista.com/inmueble/103748468/
Ajalvir,225000.0,1,2,120.0,Calle Torrejón,102159751,https://www.idealista.com/inmueble/102159751/
Ajalvir,275000.0,3,3,156.0,Avenida de Juan Carlos I,102682972,https://www.idealista.com/inmueble/102682972/
Ajalvir,163000.0,1,2,50.0,Ajalvir,103779960,https://www.idealista.com/inmueble/103779960/
Ajalvir,190000.0,3,4,188.0,Calle Fragua,101252878,https://www.idealista.com/inmueble/101252878/
Ajalvir,163000.0,1,2,60.0,Ajalvir,103208067,https://www.idealista.com/inmueble/103208067/
Ajalvir,158000.0,1,1,55.0,ajalvir no number,103698478,https://www.idealista.com/inmueble/103698478/
