municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Alcobendas,395000.0,2,4,121.0,Calle del Maestro Barbieri,103198459,https://www.idealista.com/inmueble/103198459/
Alcobendas,690000.0,2,3,115.0,Severo Ochoa,103757056,https://www.idealista.com/inmueble/103757056/
Alcobendas,560000.0,2,3,134.0,Paseo de Valdelasfuentes,103756479,https://www.idealista.com/inmueble/103756479/
Alcobendas,215000.0,1,0,90.0,"Carretera de Fuencarral, 44",103708111,https://www.idealista.com/inmueble/103708111/
Alcobendas,499000.0,2,3,115.0,"Calle del Doctor Casimiro Morcillo, 6",102777985,https://www.idealista.com/inmueble/102777985/
Alcobendas,159000.0,1,2,51.0,Calle de Santa Lucía,101401202,https://www.idealista.com/inmueble/101401202/
Alcobendas,298000.0,1,3,110.0,"Calle del Romero, 1",103510248,https://www.idealista.com/inmueble/103510248/
Alcobendas,325000.0,2,3,96.0,Calle de Manuel de Falla,102138641,https://www.idealista.com/inmueble/102138641/
Alcobendas,200000.0,1,3,76.0,Calle de Soria,102074579,https://www.idealista.com/inmueble/102074579/
Alcobendas,290000.0,1,2,97.0,MARQUES DE LA VALDAVIA,102569138,https://www.idealista.com/inmueble/102569138/
Alcobendas,177000.0,1,3,68.0,Calle de las Islas Bikini,102988941,https://www.idealista.com/inmueble/102988941/
Alcobendas,515000.0,2,3,139.0,Calle de la Imaginación,103792975,https://www.idealista.com/inmueble/103792975/
Alcobendas,135000.0,1,1,40.0,"huesca, 33",100797456,https://www.idealista.com/inmueble/100797456/
Alcobendas,295000.0,1,4,180.0,Calle de León Pérez Bayo,103559323,https://www.idealista.com/inmueble/103559323/
Alcobendas,275000.0,2,4,115.0,Ebro no number,103209153,https://www.idealista.com/inmueble/103209153/
Alcobendas,285000.0,2,4,93.0,PINTOR RIBERA,102879316,https://www.idealista.com/inmueble/102879316/
Alcobendas,157000.0,1,0,56.0,Calle de la Libertad,103793298,https://www.idealista.com/inmueble/103793298/
Alcobendas,345000.0,1,3,100.0,Calle de Fayón no number,103245939,https://www.idealista.com/inmueble/103245939/
Alcobendas,420000.0,2,4,126.0,Calle de Ruperto Chapí no number,101081231,https://www.idealista.com/inmueble/101081231/
Alcobendas,184000.0,1,2,70.0,Calle de Isabel Rosillo,98774776,https://www.idealista.com/inmueble/98774776/
Alcobendas,485000.0,2,3,115.0,Calle de Francisco Largo Caballero,103457432,https://www.idealista.com/inmueble/103457432/
Alcobendas,194000.0,1,2,63.0,Calle de Isabel Rosillo,103017088,https://www.idealista.com/inmueble/103017088/
Alcobendas,415000.0,1,2,104.0,Calle del Marqués de la Valdavia,103628794,https://www.idealista.com/inmueble/103628794/
Alcobendas,230000.0,2,3,83.0,Alcobendas Centro,103043600,https://www.idealista.com/inmueble/103043600/
Alcobendas,243630.0,1,3,79.0,Alcobendas Centro,103241779,https://www.idealista.com/inmueble/103241779/
Alcobendas,160000.0,1,3,62.0,Alcobendas Centro,103159954,https://www.idealista.com/inmueble/103159954/
Alcobendas,205000.0,1,3,99.0,Alcobendas Centro,103661262,https://www.idealista.com/inmueble/103661262/
Alcobendas,256000.0,1,3,102.0,Plaza de la Encina,100654177,https://www.idealista.com/inmueble/100654177/
Alcobendas,748000.0,5,5,272.0,Ensanche,102132366,https://www.idealista.com/inmueble/102132366/
Alcobendas,157000.0,1,2,58.0,Alcobendas Centro,100798045,https://www.idealista.com/inmueble/100798045/
Alcobendas,380000.0,2,6,249.0,Ensanche,94286867,https://www.idealista.com/inmueble/94286867/
Alcobendas,265000.0,1,2,85.0,Paseo de la Chopera,102621839,https://www.idealista.com/inmueble/102621839/
Alcobendas,230000.0,1,3,71.0,"Calle LIBERTAD, 13",103785178,https://www.idealista.com/inmueble/103785178/
Alcobendas,350000.0,2,3,115.0,"Calle del Marqués de la Valdavia, 100",103787872,https://www.idealista.com/inmueble/103787872/
Alcobendas,165000.0,1,3,69.0,Calle de Antonio López,102962290,https://www.idealista.com/inmueble/102962290/
Alcobendas,179500.0,1,3,72.0,Calle de Salamanca,103691773,https://www.idealista.com/inmueble/103691773/
Alcobendas,860000.0,5,5,309.0,Calle del Doctor Casimiro Morcillo,101755970,https://www.idealista.com/inmueble/101755970/
Alcobendas,169000.0,1,1,52.0,Carretera de Fuencarral,100778860,https://www.idealista.com/inmueble/100778860/
Alcobendas,159000.0,1,3,57.0,Calle de Oviedo,103783827,https://www.idealista.com/inmueble/103783827/
Alcobendas,470000.0,2,2,160.0,Alcobendas Centro,98883237,https://www.idealista.com/inmueble/98883237/
Alcobendas,262000.0,4,5,159.0,Alcobendas Centro,103351842,https://www.idealista.com/inmueble/103351842/
Alcobendas,192000.0,1,2,50.0,Alcobendas Centro,102248549,https://www.idealista.com/inmueble/102248549/
Alcobendas,485000.0,2,3,134.0,Avenida de Valdelaparra,103160517,https://www.idealista.com/inmueble/103160517/
