municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Alcorcón,260000.0,2,1,161.0,Avenida de M-40,101957520,https://www.idealista.com/inmueble/101957520/
Alcorcón,155000.0,1,3,52.0,Avenida Torres Bellas,102229821,https://www.idealista.com/inmueble/102229821/
Alcorcón,275000.0,2,2,81.0,Calle los Arces,103782031,https://www.idealista.com/inmueble/103782031/
Alcorcón,130000.0,1,3,51.0,Calle DE SANTO DOMINGO,103504795,https://www.idealista.com/inmueble/103504795/
Alcorcón,430000.0,2,3,180.0,Calle Inspector Juan Antonio Bueno,102658630,https://www.idealista.com/inmueble/102658630/
Alcorcón,235000.0,2,2,97.0,Avenida las Retamas,103336963,https://www.idealista.com/inmueble/103336963/
Alcorcón,319000.0,2,4,160.0,Calle Porto Colón,102949721,https://www.idealista.com/inmueble/102949721/
Alcorcón,450000.0,3,4,154.0,Calle Chopos Los,103206751,https://www.idealista.com/inmueble/103206751/
Alcorcón,372000.0,2,2,163.0,"Calle Fuente Cisneros, 78",103795858,https://www.idealista.com/inmueble/103795858/
Alcorcón,293000.0,2,4,105.0,Calle Porto Cristo,102089237,https://www.idealista.com/inmueble/102089237/
Alcorcón,420000.0,3,3,154.0,Avenida del Alcalde José Aranda,103788749,https://www.idealista.com/inmueble/103788749/
Alcorcón,238000.0,2,4,111.0,Avenida del Alcalde José Aranda,103789402,https://www.idealista.com/inmueble/103789402/
Alcorcón,206000.0,2,1,100.0,PEDREZUELA,95943149,https://www.idealista.com/inmueble/95943149/
Alcorcón,205000.0,2,0,100.0,subdistrict Campodón - Ventorro del Cano,102079605,https://www.idealista.com/inmueble/102079605/
Alcorcón,400000.0,2,3,148.0,subdistrict Parque oeste - Fuente Cisneros,100505031,https://www.idealista.com/inmueble/100505031/
Alcorcón,231000.0,2,3,86.0,Calle primero de mayo,103782879,https://www.idealista.com/inmueble/103782879/
Alcorcón,262000.0,2,2,83.0,Calle Los Pinos,100656373,https://www.idealista.com/inmueble/100656373/
Alcorcón,230000.0,1,3,86.0,Calle Caceres,103790445,https://www.idealista.com/inmueble/103790445/
Alcorcón,130000.0,1,3,90.0,SAN IGNACIO,103789036,https://www.idealista.com/inmueble/103789036/
Alcorcón,136000.0,1,2,54.0,Plaza Sierra de Navacerrada,103620727,https://www.idealista.com/inmueble/103620727/
Alcorcón,387000.0,3,3,168.0,san isidro,103495235,https://www.idealista.com/inmueble/103495235/
Alcorcón,374450.0,2,4,135.0,Calle Carballino,103171241,https://www.idealista.com/inmueble/103171241/
Alcorcón,234000.0,2,1,156.0,Avenida m 40,98714741,https://www.idealista.com/inmueble/98714741/
Alcorcón,229000.0,2,4,124.0,"MUNICH, 4",102091856,https://www.idealista.com/inmueble/102091856/
Alcorcón,155000.0,1,3,70.0,Calle DE BETANZOS,103391689,https://www.idealista.com/inmueble/103391689/
Alcorcón,142000.0,1,3,80.0,Calle Hogar 68,91707421,https://www.idealista.com/inmueble/91707421/
Alcorcón,190000.0,1,1,117.0,subdistrict Campodón - Ventorro del Cano,96880045,https://www.idealista.com/inmueble/96880045/
Alcorcón,465500.0,3,3,230.0,Avenida de las Flores,102261680,https://www.idealista.com/inmueble/102261680/
Alcorcón,234000.0,2,0,156.0,subdistrict Campodón - Ventorro del Cano,96295871,https://www.idealista.com/inmueble/96295871/
Alcorcón,125000.0,1,3,57.0,Calle Cáceres,103438871,https://www.idealista.com/inmueble/103438871/
Alcorcón,147000.0,1,2,65.0,Calle BAILEN,103736255,https://www.idealista.com/inmueble/103736255/
Alcorcón,374450.0,2,4,135.0,Calle Carballino,101890973,https://www.idealista.com/inmueble/101890973/
Alcorcón,240000.0,2,4,100.0,Calle PORTO COLON,103735820,https://www.idealista.com/inmueble/103735820/
Alcorcón,192400.0,1,0,117.0,subdistrict Campodón - Ventorro del Cano,96296128,https://www.idealista.com/inmueble/96296128/
Alcorcón,149900.0,1,2,59.0,Calle Vicedo,102273307,https://www.idealista.com/inmueble/102273307/
Alcorcón,339000.0,2,3,98.0,Fuente Cisneros,100217997,https://www.idealista.com/inmueble/100217997/
Alcorcón,125000.0,1,2,63.0,Avenida Torres Bellas,103529136,https://www.idealista.com/inmueble/103529136/
Alcorcón,128000.0,1,3,64.0,Calle Cisneros,103352661,https://www.idealista.com/inmueble/103352661/
Alcorcón,340000.0,2,4,160.0,Calle Príncipe Don Juan Carlos,103508263,https://www.idealista.com/inmueble/103508263/
Alcorcón,435000.0,2,3,150.0,Calle Fuente Cisneros,103679554,https://www.idealista.com/inmueble/103679554/
Alcorcón,248000.0,2,4,100.0,Calle Porto Lagos,103356135,https://www.idealista.com/inmueble/103356135/
Alcorcón,259000.0,2,4,105.0,Calle Porto Colón,103771761,https://www.idealista.com/inmueble/103771761/
Alcorcón,172000.0,1,1,62.0,"Calle Polvoranca , 14",103639572,https://www.idealista.com/obra-nueva/103639572/
Alcorcón,196000.0,1,1,62.0,"Calle Polvoranca , 14",103694385,https://www.idealista.com/obra-nueva/103694385/
Alcorcón,395000.0,2,4,140.0,Avenida Leganés,103639532,https://www.idealista.com/inmueble/103639532/
Alcorcón,227000.0,2,2,79.0,"Calle Polvoranca , 14",103694459,https://www.idealista.com/obra-nueva/103694459/
Alcorcón,295000.0,2,3,115.0,CHOPOS,102919781,https://www.idealista.com/inmueble/102919781/
Alcorcón,333000.0,2,3,98.0,Calle lirios no number,103682150,https://www.idealista.com/inmueble/103682150/
Alcorcón,93000.0,1,3,61.0,Calle Mérida,98425984,https://www.idealista.com/inmueble/98425984/
Alcorcón,135000.0,1,3,64.0,Calle Espada,101758461,https://www.idealista.com/inmueble/101758461/
