municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Aldea del Fresno,390000.0,4,8,344.0,Urbanización María Elena,98447867,https://www.idealista.com/inmueble/98447867/
Aldea del Fresno,270000.0,2,3,272.0,Aldea del Fresno,102287988,https://www.idealista.com/inmueble/102287988/
Aldea del Fresno,330000.0,3,5,310.0,Aldea del Fresno,101432797,https://www.idealista.com/inmueble/101432797/
Aldea del Fresno,249900.0,2,4,157.0,Aldea del Fresno,102799308,https://www.idealista.com/inmueble/102799308/
Aldea del Fresno,230000.0,3,3,210.0,Aldea del Fresno,102230384,https://www.idealista.com/inmueble/102230384/
Aldea del Fresno,94000.0,1,2,84.0,Travesía ferrocarril,103789701,https://www.idealista.com/inmueble/103789701/
Aldea del Fresno,220000.0,3,5,142.0,"Calle MAYOR, 32",102063763,https://www.idealista.com/inmueble/102063763/
Aldea del Fresno,306000.0,3,5,180.0,calalberche,102426358,https://www.idealista.com/inmueble/102426358/
Aldea del Fresno,94000.0,1,3,84.0,"Calle Ferrocarril, km 0",103772796,https://www.idealista.com/inmueble/103772796/
Aldea del Fresno,230000.0,1,2,110.0,Aldea del Fresno,103471292,https://www.idealista.com/inmueble/103471292/
Aldea del Fresno,94000.0,1,2,84.0,Ferrocarril,103756447,https://www.idealista.com/inmueble/103756447/
Aldea del Fresno,145000.0,2,6,140.0,Aldea del Fresno,103628403,https://www.idealista.com/inmueble/103628403/
Aldea del Fresno,790000.0,5,8,370.0,"Carretera Diseminado, 7",99297797,https://www.idealista.com/inmueble/99297797/
Aldea del Fresno,127500.0,3,3,103.0,Calle Marquesa de Manzanedo,102244957,https://www.idealista.com/inmueble/102244957/
Aldea del Fresno,180000.0,2,3,120.0,rincón,101999829,https://www.idealista.com/inmueble/101999829/
Aldea del Fresno,220000.0,3,5,213.0,Aldea del Fresno,103745980,https://www.idealista.com/inmueble/103745980/
Aldea del Fresno,92900.0,1,3,60.0,Calle real Fuentes,102193766,https://www.idealista.com/inmueble/102193766/
Aldea del Fresno,265000.0,3,5,200.0,Aldea del Fresno,90871606,https://www.idealista.com/inmueble/90871606/
Aldea del Fresno,249900.0,2,4,157.0,"Calle olmo, 9",102918680,https://www.idealista.com/inmueble/102918680/
Aldea del Fresno,120000.0,2,2,80.0,caravan garden,103197916,https://www.idealista.com/inmueble/103197916/
Aldea del Fresno,320000.0,3,3,255.0,Aldea del Fresno,102678975,https://www.idealista.com/inmueble/102678975/
Aldea del Fresno,190000.0,2,3,136.0,Aldea del Fresno,102021060,https://www.idealista.com/inmueble/102021060/
Aldea del Fresno,264900.0,3,6,223.0,San Carlos no number,102679325,https://www.idealista.com/inmueble/102679325/
Aldea del Fresno,94000.0,1,3,70.0,Aldea del Fresno,103773525,https://www.idealista.com/inmueble/103773525/
Aldea del Fresno,126000.0,1,3,120.0,Aldea del Fresno,100099498,https://www.idealista.com/inmueble/100099498/
Aldea del Fresno,249900.0,3,4,212.0,Aldea del Fresno,97476583,https://www.idealista.com/inmueble/97476583/
Aldea del Fresno,299000.0,2,6,262.0,Aldea del Fresno,100057458,https://www.idealista.com/inmueble/100057458/
Aldea del Fresno,250000.0,1,4,1500.0,Carretera de Madrid,93498716,https://www.idealista.com/inmueble/93498716/
Aldea del Fresno,62000.0,1,1,87.0,"Carretera DE MADRID, 30",103413140,https://www.idealista.com/inmueble/103413140/
Aldea del Fresno,70000.0,1,1,99.0,"Carretera DE MADRID, 30",103319407,https://www.idealista.com/inmueble/103319407/
Aldea del Fresno,95000.0,1,3,88.0,Aldea del Fresno,102914175,https://www.idealista.com/inmueble/102914175/
Aldea del Fresno,210000.0,1,4,196.0,Aldea del Fresno,102502159,https://www.idealista.com/inmueble/102502159/
Aldea del Fresno,88700.0,1,3,78.0,Calle Real-Fuentes,96557662,https://www.idealista.com/inmueble/96557662/
Aldea del Fresno,150000.0,1,4,112.0,Aldea del Fresno,98626116,https://www.idealista.com/inmueble/98626116/
Aldea del Fresno,94000.0,1,3,69.0,Aldea del Fresno,103770817,https://www.idealista.com/inmueble/103770817/
Aldea del Fresno,115000.0,1,3,100.0,Aldea del Fresno,100668492,https://www.idealista.com/inmueble/100668492/
Aldea del Fresno,126000.0,1,3,120.0,PARQUE ATRACIONES SAFARI,100808892,https://www.idealista.com/inmueble/100808892/
Aldea del Fresno,94000.0,1,3,69.0,Aldea del Fresno,103771001,https://www.idealista.com/inmueble/103771001/
Aldea del Fresno,76000.0,1,3,83.0,Aldea del Fresno,100847795,https://www.idealista.com/inmueble/100847795/
Aldea del Fresno,110000.0,1,3,156.0,Aldea del Fresno,101429177,https://www.idealista.com/inmueble/101429177/
Aldea del Fresno,138000.0,2,4,148.0,Aldea del Fresno,103127408,https://www.idealista.com/inmueble/103127408/
Aldea del Fresno,97000.0,1,1,25.0,Aldea del Fresno,103355520,https://www.idealista.com/inmueble/103355520/
Aldea del Fresno,499000.0,1,2,70.0,Aldea del Fresno,95534930,https://www.idealista.com/inmueble/95534930/
Aldea del Fresno,120000.0,1,1,154.0,Aldea del Fresno,95218193,https://www.idealista.com/inmueble/95218193/
