municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Algete,520000.0,3,4,223.0,Calle País Vasco,101693875,https://www.idealista.com/inmueble/101693875/
Algete,580000.0,3,3,180.0,Camino de los Malatones,102510067,https://www.idealista.com/inmueble/102510067/
Algete,424348.0,3,4,160.0,"Calle Enrique Casas, 28110 Algete (Madrid), España",100013092,https://www.idealista.com/inmueble/100013092/
Algete,420000.0,2,5,198.0,de la Peña,103499951,https://www.idealista.com/inmueble/103499951/
Algete,210000.0,1,3,92.0,Calle Monte Albillo,103390836,https://www.idealista.com/inmueble/103390836/
Algete,595000.0,3,4,245.0,Calle ARAGON,101974745,https://www.idealista.com/inmueble/101974745/
Algete,189000.0,1,2,68.0,Calle de la Peña,102153724,https://www.idealista.com/inmueble/102153724/
Algete,299000.0,2,4,113.0,Calle de Ruedajarros,103309853,https://www.idealista.com/inmueble/103309853/
Algete,520000.0,4,5,317.0,Avenida del Duque,103111236,https://www.idealista.com/inmueble/103111236/
Algete,314000.0,2,5,246.0,Calle de los Palomares,98496205,https://www.idealista.com/inmueble/98496205/
Algete,859000.0,4,6,617.0,"Calle Cedro, 9",102619970,https://www.idealista.com/inmueble/102619970/
Algete,420000.0,6,6,317.0,BALEARES,99273379,https://www.idealista.com/inmueble/99273379/
Algete,499495.0,3,4,178.0,Algete,103054850,https://www.idealista.com/inmueble/103054850/
Algete,520000.0,5,5,317.0,Avenida del Duque,103031350,https://www.idealista.com/inmueble/103031350/
Algete,155000.0,1,2,55.0,Calle de Concepción,102227710,https://www.idealista.com/inmueble/102227710/
Algete,333000.0,2,3,125.0,"Calle Limon verde, 29",103030132,https://www.idealista.com/obra-nueva/103030132/
Algete,137000.0,1,0,37.0,"Calle Limon verde, 29",103030115,https://www.idealista.com/obra-nueva/103030115/
Algete,249000.0,2,2,90.0,"Calle Limon verde, 29",103030178,https://www.idealista.com/obra-nueva/103030178/
Algete,223000.0,1,2,83.0,"Calle Limon verde, 29",103030167,https://www.idealista.com/obra-nueva/103030167/
Algete,170000.0,1,1,61.0,"Calle Limon verde, 29",103030160,https://www.idealista.com/obra-nueva/103030160/
Algete,349000.0,5,4,216.0,"Jorge Manrique, 18",103456809,https://www.idealista.com/inmueble/103456809/
Algete,525000.0,3,4,300.0,Calle libertad,102491759,https://www.idealista.com/inmueble/102491759/
Algete,330000.0,3,5,295.0,Algete,103782160,https://www.idealista.com/inmueble/103782160/
Algete,193000.0,2,2,84.0,"Calle Mayor, 26",98985659,https://www.idealista.com/obra-nueva/98985659/
Algete,394000.0,3,5,292.0,Calle San Roque,103324115,https://www.idealista.com/inmueble/103324115/
Algete,181000.0,2,2,78.0,"Calle Mayor, 26",98985645,https://www.idealista.com/obra-nueva/98985645/
Algete,207000.0,2,2,84.0,"Calle Mayor, 26",98985623,https://www.idealista.com/obra-nueva/98985623/
Algete,176000.0,2,1,73.0,"Calle Mayor, 26",98985644,https://www.idealista.com/obra-nueva/98985644/
Algete,162000.0,1,1,61.0,"Calle Mayor, 26",98985584,https://www.idealista.com/obra-nueva/98985584/
Algete,232000.0,2,2,96.0,"Calle Mayor, 26",98985676,https://www.idealista.com/obra-nueva/98985676/
Algete,136010.0,2,2,128.0,Virtudes,98122819,https://www.idealista.com/inmueble/98122819/
Algete,1225700.0,9,12,771.0,DRAGO,95850967,https://www.idealista.com/inmueble/95850967/
Algete,220000.0,2,4,127.0,Calle los Pazos,102948951,https://www.idealista.com/inmueble/102948951/
Algete,590000.0,5,5,365.0,Calle Vicente Aleixandre,103208739,https://www.idealista.com/inmueble/103208739/
Algete,420000.0,4,4,410.0,bALEARES,103042996,https://www.idealista.com/inmueble/103042996/
Algete,495000.0,3,3,220.0,"Calle Aragon, 11",103167321,https://www.idealista.com/inmueble/103167321/
Algete,300000.0,3,3,150.0,Calle María Amor,103362867,https://www.idealista.com/inmueble/103362867/
Algete,210000.0,2,3,122.0,Calle Virtudes,103337350,https://www.idealista.com/inmueble/103337350/
Algete,420000.0,2,4,317.0,"Calle de Baleares, 11",103157727,https://www.idealista.com/inmueble/103157727/
Algete,344999.0,2,4,190.0,jose maria peman,103099066,https://www.idealista.com/inmueble/103099066/
Algete,279000.0,3,4,126.0,Calle Virtudes,101812666,https://www.idealista.com/inmueble/101812666/
Algete,1089000.0,4,4,733.0,Calle del Bonsái,100569712,https://www.idealista.com/inmueble/100569712/
Algete,135000.0,1,2,85.0,Mayor,103299842,https://www.idealista.com/inmueble/103299842/
Algete,739000.0,3,3,402.0,Calle Aragon,98380308,https://www.idealista.com/inmueble/98380308/
Algete,420000.0,3,3,408.0,"Calle de Baleares, 11",84472185,https://www.idealista.com/inmueble/84472185/
Algete,460000.0,2,4,252.0,Algete,99603130,https://www.idealista.com/inmueble/99603130/
Algete,420000.0,3,4,408.0,"baleares, 11",103071520,https://www.idealista.com/inmueble/103071520/
Algete,339900.0,3,4,204.0,Calle del Perú,102705700,https://www.idealista.com/inmueble/102705700/
Algete,530999.0,4,5,325.0,Castilla,97534841,https://www.idealista.com/inmueble/97534841/
Algete,125000.0,2,3,132.0,Calle la dehesa nueva,103622817,https://www.idealista.com/inmueble/103622817/
