municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Arganda,375000.0,3,4,191.0,Calle Rafael Alberti,102499537,https://www.idealista.com/inmueble/102499537/
Arganda,164900.0,1,3,72.0,valdeparazuelos,102566104,https://www.idealista.com/inmueble/102566104/
Arganda,244000.0,2,3,109.0,"republica argentina, 4",101536839,https://www.idealista.com/inmueble/101536839/
Arganda,515000.0,2,3,271.0,Calle Presidente José María Aznar,98686020,https://www.idealista.com/inmueble/98686020/
Arganda,549500.0,4,4,250.0,Los Villares,100980833,https://www.idealista.com/inmueble/100980833/
Arganda,449000.0,4,5,266.0,Los Villares,103757515,https://www.idealista.com/inmueble/103757515/
Arganda,595000.0,3,3,387.0,Centro,90716637,https://www.idealista.com/inmueble/90716637/
Arganda,124990.0,1,1,44.0,Centro,103789939,https://www.idealista.com/inmueble/103789939/
Arganda,124000.0,1,3,74.0,Calle de las Viñas,103263575,https://www.idealista.com/inmueble/103263575/
Arganda,590000.0,5,5,511.0,Vereda de la Ladronera,100345706,https://www.idealista.com/inmueble/100345706/
Arganda,155000.0,1,2,106.0,Calle Valdeparazuelos,103660396,https://www.idealista.com/inmueble/103660396/
Arganda,208000.0,2,3,104.0,Calle Balandro,103451306,https://www.idealista.com/inmueble/103451306/
Arganda,212000.0,2,3,98.0,Calle Residencial las Viñas,103050244,https://www.idealista.com/inmueble/103050244/
Arganda,215000.0,2,3,92.0,Calle Juan de la Cierva,103712760,https://www.idealista.com/inmueble/103712760/
Arganda,355000.0,2,4,178.0,Calle Perú,103722945,https://www.idealista.com/inmueble/103722945/
Arganda,323535.0,2,3,158.0,Calle del telégrafo no number,103774547,https://www.idealista.com/obra-nueva/103774547/
Arganda,218000.0,2,2,82.0,"Calle Telegrafista Jose Jackson , 2",103707512,https://www.idealista.com/obra-nueva/103707512/
Arganda,255000.0,2,3,121.0,"Calle Telegrafista Jose Jackson , 2",102621101,https://www.idealista.com/obra-nueva/102621101/
Arganda,265000.0,2,3,140.0,"Calle Telegrafista Jose Jackson , 2",102621131,https://www.idealista.com/obra-nueva/102621131/
Arganda,228000.0,2,2,88.0,"Calle Telegrafista Jose Jackson , 2",103531311,https://www.idealista.com/obra-nueva/103531311/
Arganda,212000.0,2,2,82.0,"Calle Telegrafista Jose Jackson , 2",103531320,https://www.idealista.com/obra-nueva/103531320/
Arganda,285000.0,3,3,228.0,Calle PIRAGUA,103541535,https://www.idealista.com/inmueble/103541535/
Arganda,214999.0,2,3,136.0,Los Villares,103787916,https://www.idealista.com/inmueble/103787916/
Arganda,77000.0,1,1,57.0,Calle Don Diego,96793258,https://www.idealista.com/inmueble/96793258/
Arganda,320000.0,2,4,159.0,PUERTO NAVACERRADA,103715145,https://www.idealista.com/inmueble/103715145/
Arganda,220000.0,2,3,113.0,"Avenida del Mediterraneo, 12",100257456,https://www.idealista.com/obra-nueva/100257456/
Arganda,250000.0,2,3,108.0,"Avenida del Mediterraneo, 12",100218113,https://www.idealista.com/obra-nueva/100218113/
Arganda,540000.0,4,4,360.0,FLAMENCO,103017916,https://www.idealista.com/inmueble/103017916/
Arganda,240000.0,2,3,113.0,"Avenida del Mediterraneo, 12",100218120,https://www.idealista.com/obra-nueva/100218120/
Arganda,230000.0,2,3,108.0,"Avenida del Mediterraneo, 12",100218140,https://www.idealista.com/obra-nueva/100218140/
Arganda,230000.0,2,3,113.0,"Avenida del Mediterraneo, 12",100257461,https://www.idealista.com/obra-nueva/100257461/
Arganda,225000.0,2,3,108.0,"Avenida del Mediterraneo, 12",100218131,https://www.idealista.com/obra-nueva/100218131/
Arganda,235000.0,2,3,108.0,"Avenida del Mediterraneo, 12",100218141,https://www.idealista.com/obra-nueva/100218141/
Arganda,250000.0,2,3,118.0,"Avenida del Mediterraneo, 12",100217988,https://www.idealista.com/obra-nueva/100217988/
Arganda,230000.0,2,3,113.0,"Avenida del Mediterraneo, 12",100218129,https://www.idealista.com/obra-nueva/100218129/
Arganda,225000.0,2,3,113.0,"Avenida del Mediterraneo, 12",100257435,https://www.idealista.com/obra-nueva/100257435/
Arganda,150000.0,1,3,98.0,Puerta del Parque,102857908,https://www.idealista.com/inmueble/102857908/
Arganda,240000.0,2,3,110.0,Francisco Rabal,102489969,https://www.idealista.com/inmueble/102489969/
Arganda,125000.0,1,3,71.0,Puente del Cura,102825504,https://www.idealista.com/inmueble/102825504/
Arganda,152000.0,1,1,64.0,"Calle Estación Arganda del Rey, 2",99856274,https://www.idealista.com/obra-nueva/99856274/
Arganda,250500.0,2,2,90.0,"Calle Estación Arganda del Rey, 2",97612372,https://www.idealista.com/obra-nueva/97612372/
Arganda,242000.0,2,3,91.0,"Calle Estación Arganda del Rey, 2",99076501,https://www.idealista.com/obra-nueva/99076501/
Arganda,220000.0,2,3,80.0,"Calle Estación Arganda del Rey, 2",98603704,https://www.idealista.com/obra-nueva/98603704/
Arganda,236000.0,2,3,95.0,"Calle Estación Arganda del Rey, 2",97612323,https://www.idealista.com/obra-nueva/97612323/
Arganda,237000.0,2,3,90.0,"Calle Estación Arganda del Rey, 2",97612364,https://www.idealista.com/obra-nueva/97612364/
Arganda,239000.0,2,3,95.0,"Calle Estación Arganda del Rey, 2",97612369,https://www.idealista.com/obra-nueva/97612369/
Arganda,245000.0,2,5,240.0,Calle la Zarza,103740952,https://www.idealista.com/inmueble/103740952/
Arganda,231000.0,2,3,90.0,"Calle Estación Arganda del Rey, 2",98059041,https://www.idealista.com/obra-nueva/98059041/
Arganda,245000.0,2,3,95.0,"Calle Estación Arganda del Rey, 2",97612324,https://www.idealista.com/obra-nueva/97612324/
Arganda,228000.0,2,3,90.0,"Calle Estación Arganda del Rey, 2",97612325,https://www.idealista.com/obra-nueva/97612325/
