municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Becerril de la Sierra,455000.0,3,4,299.0,Becerril de la Sierra,103241319,https://www.idealista.com/inmueble/103241319/
Becerril de la Sierra,470000.0,3,4,281.0,Becerril de la Sierra,102872053,https://www.idealista.com/inmueble/102872053/
Becerril de la Sierra,499000.0,4,3,197.0,Becerril de la Sierra,103137452,https://www.idealista.com/inmueble/103137452/
Becerril de la Sierra,270000.0,2,1,80.0,cortijo,103795242,https://www.idealista.com/inmueble/103795242/
Becerril de la Sierra,950000.0,5,8,755.0,Becerril de la Sierra,103636172,https://www.idealista.com/inmueble/103636172/
Becerril de la Sierra,599900.0,4,5,238.0,reina,100948708,https://www.idealista.com/inmueble/100948708/
Becerril de la Sierra,199900.0,3,4,172.0,egido no number,103523118,https://www.idealista.com/inmueble/103523118/
Becerril de la Sierra,690000.0,9,8,728.0,"Calle de Cabeza de Hierro, 9",95921609,https://www.idealista.com/inmueble/95921609/
Becerril de la Sierra,650000.0,4,5,417.0,Becerril de la Sierra,103618954,https://www.idealista.com/inmueble/103618954/
Becerril de la Sierra,340000.0,4,4,386.0,Matadero,100783294,https://www.idealista.com/inmueble/100783294/
Becerril de la Sierra,390000.0,4,4,133.0,Becerril de la Sierra,96247529,https://www.idealista.com/inmueble/96247529/
Becerril de la Sierra,140000.0,1,1,69.0,Becerril de la Sierra,102713981,https://www.idealista.com/inmueble/102713981/
Becerril de la Sierra,225000.0,2,3,100.0,Becerril de la Sierra,103133552,https://www.idealista.com/inmueble/103133552/
Becerril de la Sierra,425882.0,3,5,108.0,Calle Majada de las Monjas,102017388,https://www.idealista.com/inmueble/102017388/
Becerril de la Sierra,620000.0,4,6,415.0,"Calle del Greco, 23",91448364,https://www.idealista.com/inmueble/91448364/
Becerril de la Sierra,395560.0,2,3,130.0,"Calle Goya, 12",103485691,https://www.idealista.com/obra-nueva/103485691/
Becerril de la Sierra,550000.0,4,11,642.0,Becerril de la Sierra,103593560,https://www.idealista.com/inmueble/103593560/
Becerril de la Sierra,240000.0,1,3,165.0,"calvo sotelo, 54",102065355,https://www.idealista.com/inmueble/102065355/
Becerril de la Sierra,490000.0,3,4,284.0,de las chaparras,103257178,https://www.idealista.com/inmueble/103257178/
Becerril de la Sierra,490000.0,3,4,284.0,Chaparras,103377326,https://www.idealista.com/inmueble/103377326/
Becerril de la Sierra,189000.0,2,2,100.0,Calle de Madrid,103365637,https://www.idealista.com/inmueble/103365637/
Becerril de la Sierra,590000.0,3,5,466.0,Becerril de la Sierra,100617493,https://www.idealista.com/inmueble/100617493/
Becerril de la Sierra,530000.0,4,6,396.0,Becerril de la Sierra,97623348,https://www.idealista.com/inmueble/97623348/
Becerril de la Sierra,455000.0,3,4,240.0,Becerril de la Sierra,99254254,https://www.idealista.com/inmueble/99254254/
Becerril de la Sierra,254600.0,1,1,245.0,Picasso,103430515,https://www.idealista.com/inmueble/103430515/
Becerril de la Sierra,368400.0,2,3,130.0,Calle Manantial,102130618,https://www.idealista.com/obra-nueva/102130618/
Becerril de la Sierra,550000.0,3,4,250.0,Becerril de la Sierra,97509564,https://www.idealista.com/inmueble/97509564/
Becerril de la Sierra,430000.0,3,3,220.0,Becerril de la Sierra,102437187,https://www.idealista.com/inmueble/102437187/
Becerril de la Sierra,380665.0,3,3,140.0,"Calle PEÑA JOYA, 7",103060657,https://www.idealista.com/obra-nueva/103060657/
Becerril de la Sierra,140000.0,1,1,73.0,Avenida DE CALVO SOTELO,101325548,https://www.idealista.com/inmueble/101325548/
Becerril de la Sierra,690000.0,6,8,650.0,"cabeza de hierro, 36",102715162,https://www.idealista.com/inmueble/102715162/
Becerril de la Sierra,200000.0,3,1,330.0,"Avenida de José Antonio, 33",96041165,https://www.idealista.com/inmueble/96041165/
Becerril de la Sierra,305000.0,2,4,152.0,Becerril de la Sierra,100899737,https://www.idealista.com/inmueble/100899737/
Becerril de la Sierra,570000.0,4,6,479.0,Becerril de la Sierra,102381620,https://www.idealista.com/inmueble/102381620/
Becerril de la Sierra,510000.0,3,5,165.0,Avenida de Jose Antonio,101977473,https://www.idealista.com/inmueble/101977473/
Becerril de la Sierra,196000.0,2,3,110.0,Calle Guadiana,103251398,https://www.idealista.com/inmueble/103251398/
Becerril de la Sierra,225000.0,2,3,100.0,Avenida CALVO SOTELO,101325020,https://www.idealista.com/inmueble/101325020/
Becerril de la Sierra,445000.0,2,3,154.0,Becerril de la Sierra,103005038,https://www.idealista.com/inmueble/103005038/
Becerril de la Sierra,470000.0,3,4,277.0,Becerril de la Sierra,103565277,https://www.idealista.com/inmueble/103565277/
Becerril de la Sierra,480000.0,4,6,356.0,Fuente de la Salinera,102267827,https://www.idealista.com/inmueble/102267827/
Becerril de la Sierra,240000.0,2,3,113.0,Becerril de la Sierra,102908610,https://www.idealista.com/inmueble/102908610/
Becerril de la Sierra,350000.0,3,6,191.0,Becerril de la Sierra,102898313,https://www.idealista.com/inmueble/102898313/
Becerril de la Sierra,450000.0,4,4,308.0,Becerril de la Sierra,102407612,https://www.idealista.com/inmueble/102407612/
Becerril de la Sierra,210000.0,2,3,105.0,Becerril de la Sierra,103241042,https://www.idealista.com/inmueble/103241042/
Becerril de la Sierra,264000.0,1,2,69.0,Calle Del Cerrillo,102703140,https://www.idealista.com/inmueble/102703140/
Becerril de la Sierra,700000.0,3,5,300.0,Becerril de la Sierra,102817122,https://www.idealista.com/inmueble/102817122/
Becerril de la Sierra,690000.0,7,8,728.0,Cabeza de Hierro,97985053,https://www.idealista.com/inmueble/97985053/
Becerril de la Sierra,189000.0,2,3,85.0,Plaza del Espejo,102841501,https://www.idealista.com/inmueble/102841501/
Becerril de la Sierra,220000.0,2,3,95.0,Becerril de la Sierra,102933090,https://www.idealista.com/inmueble/102933090/
Becerril de la Sierra,475000.0,4,4,220.0,Becerril de la Sierra,103321900,https://www.idealista.com/inmueble/103321900/
