municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Belmonte de Tajo,59000.0,1,2,127.0,Calle Barrio Alto,101999647,https://www.idealista.com/inmueble/101999647/
Belmonte de Tajo,55000.0,1,1,44.0,"Camino del Tío Miguel, 4",100847960,https://www.idealista.com/inmueble/100847960/
Belmonte de Tajo,55000.0,1,1,44.0,Camino del Tío Miguel,100703559,https://www.idealista.com/inmueble/100703559/
Belmonte de Tajo,123100.0,2,4,153.0,"Camino del Tío Miguel, 3",101446272,https://www.idealista.com/inmueble/101446272/
Belmonte de Tajo,250000.0,3,6,360.0,Senda de la Solana,101374349,https://www.idealista.com/inmueble/101374349/
Belmonte de Tajo,55000.0,1,1,44.0,Camino del Tío Miguel,100869684,https://www.idealista.com/inmueble/100869684/
Belmonte de Tajo,123100.0,4,4,154.0,"tio miguel, 11",99973502,https://www.idealista.com/inmueble/99973502/
Belmonte de Tajo,86000.0,2,2,74.0,Belmonte de Tajo,103650214,https://www.idealista.com/inmueble/103650214/
Belmonte de Tajo,45675.0,1,3,72.0,"Senda de la Solana, 5",102200279,https://www.idealista.com/inmueble/102200279/
Belmonte de Tajo,87000.0,2,2,83.0,Belmonte de Tajo,102747032,https://www.idealista.com/inmueble/102747032/
Belmonte de Tajo,75000.0,3,5,606.0,"Calle Escarchada, 27",100281071,https://www.idealista.com/inmueble/100281071/
Belmonte de Tajo,87000.0,2,2,83.0,Camino del Tío Miguel,102652507,https://www.idealista.com/inmueble/102652507/
Belmonte de Tajo,96500.0,2,2,104.0,Camino del Tío Miguel,102593349,https://www.idealista.com/inmueble/102593349/
Belmonte de Tajo,87000.0,2,2,83.0,Camino del Tío Miguel,102652449,https://www.idealista.com/inmueble/102652449/
Belmonte de Tajo,80707.0,1,3,172.0,Camino DEL TIO MIGUEL,102200286,https://www.idealista.com/inmueble/102200286/
Belmonte de Tajo,81500.0,1,3,104.0,Senda de la Solana,102210747,https://www.idealista.com/inmueble/102210747/
Belmonte de Tajo,111000.0,2,2,149.0,Belmonte de Tajo,102682921,https://www.idealista.com/inmueble/102682921/
Belmonte de Tajo,123100.0,2,4,154.0,Belmonte de Tajo,103366229,https://www.idealista.com/inmueble/103366229/
Belmonte de Tajo,87000.0,2,2,134.0,Belmonte de Tajo,102674404,https://www.idealista.com/inmueble/102674404/
Belmonte de Tajo,96500.0,2,2,172.0,Belmonte de Tajo,102684358,https://www.idealista.com/inmueble/102684358/
Belmonte de Tajo,55000.0,1,1,44.0,Belmonte de Tajo,100784044,https://www.idealista.com/inmueble/100784044/
Belmonte de Tajo,123100.0,2,4,154.0,Belmonte de Tajo,103283570,https://www.idealista.com/inmueble/103283570/
Belmonte de Tajo,89000.0,1,2,72.0,Plaza de la constitucion,102481403,https://www.idealista.com/inmueble/102481403/
Belmonte de Tajo,55000.0,1,1,77.0,Belmonte de Tajo,101059032,https://www.idealista.com/inmueble/101059032/
