municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Boadilla del Monte,1050000.0,5,5,730.0,Valdecabañas,97441907,https://www.idealista.com/inmueble/97441907/
Boadilla del Monte,580000.0,3,4,251.0,Victoria Rubio,103352699,https://www.idealista.com/inmueble/103352699/
Boadilla del Monte,525000.0,2,3,125.0,SEVERO OCHOA,102999783,https://www.idealista.com/inmueble/102999783/
Boadilla del Monte,1995000.0,7,6,750.0,Urb. este - Montepríncipe,102946428,https://www.idealista.com/inmueble/102946428/
Boadilla del Monte,1500000.0,4,5,470.0,Valdecabañas,98140600,https://www.idealista.com/inmueble/98140600/
Boadilla del Monte,1990000.0,5,6,415.0,Parque Boadilla,102667743,https://www.idealista.com/inmueble/102667743/
Boadilla del Monte,1090000.0,6,5,361.0,Paseo DE LOS TILOS,102624197,https://www.idealista.com/inmueble/102624197/
Boadilla del Monte,1995000.0,7,5,770.0,VALLE DE TORMES,102419618,https://www.idealista.com/inmueble/102419618/
Boadilla del Monte,650000.0,3,4,233.0,JUAN CARLOS I,103057903,https://www.idealista.com/inmueble/103057903/
Boadilla del Monte,1650000.0,6,5,844.0,Valdecabañas,99090311,https://www.idealista.com/inmueble/99090311/
Boadilla del Monte,2100000.0,7,8,1191.0,Valdepastores - Las Encinas,102628414,https://www.idealista.com/inmueble/102628414/
Boadilla del Monte,1290000.0,3,5,354.0,El Olivar de Mirabal,102682834,https://www.idealista.com/inmueble/102682834/
Boadilla del Monte,1424000.0,3,4,595.0,Las Lomas,103499992,https://www.idealista.com/inmueble/103499992/
Boadilla del Monte,590000.0,3,4,190.0,INFANTE DON LUIS,102982400,https://www.idealista.com/inmueble/102982400/
Boadilla del Monte,1250000.0,5,6,392.0,Cortijo Sur,99142945,https://www.idealista.com/inmueble/99142945/
Boadilla del Monte,699000.0,2,3,292.0,Avenida SELECCION ESPAÑOLA DE FUTBOL,103092464,https://www.idealista.com/inmueble/103092464/
Boadilla del Monte,1300000.0,5,6,467.0,PLAYA DE SUANCES,103435887,https://www.idealista.com/inmueble/103435887/
Boadilla del Monte,795000.0,3,4,280.0,Avenida Valdepastores 8 Comuni,103408663,https://www.idealista.com/inmueble/103408663/
Boadilla del Monte,1730000.0,6,6,599.0,Las Lomas,101896834,https://www.idealista.com/inmueble/101896834/
Boadilla del Monte,470000.0,2,3,128.0,HERMANOS MACHADO,102456667,https://www.idealista.com/inmueble/102456667/
Boadilla del Monte,860000.0,5,4,315.0,CABO DE FINISTERRE,102870818,https://www.idealista.com/inmueble/102870818/
Boadilla del Monte,1750000.0,5,5,471.0,Valdecabañas,102703404,https://www.idealista.com/inmueble/102703404/
Boadilla del Monte,749900.0,3,4,290.0,playa de astilleros,103223100,https://www.idealista.com/inmueble/103223100/
Boadilla del Monte,1329900.0,7,8,580.0,Playa de la lanzada,103483775,https://www.idealista.com/inmueble/103483775/
Boadilla del Monte,1095000.0,4,5,468.0,Valdepastores - Las Encinas,102765703,https://www.idealista.com/inmueble/102765703/
Boadilla del Monte,674000.0,4,5,295.0,VALDEPASTORES,103592024,https://www.idealista.com/inmueble/103592024/
Boadilla del Monte,1424000.0,3,5,500.0,Las Lomas,103457450,https://www.idealista.com/inmueble/103457450/
Boadilla del Monte,1650000.0,7,6,1219.0,Las Lomas,100814122,https://www.idealista.com/inmueble/100814122/
Boadilla del Monte,1730000.0,6,6,600.0,Las Lomas,101877488,https://www.idealista.com/inmueble/101877488/
Boadilla del Monte,524900.0,2,3,130.0,RONDA,103173547,https://www.idealista.com/inmueble/103173547/
Boadilla del Monte,1750000.0,5,5,600.0,Las Lomas,102615672,https://www.idealista.com/inmueble/102615672/
Boadilla del Monte,569900.0,2,3,191.0,JULIO FUENTES,102785025,https://www.idealista.com/inmueble/102785025/
Boadilla del Monte,1750000.0,6,6,545.0,Las Lomas,102685999,https://www.idealista.com/inmueble/102685999/
Boadilla del Monte,1750000.0,4,5,500.0,Valdecabañas,102649042,https://www.idealista.com/inmueble/102649042/
Boadilla del Monte,1375000.0,5,6,550.0,Valdecabañas,102236559,https://www.idealista.com/inmueble/102236559/
Boadilla del Monte,739000.0,4,4,291.0,Viñas Viejas,101734188,https://www.idealista.com/inmueble/101734188/
Boadilla del Monte,1100000.0,4,6,310.0,Calle de la Comunidad de Madrid,103315732,https://www.idealista.com/inmueble/103315732/
Boadilla del Monte,1295000.0,5,7,452.0,Urb. este - Montepríncipe,103193426,https://www.idealista.com/inmueble/103193426/
Boadilla del Monte,723000.0,4,4,314.0,Calle Pedro Laín Entralgo,103205485,https://www.idealista.com/inmueble/103205485/
Boadilla del Monte,549900.0,2,3,126.0,Cristobal Colón,103634001,https://www.idealista.com/inmueble/103634001/
Boadilla del Monte,339900.0,2,3,110.0,adolfo suarez,102435416,https://www.idealista.com/inmueble/102435416/
Boadilla del Monte,694900.0,2,3,132.0,Cristóbal Colón,102857238,https://www.idealista.com/inmueble/102857238/
Boadilla del Monte,1450000.0,6,4,405.0,Parque Boadilla,101753082,https://www.idealista.com/inmueble/101753082/
Boadilla del Monte,1200000.0,8,11,640.0,Las Lomas,96680052,https://www.idealista.com/inmueble/96680052/
Boadilla del Monte,640000.0,4,6,268.0,"Isla de la Toja, 2",87871521,https://www.idealista.com/inmueble/87871521/
Boadilla del Monte,3500000.0,4,4,5020.0,Las Lomas,103070275,https://www.idealista.com/inmueble/103070275/
Boadilla del Monte,1800000.0,6,7,800.0,Calle de las Adelfas,88976946,https://www.idealista.com/inmueble/88976946/
Boadilla del Monte,1450000.0,3,5,505.0,Urb. este - Montepríncipe,103379526,https://www.idealista.com/inmueble/103379526/
Boadilla del Monte,1720000.0,6,6,659.0,Avenida de las Lomas,98330385,https://www.idealista.com/inmueble/98330385/
Boadilla del Monte,699000.0,3,3,240.0,"Mariano Barbacid, 1",103775003,https://www.idealista.com/inmueble/103775003/
